version,1,reserved,reserved,reserved,reserved,reserved
BRCM,,,JTJ,2R9RCV9V,,S1
35,,,,,,
2016/01/03,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Alaska,11,CCGUGLV,,11,
3,The Reverend,10,9LGLGUVR,,11,
4,Law,9,CVGQLQ98,1,9,
5,Eleazar,9,C8GRJVL0,1,9,
6,Darth Carlos,9,VJG8CCUG,1,9,
7,Cash,9,99PYRUGC,1,9,
8,Aboy,9,VQ9PUJV2,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Beej,9,CR8JYPLG,1,9,
11,Eric,9,YYGOV9VC,1,9,
12,Nicholas,9,RC00PQCL,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,Kighr,9,J0RJP9LG,1,9,
15,RedACE,9,GRJLGCUQ,1,9,
16,Mord,9,22JGQUCJQ,1,9,
17,Anthony,9,YPPQ8G99,1,9,
18,YYY,9,20YVJR2JG,1,9,
19,Jim,9,R2RRQJG,1,9,
20,Steve,9,QVRV9VGG,,9,
21,Brian,9,QJLVUGYJ,,9,
22,Simlin,9,2GO989G2U,,9,
23,Moose Knuckle,9,2PCQ29CR9,1,8,
24,Wilford Brimley,8,UGPJGJRU,1,8,
25,MohamedMran,8,2GQ8VYRLV,1,8,
26,TyroneCoC,8,29G0GL8Y2,1,8,
27,duckman,8,2G2RY2R98,1,8,
28,Tukutae,8,2GCPJY82Y,1,8,
29,Ninja,8,YCR9JGR8,1,8,
30,darkhorse,8,22YJ2U8YU,1,8,
31,Dragon Slayer,8,CV9L1YVC,1,8,
32,KrustyKiller,8,222RRp9V2,,8,
33,RobWinn,8,99QQC2C0,,8,
34,Alex,7,2PPLOVQ8J,,7,
35,Lemur,7,2ULCJQU9C,,7,
1,,,35,34,3,100
2,,,11,15,2,56
3,,,26,24,1,91
4,,,30,31,2,93
5,,,32,23,3,100
6,,,24,22,3,100
7,,,33,33,2,99
8,,,34,35,3,100
9,,,3,34,0,2
10,3,100,35,35,,
11,1,68,15,14,,
12,,,16,20,2,83
13,,,23,22,3,100
14,,,26,25,3,100
15,,,22,10,3,100
16,2,97,23,24,,
17,2,54,24,28,,
18,3,100,32,33,,
19,,,30,23,2,97
20,,,1,35,0,5
21,1,88,31,23,,
22,3,100,28,29,,
23,2,79,17,21,,
24,1,52,33,32,,
25,,,28,24,3,100
26,,,27,31,2,85
27,,,27,25,3,100
28,,,25,30,3,100
29,,,30,26,3,100
30,,,20,8,3,100
31,3,100,34,34,,
32,,,2,2,2,54
33,3,100,26,25,,
34,,,31,29,3,100
35,3,100,24,24,,
36,3,100,23,30,,
37,,,1,3,2,67
38,3,100,27,27,,
39,1,79,15,10,,
40,,,29,30,3,100
41,,,19,7,3,100
42,1,52,20,19,,
43,0,25,34,3,,
44,,,3,1,1,58
45,3,100,25,23,,
46,3,100,26,31,,
47,,,7,12,2,91
48,,,4,33,1,23
49,,,33,26,3,100
50,3,100,30,26,,
51,,,29,28,3,100
52,,,12,16,2,81
53,0,29,35,1,,
54,1,62,18,12,,
55,,,15,29,2,54
56,1,73,32,32,,
57,1,97,22,22,,
58,3,100,25,28,,
59,,,14,27,1,48
60,3,100,7,10,,
61,3,100,29,32,,
62,,,10,14,2,68
63,,,18,27,2,58
64,,,12,12,2,93
65,,,13,32,2,56
66,2,55,12,11,,
67,,,8,28,0,36
68,3,100,12,16,,
69,1,66,17,20,,
70,,,8,32,1,40
71,3,100,6,6,,
72,0,31,29,4,,
73,,,14,21,1,57
74,,,18,9,2,98
75,1,36,31,13,,
76,1,44,27,15,,
77,,,17,18,2,85
78,,,9,13,2,73
79,,,13,8,2,66
80,2,83,33,31,,
81,2,64,13,14,,
82,0,28,30,17,,
83,,,18,18,2,56
84,3,100,16,22,,
85,,,3,2,2,65
86,,,11,9,0,44
87,2,64,28,8,,
88,,,8,21,2,65
89,1,68,22,19,,
90,1,72,20,18,,
91,,,12,10,3,100
92,2,99,7,4,,
93,2,58,21,18,,
94,2,82,6,5,,
95,,,4,4,2,99
96,,,10,19,3,100
97,2,76,5,15,,
98,2,50,1,2,,
99,,,21,14,3,100
100,2,52,2,3,,
101,3,100,18,13,,
102,3,100,16,17,,
103,,,17,17,3,100
104,,,18,13,2,70
105,3,100,11,15,,
106,2,94,3,4,,
107,1,90,13,19,,
108,,,14,20,2,77
109,0,45,21,20,,
110,2,57,1,1,,
111,,,16,17,1,79
112,1,64,5,18,,
113,3,100,8,9,,
114,3,100,9,12,,
115,3,100,14,7,,
116,2,66,10,19,,
117,3,100,2,4,,
118,,,18,15,2,89
119,,,11,11,1,66
120,3,100,3,5,,
121,3,100,8,14,,
122,3,100,11,20,,
123,,,8,4,3,100
124,,,13,6,2,88
125,,,16,5,2,94
126,,,18,16,2,72
127,3,100,19,19,,
128,3,100,9,18,,
129,,,5,3,3,100
130,,,18,11,2,87
131,,,6,1,2,97
132,3,100,14,11,,
133,3,100,10,21,,
134,3,100,4,11,,
135,,,13,7,2,84
136,,,31,19,3,100
137,,,16,6,2,62
138,,,18,5,2,93
139,2,89,4,8,,
140,3,100,19,8,,
