version,1,reserved,reserved,reserved,reserved,reserved
IronSoldier,9C9RJPLL,,JTJ,2R9RCV9V,,S2
35,,,,,,
1/6/16,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,Alaska,11,CCGUGLV,1,9,
4,The Reverend,10,9LGLGUVR,1,9,
5,Diggs,10,L82YQVU,1,9,
6,MJP35,10,GRLV9L,1,9,
7,Atlas,10,RJ9PJ9CC,1,9,
8,Law,9,CVGQLQ98,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Beej,9,CR8JYPLG,1,9,
12,Eric,9,YYGOV9VC,1,9,
13,Nicholas,9,RC00PQCL,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Kighr,9,J0RJP9LG,1,9,
16,RedACE,9,GRJLGCUQ,,9,
17,Mord,9,22JGQUCJQ,,9,
18,Anthony,9,YPPQ8G99,,9,
19,YYY,9,20YVJR2JG,,9,
20,Jim,9,R2RRQJG,,9,
21,Steve,9,QVRV9VGG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Simlin,9,2GO989G2U,,9,
24,Katie-cakes,9,G2QQ0GGG2,,9,
25,duckman,8,2G2RY2R98,,9,
26,MohamedMran,8,2GQ8VYRLV,1,8,
27,TyroneCoC,8,29G0GL8Y2,1,8,
28,Tukutae,8,2GCPJY82Y,1,8,
29,darkhorse,8,22YJ2U8YU,1,8,
30,secretslayer297,8,P2UJ9YCU,1,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,KrustyKiller,8,222RRp9V2,,8,
33,liam,8,28Q8YCPL0,,7,
34,Helix,8,80GPQ9008,,7,
35,Lemur,7,2ULCJQU9C,,5,
1,3,100,9,7,,
2,,,30,30,2,74
3,,,24,24,2,82
4,2,99,11,8,,
5,3,100,18,21,,
6,3,100,34,33,,
7,3,100,32,32,,
8,3,100,33,29,,
9,,,26,26,2,87
10,,,15,15,2,58
11,,,4,4,2,52
12,2,84,24,25,,
13,2,92,15,9,,
14,0,40,5,5,,
15,1,59,16,13,,
16,3,100,29,27,,
17,3,100,22,20,,
18,3,100,31,28,,
19,3,100,12,17,,
20,3,100,8,18,,
21,3,100,26,30,,
22,,,17,17,2,62
23,3,100,28,26,,
24,,,18,18,2,65
25,3,100,35,34,,
26,2,73,30,31,,
27,3,100,10,16,,
28,2,91,21,14,,
29,1,99,19,11,,
30,3,100,16,15,,
31,1,50,24,23,,
32,,,23,23,2,52
33,1,48,5,6,,
34,3,100,8,22,,
35,1,91,22,19,,
36,,,34,34,3,100
37,3,100,35,35,,
38,,,16,16,2,69
39,,,19,19,2,70
40,,,25,25,3,100
41,1,99,17,11,,
42,,,33,33,1,73
43,,,9,9,2,73
44,3,100,23,24,,
45,3,100,32,31,,
46,,,32,32,2,83
47,,,28,28,2,67
48,,,13,13,2,85
49,,,21,21,2,60
50,,,3,3,0,40
51,3,100,11,9,,
52,,,10,10,2,74
53,,,31,31,3,100
54,3,100,28,27,,
55,2,99,21,13,,
56,2,92,23,25,,
57,3,100,12,23,,
58,1,75,10,19,,
59,,,33,32,2,70
60,,,26,21,3,100
61,3,100,18,25,,
62,,,22,22,1,74
63,3,100,3,3,,
64,3,100,13,12,,
65,,,14,14,3,100
66,,,20,20,2,86
67,3,100,13,14,,
68,3,100,20,11,,
69,,,8,8,2,87
70,,,12,12,2,56
71,,,28,24,3,100
72,,,11,11,1,46
73,,,35,34,3,100
74,3,100,9,10,,
75,1,66,25,25,,
76,,,27,27,2,76
77,2,72,14,8,,
78,2,54,1,1,,
79,3,100,14,13,,
80,0,43,7,6,,
81,2,50,2,2,,
82,3,100,19,19,,
83,,,22,10,1,44
84,,,7,4,2,83
85,3,100,26,26,,
86,,,27,22,3,100
87,2,75,1,5,,
88,2,81,15,8,,
89,2,63,4,6,,
90,,,10,25,3,100
91,,,24,17,3,100
92,,,2,2,0,45
93,,,11,8,1,63
94,,,5,6,1,46
95,,,22,18,3,100
96,3,100,25,26,,
97,,,2,1,0,44
98,0,33,34,29,,
99,,,29,31,2,77
100,,,11,7,3,100
101,,,29,26,2,52
102,2,74,7,8,,
103,1,56,2,4,,
104,,,16,9,2,86
105,0,46,6,4,,
106,,,3,2,1,52
107,2,59,4,4,,
108,,,5,3,1,45
109,3,100,27,26,,
110,,,29,23,3,100
111,3,100,31,26,,
112,3,100,30,30,,
113,,,12,5,2,62
114,3,100,27,27,,
115,,,15,13,1,72
116,,,23,12,0,49
117,3,100,17,8,,
118,3,100,29,30,,
119,,,23,14,2,75
120,,,12,7,2,68
121,3,100,20,13,,
122,,,21,16,1,57
123,,,1,19,0,32
124,,,32,27,2,99
125,3,100,33,27,,
126,2,86,6,7,,
127,,,1,15,0,28
128,1,68,3,6,,
