version,1,reserved,reserved,reserved,reserved,reserved
Gen Patton Army,Y9LR2JJR,,JTJ,2R9RCV9V,,S2
40,,,,,,
2016/01/08,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,Alaska,11,CCGUGLV,,11,
4,The Reverend,10,9LGLGUVR,,11,
5,Space12345,10,8002Y989,,10,
6,Diggs,10,L82YQVU,,10,
7,Aaron,10,8L28V8UJ,,10,
8,MJP35,10,GRLV9L,,10,
9,Atlas,10,RJ9PJ9CC,,10,
10,Law,9,CVGQLQ98,,10,
11,Cash,9,99PYRUGC,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Tyrion,9,99G8QGJV,1,9,
14,Beej,9,CR8JYPLG,1,9,
15,Eric,9,YYGOV9VC,,9,
16,Nicholas,9,RC00PQCL,,9,
17,Kighr,9,J0RJP9LG,,9,
18,RedACE,9,GRJLGCUQ,,9,
19,Mord,9,22JGQUCJQ,,9,
20,Anthony,9,YPPQ8G99,,9,
21,YYY,9,20YVJR2JG,,9,
22,Jippieh Yeah,9,YCYV88UV,,9,
23,Jim,9,R2RRQJG,,9,
24,vtechno,9,RGRUPCV2,,9,
25,Joe,9,LG9GQQJ8,,9,
26,Simlin,9,2GO989G2U,1,8,
27,Wilford Brimley,8,UGPJGJRU,1,8,
28,TyroneCoC,8,29G0GL8Y2,1,8,
29,duckman,8,2G2RY2R98,1,8,
30,MohamedMran,8,2GQ8VYRLV,1,8,
31,Tukutae,8,2GCPJY82Y,1,8,
32,Ninja,8,YCR9JGR8,1,8,
33,darkhorse,8,22YJ2U8YU,1,8,
34,secretslayer297,8,P2UJ9YCU,1,8,
35,Dragon Slayer,8,CV9L1YVC,1,8,
36,KrustyKiller,8,222RRp9V2,,8,
37,liam,8,28Q8YCPL0,,8,
38,RobWinn,8,99QQC2C0,,8,
39,Helix,8,80GPQ9008,,8,
40,Lemur,7,2ULCJQU9C,,8,
1,3,100,39,40,,
2,3,100,10,19,,
3,3,100,37,33,,
4,,,1,2,2,58
5,,,37,33,2,94
6,1,77,16,13,,
7,,,40,39,3,100
8,3,100,38,38,,
9,1,77,34,34,,
10,2,50,9,10,,
11,1,54,25,18,,
12,3,100,24,21,,
13,3,100,22,14,,
14,3,100,30,35,,
15,,,39,36,3,100
16,3,100,20,16,,
17,,,30,26,2,76
18,,,28,24,3,100
19,1,72,26,22,,
20,3,100,27,26,,
21,,,31,27,3,100
22,,,38,40,2,79
23,3,100,31,28,,
24,,,18,11,2,89
25,3,100,36,37,,
26,,,36,33,3,100
27,,,25,21,1,77
28,3,100,12,11,,
29,,,38,39,1,82
30,1,60,33,32,,
31,,,2,2,1,48
32,3,100,30,27,,
33,3,100,18,12,,
34,3,100,37,34,,
35,,,29,25,2,73
36,,,21,17,2,64
37,,,27,23,1,85
38,3,100,19,20,,
39,3,100,27,32,,
40,3,100,15,15,,
41,2,71,6,9,,
42,,,8,3,2,53
43,,,19,15,0,35
44,2,80,26,23,,
45,3,100,40,39,,
46,3,100,28,30,,
47,3,100,24,18,,
48,,,27,24,3,100
49,,,15,8,2,77
50,3,100,11,13,,
51,,,34,30,3,100
52,,,37,34,2,97
53,,,33,27,3,100
54,,,32,28,2,84
55,,,16,12,2,65
56,3,100,35,29,,
57,3,100,13,17,,
58,,,38,36,3,100
59,,,19,21,1,61
60,,,37,38,1,80
61,2,58,40,36,,
62,3,100,20,22,,
63,,,20,16,2,66
64,,,35,35,3,100
65,,,37,37,1,64
66,3,100,21,24,,
67,,,17,13,2,70
68,1,52,3,4,,
69,,,32,25,2,70
70,1,52,10,8,,
71,,,29,30,1,75
72,3,100,18,23,,
73,,,26,22,2,68
74,2,78,7,8,,
75,,,14,10,2,78
76,,,10,5,2,86
77,,,19,11,3,100
78,1,77,14,11,,
79,,,25,12,3,100
80,,,4,1,2,54
81,,,37,35,3,100
82,,,24,19,1,90
83,2,70,8,7,,
84,,,6,4,1,52
85,,,32,32,2,82
86,1,49,5,6,,
87,2,87,14,10,,
88,3,100,36,36,,
89,,,11,6,3,100
90,,,23,18,2,74
91,,,22,10,2,72
92,,,24,20,0,44
93,0,43,15,10,,
94,,,32,31,2,93
95,,,24,13,2,95
96,,,12,6,3,100
97,,,29,32,2,87
98,,,13,7,3,100
99,1,54,8,5,,
100,,,29,22,1,85
101,1,52,34,31,,
102,0,29,16,1,,
103,3,100,31,31,,
104,,,5,4,1,52
105,1,65,32,25,,
106,3,100,29,25,,
107,1,52,7,6,,
108,,,26,14,3,100
109,1,60,1,2,,
110,,,29,19,3,100
111,1,67,21,10,,
112,3,100,32,26,,
113,,,32,38,2,75
114,0,49,12,10,,
115,2,52,2,3,,
116,2,92,38,25,,
117,1,35,19,5,,
118,0,39,17,14,,
119,,,32,34,2,55
120,,,30,31,2,70
121,,,9,5,1,53
122,,,30,18,3,100
123,1,60,1,1,,
124,0,40,22,6,,
