version,1,reserved,reserved,reserved,reserved,reserved
Team Korea,PRGQUJG,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/01/10,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,11,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Law,9,CVGQLQ98,,10,
8,Cash,9,99PYRUGC,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Beej,9,CR8JYPLG,1,9,
12,Eric,9,YYGOV9VC,1,9,
13,Nicholas,9,RC00PQCL,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,Anthony,9,YPPQ8G99,,9,
17,YYY,9,20YVJR2JG,,9,
18,Jim,9,R2RRQJG,,9,
19,Steve,9,QVRV9VGG,,9,
20,vtechno,9,RGRUPCV2,,9,
21,Joe,9,LG9GQQJ8,,9,
22,Rokthar,9,LYOUL9GJ,,9,
23,Simlin,9,2GO989G2U,1,8,
24,Wilford Brimley,8,UGPJGJRU,1,8,
25,TyroneCoC,8,29G0GL8Y2,1,8,
26,MohamedMran,8,2GQ8VYRLV,1,8,
27,duckman,8,2G2RY2R98,1,8,
28,Tukutae,8,2GCPJY82Y,,8,
29,Ninja,8,YCR9JGR8,,8,
30,darkhorse,8,22YJ2U8YU,,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,KrustyKiller,8,222RRp9V2,,8,
33,RobWinn,8,99QQC2C0,,8,
34,liam,8,28Q8YCPL0,,8,
35,lemur,7,2ULCJQU9C,,7,
1,3,100,32,30,,
2,3,100,11,11,,
3,,,35,35,3,100
4,1,91,28,23,,
5,3,100,34,28,,
6,1,53,6,7,,
7,2,77,7,8,,
8,3,100,31,24,,
9,3,100,23,21,,
10,2,51,20,18,,
11,1,73,19,15,,
12,3,100,26,25,,
13,3,100,9,13,,
14,3,100,27,27,,
15,,,25,25,1,51
16,1,67,34,23,,
17,3,100,32,31,,
18,3,100,7,10,,
19,,,13,13,0,32
20,,,32,32,2,86
21,3,100,23,22,,
22,2,77,1,1,,
23,,,2,2,0,35
24,3,100,8,8,,
25,,,32,35,1,74
26,3,100,26,23,,
27,3,100,35,35,,
28,,,31,31,2,82
29,3,100,14,14,,
30,3,100,24,26,,
31,2,53,30,29,,
32,2,58,5,4,,
33,3,100,33,29,,
34,3,100,27,32,,
35,,,33,32,2,87
36,2,98,19,12,,
37,1,69,17,9,,
38,,,6,6,2,54
39,3,100,12,16,,
40,3,100,16,19,,
41,,,22,22,1,72
42,,,20,20,2,87
43,0,41,15,17,,
44,1,78,10,17,,
45,3,100,31,34,,
46,3,100,13,12,,
47,2,52,14,15,,
48,,,27,27,2,94
49,3,100,24,33,,
50,1,55,29,23,,
51,,,14,14,2,79
52,3,100,13,15,,
53,,,19,19,2,56
54,2,97,12,17,,
55,,,9,9,2,64
56,2,99,29,24,,
57,0,42,1,3,,
58,3,100,28,34,,
59,,,22,14,3,100
60,1,65,2,2,,
61,,,13,19,2,68
62,,,7,7,3,100
63,,,10,10,2,79
64,,,4,4,2,54
65,,,29,29,3,100
66,,,8,8,2,72
67,,,21,21,2,69
68,,,25,26,3,100
69,3,100,10,18,,
70,,,11,11,1,40
71,,,16,16,2,52
72,,,15,15,2,52
73,,,28,28,3,100
74,2,81,3,6,,
75,,,20,8,2,67
76,3,100,9,9,,
77,,,34,31,0,48
78,,,11,10,2,72
79,,,27,28,2,90
80,,,24,24,3,100
81,,,21,20,1,75
82,,,3,3,0,36
83,,,34,33,1,65
84,0,35,35,5,,
85,1,65,22,20,,
86,,,18,18,2,83
87,,,17,15,2,61
88,2,65,5,5,,
89,1,69,20,17,,
90,,,12,12,2,61
91,,,26,29,2,94
92,,,19,11,2,58
93,1,54,4,7,,
94,3,100,16,20,,
95,,,26,26,1,88
96,3,100,15,20,,
97,,,23,21,1,47
98,,,23,23,1,49
99,1,75,22,17,,
100,1,78,21,17,,
101,3,100,30,32,,
102,3,100,33,28,,
103,,,5,6,1,41
104,3,100,25,23,,
105,,,26,23,2,93
106,0,38,2,3,,
107,3,100,25,24,,
108,,,23,13,1,62
109,3,100,8,13,,
110,1,61,3,7,,
111,1,52,18,9,,
112,2,87,17,17,,
113,,,16,9,2,79
114,0,48,4,3,,
115,3,100,21,21,,
116,0,28,6,3,,
117,,,30,30,2,69
118,,,34,34,2,54
119,,,3,1,3,100
120,3,100,18,8,,
121,,,23,12,3,100
122,,,2,1,2,62
123,,,5,5,2,70
124,3,100,11,17,,
125,,,33,30,3,100
126,,,8,7,3,100
127,,,26,22,3,100
128,,,32,34,3,100
129,,,31,33,1,44
130,,,27,18,3,100
131,,,10,16,2,69
132,,,9,5,3,100
133,,,30,25,3,100
134,,,34,17,3,100
135,,,1,2,1,52
136,,,31,24,2,51
137,,,1,3,0,38
138,,,10,4,3,100
139,,,31,17,3,100
