version,1,reserved,reserved,reserved,reserved,reserved
One Shot,928Q8OVV,,JTJ,2R9RCV9V,,S2
40,,,,,,
2016/01/15,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,10,
4,Diggs,10,L82YQVU,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Law,9,CVGQLQ98,,10,
7,Cash,9,99PYRUGC,1,9,
8,Aboy,9,VQ9PUJV2,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Nicholas,9,RC00PQCL,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,Anthony,9,YPPQ8G99,,9,
17,YYY,9,20YVJR2JG,,9,
18,Who's a Loon,9,9LVOPCJR,,9,
19,Jippieh Yeah,9,YCYV88UV,,9,
20,Steve,9,QVRV9VGG,,9,
21,Jim,9,R2RRQJG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Frog,9,2JVLYQQP,,9,
24,Rokthar,9,LYOUL9GJ,,9,
25,Brodavidict,9,YYQQR2UY,,9,
26,Joe,9,LG9GQQJ8,,9,
27,Simlin,9,2GO989G2U,,9,
28,Mr Incrediboyle,9,JGRY0R0L,1,8,
29,Katie-cakes,9,G2QQ0GGG2,1,8,
30,TyroneCoC,8,29G0GL8Y2,1,8,
31,MohamedMran,8,2GQ8VYRLV,1,8,
32,duckman,8,2G2RY2R98,1,8,
33,Tukutae,8,2GCPJY82Y,1,8,
34,Ninja,8,YCR9JGR8,1,8,
35,secretslayer297,8,P2UJ9YCU,,8,
36,Dragon Slayer,8,CV9L1YVC,,8,
37,KrustyKiller,8,222RRp9V2,,7,
38,liam,8,28Q8YCPL0,,7,
39,RobWinn,8,99QQC2C0,,7,
40,lemur,7,2ULCJQU9C,,6,
1,3,100,28,23,,
2,2,99,8,7,,
3,3,100,31,28,,
4,,,40,40,1,57
5,,,15,13,0,48
6,2,69,37,35,,
7,,,29,26,2,73
8,,,5,6,0,49
9,,,30,28,1,65
10,2,91,23,20,,
11,2,60,4,5,,
12,3,100,26,18,,
13,,,39,39,0,37
14,3,100,24,21,,
15,,,9,9,1,65
16,2,90,27,26,,
17,3,100,34,33,,
18,1,62,5,6,,
19,,,31,29,1,75
20,3,100,39,35,,
21,3,100,10,12,,
22,,,24,23,2,59
23,,,40,39,1,68
24,3,100,12,13,,
25,3,100,6,8,,
26,,,39,35,3,100
27,,,22,13,1,86
28,3,100,32,31,,
29,3,100,35,36,,
30,2,79,14,9,,
31,,,20,19,2,66
32,3,100,22,22,,
33,,,25,18,2,68
34,,,5,3,3,100
35,3,100,18,24,,
36,,,8,8,1,77
37,3,100,16,19,,
38,3,100,40,39,,
39,3,100,38,29,,
40,,,30,27,1,74
41,3,100,30,30,,
42,,,33,28,1,70
43,2,99,6,7,,
44,,,34,32,3,100
45,3,100,33,34,,
46,,,19,17,2,72
47,3,100,37,37,,
48,1,65,9,16,,
49,3,100,27,27,,
50,,,38,33,2,57
51,3,100,19,14,,
52,3,100,40,38,,
53,,,28,20,0,27
54,3,100,7,10,,
55,,,40,36,3,100
56,,,23,21,0,34
57,3,100,10,7,,
58,3,100,22,25,,
59,,,1,2,0,38
60,,,3,1,2,78
61,3,100,36,32,,
62,,,35,34,2,64
63,,,6,6,1,66
64,1,53,26,20,,
65,,,32,29,0,47
66,,,15,15,1,50
67,3,100,20,9,,
68,,,4,4,0,31
69,,,32,32,2,90
70,3,100,25,17,,
71,1,39,5,4,,
72,2,85,39,32,,
73,,,28,25,1,49
74,,,36,31,2,57
75,3,100,16,26,,
76,3,100,33,40,,
77,2,62,14,15,,
78,1,51,12,11,,
79,,,1,1,1,63
80,3,100,17,11,,
81,,,33,30,1,61
82,3,100,7,15,,
83,,,37,35,0,38
84,,,11,11,2,75
85,,,20,16,2,89
86,0,44,11,20,,
87,3,100,36,33,,
88,,,23,15,0,40
89,3,100,31,29,,
90,2,91,11,16,,
91,0,45,19,6,,
92,,,30,26,2,68
93,,,10,8,1,58
94,0,28,23,16,,
95,3,100,18,20,,
96,1,89,8,16,,
97,2,72,2,2,,
98,2,97,24,16,,
99,3,100,35,35,,
100,,,6,21,1,44
101,2,81,15,16,,
102,,,29,20,1,65
103,,,2,2,1,37
104,,,14,14,2,61
105,3,100,13,16,,
106,3,100,25,16,,
107,,,38,38,0,48
108,,,4,5,0,41
109,3,100,34,28,,
110,,,25,22,0,44
111,2,75,28,7,,
112,,,28,31,0,14
113,0,38,15,6,,
114,2,69,3,6,,
115,2,73,20,8,,
116,,,7,7,0,45
117,,,13,14,1,58
118,,,31,25,3,100
119,,,12,9,2,78
120,,,23,18,0,43
121,,,38,37,1,64
122,,,7,11,1,70
123,2,52,3,3,,
124,,,6,4,2,73
125,,,40,38,2,93
126,,,15,12,0,35
127,,,31,30,2,61
128,1,55,9,6,,
129,,,9,7,1,68
130,0,42,4,4,,
131,0,28,32,26,,
132,3,100,21,8,,
133,2,56,1,1,,
134,1,53,17,8,,
135,,,27,17,1,45
136,1,93,30,28,,
137,3,100,13,9,,
138,,,17,10,1,56
139,3,100,29,26,,
140,,,6,3,2,60
141,,,18,12,0,43
142,3,100,38,31,,
143,3,100,29,23,,
144,2,53,1,2,,
145,,,6,34,1,37
146,,,37,37,2,63
147,,,5,5,1,50
148,,,26,10,2,62
149,,,23,19,2,68
