version,1,reserved,reserved,reserved,reserved,reserved
LsSK,2PC82RPJ,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/01/17,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,11,
4,Space12345,10,8002Y989,1,10,
5,Diggs,10,L82YQVU,1,10,
6,Aaron,10,8L28V8UJ,,10,
7,MJP35,10,GRLV9L,,10,
8,Law,9,CVGQLQ98,,10,
9,Cash,9,99PYRUGC,1,9,
10,Aboy,9,VQ9PUJV2,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Czech1Czech2,9,22CP2Y828,1,9,
13,Beej,9,CR8JYPLG,1,9,
14,Eric,9,YYGOV9VC,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,RedACE,9,GRJLGCUQ,1,9,
17,Mord,9,22JGQUCJQ,1,9,
18,Who's a Loon,9,9LVOPCJR,1,9,
19,Steve,9,QVRV9VGG,1,9,
20,vtechno,9,RGRUPCV2,1,9,
21,Frog,9,2JVLYQQP,1,9,
22,Rokthar,9,LYOUL9GJ,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Simlin,9,2GO989G2U,,9,
25,Mr Incrediboyle,9,JGRY0R0L,,9,
26,TyroneCoC,8,29G0GL8Y2,,9,
27,MohamedMran,8,2GQ8VYRLV,1,8,
28,duckman,8,2G2RY2R98,1,8,
29,Ninja,8,YCR9JGR8,1,8,
30,secretslayer297,8,P2UJ9YCU,1,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,KrustyKiller,8,222RRp9V2,,8,
33,liam,8,28Q8YCPL0,,8,
34,RobWinn,8,99QQC2C0,,7,
35,lemur,7,2ULCJQU9C,,7,
1,3,100,35,34,,
2,,,21,22,2,78
3,3,100,33,30,,
4,1,79,32,31,,
5,2,99,17,24,,
6,,,4,2,2,95
7,,,25,25,2,98
8,3,100,24,26,,
9,3,100,27,27,,
10,3,100,26,28,,
11,,,6,3,2,54
12,3,100,35,35,,
13,,,8,8,3,100
14,2,94,11,25,,
15,3,100,32,33,,
16,3,100,21,22,,
17,1,48,7,7,,
18,3,100,30,31,,
19,2,68,20,23,,
20,,,1,1,1,44
21,2,64,6,6,,
22,3,100,12,12,,
23,1,52,19,20,,
24,3,100,18,23,,
25,3,100,24,25,,
26,3,100,26,32,,
27,3,100,27,29,,
28,0,28,28,19,,
29,0,40,33,10,,
30,3,100,15,19,,
31,0,48,29,11,,
32,,,30,27,3,100
33,0,48,28,9,,
34,1,70,9,11,,
35,0,30,29,13,,
36,2,91,16,17,,
37,,,22,21,1,84
38,1,35,20,8,,
39,,,17,11,3,100
40,,,24,21,1,75
41,,,20,22,2,90
42,,,32,27,3,100
43,,,5,5,2,54
44,,,35,35,3,100
45,,,22,23,3,100
46,,,16,11,1,56
47,3,100,25,24,,
48,,,34,34,2,63
49,,,7,5,1,50
50,,,18,16,2,54
51,2,55,6,5,,
52,,,33,30,1,77
53,,,7,4,2,54
54,,,26,26,3,100
55,,,29,29,2,85
56,,,21,17,3,100
57,,,3,3,2,54
58,,,31,34,2,65
59,3,100,18,17,,
60,,,28,29,1,50
61,,,2,2,1,46
62,2,69,8,9,,
63,2,50,7,4,,
64,3,100,19,11,,
65,,,19,12,2,70
66,,,14,13,3,100
67,,,9,9,3,100
68,0,48,21,21,,
69,,,27,25,3,100
70,,,2,1,2,50
71,1,68,25,20,,
72,,,28,26,2,85
73,,,19,18,1,68
74,,,13,7,2,78
75,,,28,24,3,100
76,,,33,28,1,85
77,1,52,2,3,,
78,,,19,23,1,57
79,1,56,15,20,,
80,,,20,14,3,100
81,,,25,18,3,100
82,3,100,9,13,,
83,,,11,15,1,68
84,1,65,10,16,,
85,0,39,34,15,,
86,1,51,23,20,,
87,0,44,31,14,,
88,,,29,24,3,100
89,,,34,28,3,100
90,0,29,31,18,,
91,3,100,10,15,,
92,,,24,7,3,100
93,3,100,2,8,,
94,,,23,14,2,87
95,3,100,14,21,,
96,,,18,15,2,81
97,3,100,17,20,,
98,,,10,9,1,90
99,,,11,10,3,100
100,,,15,16,2,62
101,0,49,23,18,,
102,,,23,12,3,100
103,,,33,20,3,100
104,2,50,4,7,,
105,3,100,13,14,,
106,2,83,16,18,,
107,2,64,11,16,,
108,,,10,8,3,100
109,,,12,6,1,85
110,1,85,8,10,,
111,0,7,30,2,,
112,1,85,13,16,,
113,,,13,10,3,100
114,,,16,13,2,93
115,,,1,4,0,34
116,3,100,4,10,,
117,,,12,17,2,87
118,1,49,1,1,,
119,3,100,5,16,,
120,,,19,19,2,65
121,2,85,12,9,,
122,1,76,34,32,,
123,2,64,14,18,,
124,2,52,3,3,,
125,,,15,6,3,100
126,2,66,5,18,,
127,1,45,1,2,,
128,3,100,3,18,,
129,,,19,20,1,56
130,,,31,19,3,100
