version,1,reserved,reserved,reserved,reserved,reserved
Brooklyn,JOJLUGR,,JTJ,2R9RCV9V,,S2
40,,,,,,
2016/01/20,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Mike,11,RJP9282R,,11,
3,The Reverend,10,9LGLGUVR,,11,
4,Space12345,10,8002Y989,,10,
5,Diggs,10,L82YQVU,,10,
6,Aaron,10,8L28V8UJ,,10,
7,MJP35,10,GRLV9L,,10,
8,Law,9,CVGQLQ98,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Beej,9,CR8JYPLG,1,9,
13,Eric,9,YYGOV9VC,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Kighr,9,J0RJP9LG,1,9,
16,RedACE,9,GRJLGCUQ,1,9,
17,Mord,9,22JGQUCJQ,1,9,
18,Who's a Loon,9,9LVOPCJR,1,9,
19,Anthony,9,YPPQ8G99,,9,
20,YYY,9,20YVJR2JG,,9,
21,Jippieh Yeah,9,YCYV88UV,,9,
22,Av7,9,RGPR9YJ9,,9,
23,Steve,9,QVRV9VGG,,9,
24,vtechno,9,RGRUPCV2,,9,
25,Frog,9,2JVLYQQP,,9,
26,Rokthar,9,LYOUL9GJ,,9,
27,Brodavidict,9,YYQQR2UY,,9,
28,Simlin,9,2GO989G2U,,9,
29,Joe,9,LG9GQQJ8,,9,
30,Mr Incrediboyle,9,JGRY0R0L,,9,
31,TyroneCoC,8,29G0GL8Y2,,9,
32,MohamedMran,8,2GQ8VYRLV,1,8,
33,duckman,8,2G2RY2R98,1,8,
34,Ninja,8,YCR9JGR8,1,8,
35,secretslayer297,8,P2UJ9YCU,1,8,
36,Dragon Slayer,8,CV9L1YVC,1,8,
37,KrustyKiller,8,222RRp9V2,,8,
38,liam,8,28Q8YCPL0,,8,
39,RobWinn,8,99QQC2C0,,8,
40,lemur,7,2ULCJQU9C,,4,
1,1,71,16,22,,
2,,,30,30,2,58
3,3,100,37,39,,
4,,,16,15,2,98
5,1,70,39,38,,
6,2,66,5,5,,
7,3,100,38,35,,
8,,,26,26,2,51
9,2,98,10,12,,
10,3,100,24,24,,
11,2,78,6,7,,
12,3,100,25,21,,
13,3,100,9,8,,
14,,,32,32,2,90
15,3,100,33,34,,
16,3,100,14,14,,
17,3,100,13,15,,
18,1,92,29,23,,
19,1,98,23,19,,
20,3,100,18,13,,
21,,,14,13,2,75
22,3,100,30,26,,
23,,,1,1,1,43
24,2,75,19,16,,
25,3,100,34,32,,
26,3,100,16,25,,
27,3,100,31,33,,
28,3,100,37,38,,
29,2,62,24,22,,
30,3,100,10,10,,
31,3,100,32,36,,
32,3,100,25,27,,
33,,,40,39,1,79
34,1,70,30,18,,
35,,,28,26,2,57
36,3,100,17,20,,
37,,,22,17,3,100
38,,,33,32,2,55
39,,,2,1,0,30
40,,,18,10,3,100
41,,,27,27,2,53
42,3,100,40,40,,
43,2,56,13,12,,
44,,,35,34,3,100
45,,,7,40,0,0
46,2,72,6,6,,
47,,,12,15,2,72
48,,,39,37,2,82
49,0,49,40,17,,
50,,,26,30,1,52
51,3,100,35,37,,
52,,,8,7,2,77
53,,,31,29,2,90
54,,,7,5,1,54
55,,,36,36,1,77
56,3,100,23,22,,
57,2,78,28,28,,
58,,,2,2,1,55
59,,,21,19,2,68
60,3,100,28,29,,
61,3,100,20,9,,
62,,,24,18,1,42
63,,,5,4,1,56
64,,,31,25,3,100
65,,,11,9,2,99
66,,,19,11,3,100
67,3,100,18,12,,
68,3,100,21,17,,
69,,,9,5,3,100
70,3,100,12,16,,
71,,,25,27,2,54
72,0,41,36,32,,
73,,,3,2,1,39
74,,,17,10,0,47
75,,,40,38,3,100
76,2,68,15,11,,
77,,,36,25,3,100
78,2,74,12,18,,
79,,,29,31,1,66
80,0,46,34,31,,
81,,,29,22,1,60
82,2,83,11,18,,
83,,,17,19,2,66
84,3,100,11,19,,
85,0,48,4,4,,
86,3,100,32,32,,
87,1,96,20,18,,
88,,,34,34,3,100
89,3,100,35,32,,
90,,,29,28,2,60
91,2,99,22,31,,
92,2,87,9,11,,
93,3,100,36,33,,
94,1,51,26,23,,
95,,,26,24,1,64
96,3,100,27,23,,
97,3,100,8,11,,
98,3,100,26,28,,
99,2,83,14,18,,
100,3,100,17,18,,
101,3,100,27,31,,
102,0,35,7,4,,
103,,,33,20,3,100
104,,,37,38,2,61
105,3,100,33,31,,
106,,,24,17,2,87
107,2,52,1,1,,
108,3,100,22,30,,
109,,,23,23,1,65
110,,,17,13,1,54
111,0,43,2,3,,
112,0,37,8,4,,
113,,,4,3,2,56
114,,,28,24,0,37
115,,,15,12,2,79
116,1,75,39,32,,
117,,,10,7,3,100
118,,,13,40,0,3
119,,,27,23,1,72
120,,,30,31,1,52
121,0,36,19,4,,
122,,,32,22,3,100
123,1,48,3,4,,
124,,,8,6,3,100
125,1,59,29,22,,
126,0,48,15,9,,
127,,,6,4,2,50
128,0,44,1,2,,
129,,,16,14,1,58
130,2,58,5,4,,
131,0,37,4,3,,
132,3,100,31,32,,
133,,,38,37,2,79
134,1,47,3,3,,
135,3,100,38,32,,
136,,,37,21,3,100
137,,,23,12,0,49
138,2,75,21,11,,
139,,,28,8,1,90
140,,,7,6,2,65
141,,,20,9,1,36
142,,,23,14,3,100
143,,,13,16,2,78
144,,,5,3,2,58
145,,,13,8,2,86
146,2,60,7,6,,
147,,,20,11,2,75
