version,1,reserved,reserved,reserved,reserved,reserved
Shadow Militia,2GCYJVJU,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/01/22,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,The Reverend,10,9LGLGUVR,,11,
3,Space12345,10,8002Y989,,10,
4,Diggs,10,L82YQVU,,10,
5,MJP35,10,GRLV9L,,10,
6,Law,9,CVGQLQ98,1,9,
7,Eleazar,9,C8GRJVL0,1,9,
8,Cash,9,99PYRUGC,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Eric,9,YYGOV9VC,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,Who's a Loon,9,9LVOPCJR,1,9,
17,YYY,9,20YVJR2JG,1,9,
18,Jippieh Yeah,9,YCYV88UV,1,9,
19,Steve,9,QVRV9VGG,1,9,
20,Av7,9,RGPR9YJ9,,9,
21,vtechno,9,RGRUPCV2,,9,
22,Frog,9,2JVLYQQP,,9,
23,Rokthar,9,LYOUL9GJ,,9,
24,Brodavidict,9,YYQQR2UY,,9,
25,Simlin,9,2GO989G2U,,9,
26,Mr Incrediboyle,9,JGRY0R0L,,9,
27,TyroneCoC,8,29G0GL8Y2,,9,
28,MohamedMran,8,2GQ8VYRLV,1,8,
29,duckman,8,2G2RY2R98,1,8,
30,Ninja,8,YCR9JGR8,1,8,
31,secretslayer297,8,P2UJ9YCU,1,8,
32,KrustyKiller,8,222RRp9V2,,8,
33,RobWinn,8,99QQC2C0,,8,
34,liam,8,28Q8YCPL0,,8,
35,lemur,7,2ULCJQU9C,,8,
1,,,30,31,2,52
2,,,27,28,2,90
3,0,49,30,31,,
4,2,87,33,30,,
5,3,100,26,23,,
6,,,29,30,2,57
7,2,82,34,30,,
8,,,31,32,0,47
9,,,33,34,3,100
10,3,100,28,29,,
11,,,12,12,1,84
12,,,13,14,2,87
13,3,100,30,30,,
14,3,100,31,31,,
15,3,100,21,25,,
16,,,17,20,1,68
17,2,91,27,28,,
18,,,31,28,1,71
19,2,87,15,20,,
20,,,29,31,2,93
21,3,100,25,26,,
22,,,9,9,1,78
23,2,78,22,22,,
24,3,100,32,32,,
25,2,96,14,24,,
26,2,96,28,28,,
27,,,30,32,3,100
28,0,15,35,6,,
29,2,99,16,9,,
30,,,32,35,3,100
31,3,100,12,16,,
32,,,31,33,3,100
33,,,27,25,3,100
34,3,100,34,28,,
35,,,29,33,1,82
36,3,100,8,6,,
37,2,99,19,22,,
38,,,6,7,2,94
39,3,100,14,20,,
40,3,100,29,34,,
41,1,36,20,21,,
42,,,11,11,1,50
43,0,19,35,7,,
44,,,10,10,1,74
45,3,100,22,21,,
46,0,47,32,33,,
47,,,22,27,2,99
48,3,100,29,33,,
49,2,64,6,7,,
50,3,100,17,8,,
51,,,34,35,3,100
52,,,28,29,3,100
53,,,35,30,3,100
54,,,11,12,2,97
55,3,100,20,27,,
56,,,7,8,1,82
57,2,89,21,24,,
58,,,29,29,3,100
59,2,92,10,22,,
60,,,8,15,1,82
61,3,100,7,24,,
62,,,23,19,3,100
63,,,19,24,1,62
64,,,25,26,1,54
65,,,5,34,0,29
66,,,20,24,1,57
67,1,66,26,19,,
68,2,69,5,5,,
69,3,100,24,18,,
70,3,100,27,35,,
71,,,10,9,3,100
72,,,25,23,3,100
73,2,74,17,10,,
74,3,100,15,11,,
75,,,12,11,2,64
76,,,18,22,3,100
77,,,14,18,2,75
78,3,100,25,22,,
79,,,22,18,3,100
80,2,77,11,14,,
81,,,26,26,2,53
82,,,15,17,1,68
83,,,2,3,2,60
84,2,99,3,3,,
85,1,75,13,13,,
86,2,79,19,15,,
87,3,100,16,10,,
88,,,19,16,3,100
89,,,15,10,1,81
90,,,20,21,1,57
91,2,82,5,4,,
92,,,26,23,3,100
93,,,1,3,1,52
94,,,24,19,2,87
95,3,100,9,13,,
96,1,51,31,17,,
97,2,52,1,1,,
98,3,100,6,9,,
99,,,7,7,3,100
100,,,4,4,2,50
101,,,21,21,1,94
102,,,15,6,2,93
103,3,100,24,19,,
104,,,5,2,2,72
105,3,100,18,17,,
106,3,100,10,14,,
107,,,24,20,2,69
108,,,3,4,1,47
109,3,100,8,7,,
110,2,54,12,12,,
111,,,17,6,2,90
112,,,8,5,3,100
113,2,78,9,12,,
114,,,3,1,1,54
115,3,100,4,12,,
116,0,39,2,2,,
117,,,16,22,1,61
118,2,61,1,2,,
119,1,64,7,15,,
120,,,9,2,3,100
121,,,21,16,2,74
122,2,81,3,4,,
123,,,20,27,2,65
124,,,20,15,3,100
125,2,79,13,15,,
126,,,6,5,2,91
127,3,100,2,15,,
128,,,16,17,2,78
129,,,16,8,3,100
130,,,1,1,1,44
131,1,79,18,19,,
132,1,69,4,3,,
