version,1,reserved,reserved,reserved,reserved,reserved
Bever Bonen,RQJ99JQ,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/01/27,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,The Reverend,10,9LGLGUVR,,10,
3,Diggs,10,L82YQVU,,10,
4,Aaron,10,8L28V8UJ,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Law,9,CVGQLQ98,,10,
8,Darth Carlos,9,VJG8CCUG,1,9,
9,Cash,9,99PYRUGC,1,9,
10,Aboy,9,VQ9PUJV2,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Eric,9,YYGOV9VC,,9,
13,Nicholas,9,RC00PQCL,,9,
14,Whooboy,9,22UOVV2JJ,,9,
15,RedACE,9,GRJLGCUQ,,9,
16,Mord,9,22JGQUCJQ,,9,
17,YYY,9,20YVJR2JG,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,Steve,9,QVRV9VGG,,9,
20,Av7,9,RGPR9YJ9,,9,
21,Jim,9,R2RRQJG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Brodavidict,9,YYQQR2UY,,9,
25,Simlin,9,2GO989G2U,,9,
26,Katie-cakes,9,G2QQ0GGG2,,9,
27,TyroneCoC,8,29G0GL8Y2,,9,
28,duckman,8,2G2RY2R98,,9,
29,Ninja,8,YCR9JGR8,,8,
30,darkhorse,8,22YJ2U8YU,,8,
31,KrustyKiller,8,222RRp9V2,,8,
32,liam,8,28Q8YCPL0,,8,
33,ritteshstark,8,2GC0V8VPQ,,8,
34,DeathDealer,8,R2LPQLLJ,,7,
35,lemur,7,2ULCJQU9C,,6,
1,3,100,31,33,,
2,3,100,22,17,,
3,,,5,9,2,54
4,,,6,1,2,61
5,3,100,29,30,,
6,3,100,18,11,,
7,1,66,33,29,,
8,3,100,32,32,,
9,,,8,8,2,87
10,3,100,35,34,,
11,3,100,19,12,,
12,2,50,3,5,,
13,0,25,34,29,,
14,3,100,30,31,,
15,3,100,16,15,,
16,2,96,17,8,,
17,3,100,15,19,,
18,3,100,23,18,,
19,1,84,12,10,,
20,2,72,5,7,,
21,3,100,26,27,,
22,1,62,34,28,,
23,3,100,22,16,,
24,3,100,35,35,,
25,3,100,9,8,,
26,3,100,16,20,,
27,2,54,3,7,,
28,2,84,11,14,,
29,3,100,32,29,,
30,1,95,7,10,,
31,2,75,4,3,,
32,3,100,25,25,,
33,3,100,19,21,,
34,3,100,23,23,,
35,3,100,27,28,,
36,3,100,15,22,,
37,3,100,9,10,,
38,3,100,25,24,,
39,,,20,7,2,65
40,3,100,8,14,,
41,,,34,30,2,85
42,3,100,31,28,,
43,2,72,5,4,,
44,,,26,26,2,61
45,,,7,5,1,47
46,,,35,33,2,93
47,2,90,6,13,,
48,,,18,13,2,69
49,3,100,20,26,,
50,,,27,10,3,100
51,,,9,24,2,75
52,,,13,8,2,75
53,,,24,15,1,24
54,,,17,1,3,100
55,,,25,23,1,43
56,3,100,29,28,,
57,3,100,21,8,,
58,,,28,10,2,79
59,,,19,24,2,79
60,,,33,33,1,60
61,1,56,20,13,,
62,3,100,24,9,,
63,3,100,1,1,,
64,,,29,29,2,55
65,2,86,10,9,,
66,3,100,28,27,,
67,3,100,14,13,,
68,3,100,18,13,,
69,3,100,1,2,,
70,2,92,10,13,,
71,,,31,7,3,100
72,,,23,16,2,66
73,,,32,26,2,90
74,,,35,34,1,50
75,0,39,14,9,,
76,,,10,9,2,78
77,3,100,33,28,,
78,3,100,11,10,,
79,,,22,11,1,74
80,1,71,13,6,,
81,2,83,4,6,,
82,2,96,6,9,,
83,3,100,2,5,,
84,3,100,30,28,,
85,3,100,8,9,,
86,1,50,7,7,,
87,2,73,28,26,,
88,3,100,2,3,,
89,3,100,27,27,,
90,3,100,13,13,,
91,,,21,16,2,66
92,,,11,5,2,68
93,3,100,24,27,,
94,,,30,22,2,90
95,,,16,12,1,54
96,0,45,26,28,,
97,2,70,17,7,,
