version,1,reserved,reserved,reserved,reserved,reserved
Evan Dan Papah,9ROGV9PR,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/01/29,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Alaska,11,CCGUGLV,,11,
3,The Reverend,10,9LGLGUVR,,10,
4,Aaron,10,8L28V8UJ,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Eleazar,9,C8GRJVL0,1,9,
7,Law,9,CVGQLQ98,1,9,
8,Darth Carlos,9,VJG8CCUG,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Nicholas,9,RC00PQCL,1,9,
12,RedACE,9,GRJLGCUQ,1,9,
13,Who's a Loon,9,9LVOPCJR,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,YYY,9,20YVJR2JG,1,9,
16,Jippieh Yeah,9,YCYV88UV,1,9,
17,Steve,9,QVRV9VGG,1,9,
18,Av7,9,RGPR9YJ9,,9,
19,Jim,9,R2RRQJG,,9,
20,vtechno,9,RGRUPCV2,,9,
21,Joe,9,LG9GQQJ8,,9,
22,Brodavidict,9,YYQQR2UY,,9,
23,Simlin,9,2GO989G2U,,8,
24,Moose Knuckle,9,2PCQ29CR9,1,8,
25,TyroneCoC,8,29G0GL8Y2,1,8,
26,duckman,8,2G2RY2R98,1,8,
27,Ninja,8,YCR9JGR8,1,8,
28,darkhorse,8,22YJ2U8YU,,8,
29,secretslayer297,8,P2UJ9YCU,,8,
30,Dragon Slayer,8,CV9L1YVC,,8,
31,KrustyKiller,8,222RRp9V2,,8,
32,liam,8,28Q8YCPL0,,8,
33,ritteshstark,8,2GC0V8VPQ,,7,
34,DeathDealer,8,R2LPQLLJ,,7,
35,Lemur,7,2ULCJQU9C,,7,
1,3,100,34,30,,
2,,,33,33,2,93
3,0,48,4,3,,
4,3,100,33,32,,
5,3,100,29,29,,
6,3,100,28,26,,
7,1,87,30,28,,
8,2,91,16,16,,
9,3,100,26,24,,
10,1,83,22,11,,
11,3,100,14,18,,
12,3,100,25,23,,
13,1,88,32,25,,
14,3,100,9,10,,
15,1,72,20,21,,
16,,,28,28,,93
17,3,100,23,20,,
18,3,100,31,31,,
19,,,20,21,3,100
20,,,26,26,3,100
21,,,16,16,2,56
22,3,100,35,34,,
23,,,18,18,0,49
24,2,68,5,5,,
25,1,62,27,27,,
26,3,100,33,28,,
27,,,32,32,1,65
28,,,5,5,1,48
29,1,87,28,27,,
30,3,100,12,22,,
31,,,12,12,2,56
32,,,31,31,1,63
33,,,28,25,3,100
34,,,18,17,2,68
35,3,100,13,13,,
36,3,100,17,19,,
37,3,100,10,21,,
38,,,25,26,1,93
39,,,29,29,3,100
40,3,100,35,35,,
41,0,31,24,14,,
42,3,100,8,6,,
43,,,25,25,3,100
44,2,74,23,17,,
45,3,100,25,27,,
46,3,100,19,11,,
47,,,27,24,2,58
48,3,100,34,33,,
49,0,40,18,14,,
50,3,100,30,25,,
51,2,82,15,9,,
52,0,19,26,12,,
53,,,17,17,3,100
54,,,30,24,2,8
55,,,15,15,2,82
56,0,39,31,15,,
57,,,31,27,1,83
58,,,34,29,3,100
59,2,53,5,4,,
60,,,6,6,3,100
61,2,99,12,17,,
62,3,100,7,7,,
63,,,35,33,2,84
64,,,31,8,3,100
65,,,32,30,2,82
66,,,24,19,3,100
67,,,33,32,3,100
68,,,27,22,3,100
69,,,23,12,1,79
70,,,35,31,3,100
71,,,1,1,0,38
72,,,32,23,3,100
73,,,7,16,2,5
74,,,2,34,0,20
75,,,30,22,3,100
76,,,2,2,0,36
77,,,7,23,1,2
78,,,22,35,0,22
79,,,13,11,2,93
80,3,100,9,12,,
81,,,23,18,2,87
82,,,8,34,1,16
83,,,22,7,3,100
84,,,21,13,2,91
85,2,2,1,1,,
86,,,9,6,3,100
87,0,46,18,15,,
88,3,100,29,23,,
89,,,5,3,2,61
90,,,14,14,1,50
91,,,11,11,0,47
92,,,21,20,2,98
93,,,11,10,3,100
94,,,23,21,3,100
95,3,100,22,16,,
96,,,21,15,2,95
97,2,95,14,9,,
98,,,13,7,3,100
99,,,21,1,2,87
100,0,30,27,8,,
101,2,62,21,14,,
102,,,14,8,3,100
103,1,67,20,15,,
104,2,72,16,17,,
105,,,19,20,2,72
106,,,10,13,2,54
107,,,8,5,1,66
108,,,27,30,2,64
109,1,61,17,9,,
110,,,16,10,2,73
111,,,10,4,2,94
112,,,21,19,2,58
113,2,80,4,8,,
114,,,18,8,3,100
115,,,8,9,2,77
116,2,94,7,9,,
117,,,2,1,2,55
118,3,100,13,8,,
119,,,21,35,1,32
120,,,12,9,1,95
121,2,73,3,3,,
122,2,90,6,15,,
123,3,100,11,9,,
124,,,15,27,1,12
125,2,88,10,15,,
126,3,100,8,14,,
127,0,42,2,2,,
128,2,76,6,17,,
129,3,100,11,15,,
130,0,45,3,2,,
131,1,54,21,17,,
132,3,100,2,3,,
133,1,56,24,22,,
134,,,4,3,0,40
135,2,68,15,17,,
136,3,100,32,29,,
137,0,42,1,,,
138,3,100,19,17,,
