version,1,reserved,reserved,reserved,reserved,reserved
Buckeye Nation,RGYJGY,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/02/03,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Alaska,11,CCGUGLV,,11,
4,John,10,PGVJ9R8Y,,10,
5,Eleazar,9,C8GRJVL0,,10,
6,jeff4217,9,QVPOGCJR,,10,
7,Cash,9,99PYRUGC,,10,
8,Aboy,9,VQ9PUJV2,,10,
9,Beej,9,CR8JYPLG,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Eric,9,YYGOV9VC,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,RedACE,9,GRJLGCUQ,1,9,
16,Mord,9,22JGQUCJQ,,9,
17,YYY,9,20YVJR2JG,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,steve,9,QVRV9VGG,,9,
20,Jim,9,R2RRQJG,,9,
21,Brodavidict,9,YYQQR2UY,,9,
22,Mr Incrediboyle,9,JGRY0R0L,,9,
23,Moose Knuckle,9,2PCQ29CR9,,9,
24,Katie-cakes,9,G2QQ0GGG2,,9,
25,Tukutae,9,2GCPJY82Y,,9,
26,TyroneCoC,8,29G0GL8Y2,,9,
27,duckman,8,2G2RY2R98,,9,
28,darkhorse,8,22YJ2U8YU,,9,
29,secretslayer297,8,P2UJ9YCU,1,8,
30,Dragon Slayer,8,CV9L1YVC,1,8,
31,KrustyKiller,8,222RRp9V2,1,8,
32,liam,8,28Q8YCPL0,1,8,
33,ritteshstark,8,2GC0V8VPQ,1,8,
34,DeathDealer,8,R2LPQLLJ,1,8,
35,lemur,7,2ULCJQU9C,,8,
1,,,35,35,3,100
2,,,28,30,3,100
3,0,49,32,34,,
4,,,23,18,2,89
5,3,100,24,24,,
6,1,87,29,33,,
7,3,100,22,21,,
8,2,84,28,30,,
9,,,25,24,2,53
10,,,27,28,3,100
11,1,79,16,14,,
12,,,22,21,3,100
13,3,100,15,20,,
14,3,100,30,32,,
15,2,98,12,12,,
16,3,100,24,23,,
17,2,60,4,7,,
18,3,100,25,25,,
19,1,69,26,31,,
20,3,100,11,19,,
21,3,100,33,35,,
22,,,26,29,1,87
23,3,100,29,34,,
24,,,18,14,3,100
25,,,25,28,1,50
26,,,21,21,2,90
27,,,15,13,3,100
28,,,24,23,1,47
29,,,30,30,3,100
30,3,100,10,9,,
31,3,100,33,33,,
32,,,23,19,3,100
33,1,57,31,30,,
34,,,26,27,3,100
35,,,25,25,1,90
36,0,25,35,2,,
37,,,25,18,1,57
38,3,100,26,29,,
39,3,100,15,17,,
40,,,29,32,0,47
41,3,100,32,31,,
42,2,50,23,22,,
43,3,100,27,30,,
44,,,31,31,2,69
45,3,100,7,14,,
46,0,20,35,4,,
47,,,31,32,3,100
48,0,19,27,16,,
49,,,25,23,1,83
50,,,9,13,3,100
51,,,17,11,2,62
52,,,12,16,3,100
53,,,29,33,3,100
54,3,100,25,27,,
55,,,11,7,3,100
56,1,28,31,15,,
57,3,100,18,12,,
58,3,100,19,16,,
59,3,100,9,15,,
60,3,100,3,4,,
61,,,34,34,3,100
62,0,22,34,13,,
63,0,15,34,11,,
64,,,10,5,3,100
65,,,32,33,3,100
66,,,13,9,2,91
67,3,100,23,26,,
68,,,33,29,3,100
69,1,88,2,2,,
70,,,24,15,3,100
71,,,14,12,2,64
72,,,20,20,2,87
73,3,100,22,22,,
74,,,19,25,2,74
75,,,14,10,2,63
76,3,100,6,18,,
77,,,1,34,0,20
78,,,16,14,1,56
79,,,5,2,3,100
80,,,25,20,3,100
81,3,100,19,28,,
82,,,3,31,0,14
83,2,62,17,11,,
84,1,87,14,13,,
85,,,4,22,0,35
86,3,100,3,7,,
87,2,87,16,11,,
88,,,20,17,2,97
89,1,54,13,10,,
90,3,100,8,11,,
91,2,99,6,10,,
92,0,34,4,3,,
93,,,21,15,1,72
94,3,100,21,13,,
95,,,8,4,3,100
96,,,21,17,2,81
97,1,46,11,10,,
98,,,4,3,3,100
99,2,95,7,10,,
100,2,83,9,8,,
101,,,13,16,3,100
102,3,100,14,10,,
103,,,19,11,3,100
104,,,7,4,3,100
105,,,3,1,1,52
106,0,12,28,1,,
107,1,60,12,8,,
108,1,42,8,1,,
109,,,16,6,3,100
110,1,56,5,8,,
111,,,3,2,0,29
112,,,14,7,3,100
113,,,2,22,0,23
114,3,100,2,5,,
115,,,26,24,3,100
116,3,100,1,6,,
117,,,20,9,2,93
118,,,17,8,3,100
119,1,45,21,3,,
120,,,6,27,1,22
121,,,6,5,3,100
122,,,20,12,1,53
123,,,21,10,2,54
124,,,1,1,2,57
125,,,20,8,2,97
126,2,71,17,8,,
127,2,50,10,1,,
128,,,21,19,2,77
129,1,45,13,2,,
130,1,73,20,8,,
131,,,21,6,3,100
132,0,35,5,3,,
133,0,40,18,3,,
134,1,40,20,1,,
135,,,2,3,1,55
136,2,96,1,8,,
