version,1,reserved,reserved,reserved,reserved,reserved
Poker Degens,2GQCYVY8,,JTJ,2R9RCV9V,,S2
35,,,,,,
2/5/16,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,10,
3,Alaska,11,CCGUGLV,,10,
4,The Reverend,10,9LGLGUVR,,10,
5,Space12345,10,8002Y989,,10,
6,MJP35,10,GRLV9L,,10,
7,Eleazar,9,C8GRJVL0,,10,
8,jeff4217,9,QVPOGCJR,,10,
9,Aboy,9,VQ9PUJV2,,10,
10,Beej,9,CR8JYPLG,,10,
11,Czech1Czech2,9,22CP2Y828,1,9,
12,Tyrion,9,99G8QGJV,1,9,
13,Eric,9,YYGOV9VC,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Kighr,9,J0RJP9LG,1,9,
16,RedACE,9,GRJLGCUQ,1,9,
17,Who's a Loon,9,9LVOPCJR,,9,
18,Mord,9,22JGQUCJQ,,9,
19,YYY,9,20YVJR2JG,,9,
20,Steve,9,QVRV9VGG,,9,
21,Jim,9,R2RRQJG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Joe,9,LG9GQQJ8,1,8,
24,Simlin,9,2GO989G2U,1,8,
25,Mr Incrediboyle,9,JGRY0R0L,,8,
26,Tukutae,9,2GCPJY82Y,,8,
27,duckman,8,2G2RY2R98,,8,
28,Ninja,8,YCR9JGR8,,8,
29,darkhorse,8,22YJ2U8YU,,7,
30,secretslayer297,8,P2UJ9YCU,,7,
31,KrustyKiller,8,222RRp9V2,,5,
32,liam,8,28Q8YCPL0,,8,
33,ritteshstark,8,2GC0V8VPQ,,4,
34,DeathDealer,8,R2LPQLLJ,,5,
35,Lemur,7,2ULCJQU9C,,3,
1,3,100,35,35,,
2,2,75,11,11,,
3,3,100,8,17,,
4,2,82,25,15,,
5,3,100,29,28,,
6,3,100,30,26,,
7,3,100,10,14,,
8,3,100,24,21,,
9,3,100,18,13,,
10,3,100,32,23,,
11,3,100,33,27,,
12,3,100,31,25,,
13,2,96,22,19,,
14,3,100,20,18,,
15,3,100,35,34,,
16,3,100,27,24,,
17,,,35,27,2,84
18,3,100,26,22,,
19,3,100,33,30,,
20,3,100,23,20,,
21,,,14,13,1,56
22,3,100,31,32,,
23,3,100,16,16,,
24,1,64,13,12,,
25,,,18,10,2,94
26,2,90,11,15,,
27,3,100,29,31,,
28,,,27,22,3,100
29,2,98,20,15,,
30,2,82,24,19,,
31,3,100,21,11,,
32,,,5,2,2,56
33,,,6,6,1,61
34,,,10,5,2,54
35,2,84,12,19,,
36,2,69,18,10,,
37,3,100,8,15,,
38,,,13,11,1,61
39,,,26,18,2,95
40,3,100,16,19,,
41,,,20,19,2,74
42,3,100,17,10,,
43,,,32,27,1,50
44,,,31,26,3,100
45,1,42,12,12,,
46,,,17,17,2,98
47,2,63,2,1,,
48,,,4,4,1,58
49,3,100,34,29,,
50,2,79,15,9,,
51,0,6,34,2,,
52,2,62,3,5,,
53,2,73,2,2,,
54,,,28,26,2,82
55,,,25,16,2,77
56,0,47,13,9,,
57,,,3,1,1,52
58,2,72,25,12,,
59,,,9,8,2,79
60,3,100,28,24,,
61,,,5,1,2,53
62,3,100,17,12,,
63,0,34,28,23,,
64,3,100,14,9,,
65,1,84,26,18,,
66,2,52,9,8,,
67,3,100,27,33,,
68,,,8,17,2,99
69,,,19,19,0,39
70,,,24,18,3,100
71,,,14,9,2,88
72,,,7,6,2,82
73,,,23,21,1,94
74,3,100,3,6,,
75,,,10,13,2,71
76,1,41,4,4,,
77,,,11,10,2,75
78,2,70,19,8,,
79,1,58,9,4,,
80,1,52,19,7,,
81,,,15,12,2,86
82,2,99,21,12,,
83,,,29,23,2,94
84,,,8,33,1,4
85,1,74,1,1,,
86,2,91,22,11,,
87,3,100,30,23,,
88,,,34,24,3,100
89,2,92,7,15,,
90,0,33,14,7,,
91,1,43,4,3,,
92,2,65,5,4,,
93,,,12,11,0,0
94,,,12,14,3,100
95,1,58,6,7,,
96,1,69,23,13,,
97,0,41,10,7,,
98,2,87,1,3,,
99,,,7,9,1,73
100,,,22,21,2,58
101,2,94,7,13,,
102,,,21,16,3,100
103,,,16,12,1,47
104,,,33,23,3,100
105,2,82,32,26,,
106,3,100,5,7,,
107,2,95,15,12,,
108,,,30,8,3,100
109,,,8,29,1,18
110,,,6,7,1,59
111,2,59,6,8,,
112,,,8,14,1,2
