version,1,reserved,reserved,reserved,reserved,reserved
Dragon Rejects,2VYVJ9CV,,JTJ,2R9RCV9V,,S2
35,,,,,,
2/7/16,,,,,,
1,opse2013,11,2J28J9RU,,11,
2,The Reverend,10,9LGLGUVR,,10,
3,Eleazar,9,C8GRJVL0,1,9,
4,Darth Carlos,9,VJG8CCUG,1,9,
5,jeff4217,9,QVPOGCJR,1,9,
6,Aboy,9,VQ9PUJV2,1,9,
7,Beej,9,CR8JYPLG,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,Eric,9,YYGOV9VC,1,9,
11,Who's a Loon,9,9LVOPCJR,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,Batman,9,2QU9CC8,1,9,
16,Mord,9,22JGQUCJQ,,9,
17,YYY,9,20YVJR2JG,,9,
18,Steve,9,QVRV9VGG,,9,
19,Jippieh Yeah,9,YCYV88UV,,9,
20,Brian,9,QJLVUGYJ,,9,
21,Jim,9,R2RRQJG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Lamar,9,QRPP92V2,,9,
24,Frog,9,2JVLYQQP,,9,
25,Amagnus,9,JVQ8JPQV,,9,
26,Joe,9,LG9GQQJ8,,9,
27,Simlin,9,2GO989G2U,,9,
28,Mr Incrediboyle,9,JGRY0R0L,,9,
29,Moose Knuckle,9,2PCQ29CR9,,9,
30,Katie-cakes,9,G2QQ0GGG2,,9,
31,Tukutae,9,2GCPJY82Y,1,8,
32,Ninja,8,YCR9JGR8,1,8,
33,secretslayer297,8,P2UJ9YCU,1,8,
34,KrustyKiller,8,222RRp9V2,1,8,
35,liam,7,28Q8YCPL0,1,8,
1,3,100,29,29,,
2,0,44,28,27,,
3,,,35,35,3,100
4,0,44,34,35,,
5,,,34,34,3,100
6,2,93,31,30,,
7,3,100,35,33,,
8,,,24,15,3,100
9,,,32,34,3,100
10,1,60,22,23,,
11,1,73,33,34,,
12,,,15,17,1,54
13,,,25,27,2,79
14,2,78,17,11,,
15,2,80,31,27,,
16,,,12,12,3,100
17,,,27,29,2,90
18,,,21,25,2,99
19,1,82,35,31,,
20,,,13,26,2,58
21,,,33,35,1,57
22,3,100,8,9,,
23,0,8,30,2,,
24,3,100,1,2,,
25,,,28,27,2,74
26,2,99,14,17,,
27,3,100,5,19,,
28,0,40,34,34,,
29,2,76,25,25,,
30,,,20,16,1,67
31,,,33,31,1,60
32,3,100,33,31,,
33,3,100,11,4,,
34,3,100,5,16,,
35,3,100,20,22,,
36,,,20,30,3,100
37,1,68,8,7,,
38,,,30,14,3,100
39,3,100,27,23,,
40,,,7,11,2,87
41,2,52,14,18,,
42,,,4,4,1,69
43,2,97,18,20,,
44,,,22,22,2,90
45,,,33,33,1,53
46,3,100,24,24,,
47,3,100,32,35,,
48,,,8,20,2,61
49,,,3,3,1,79
50,,,5,6,2,99
51,3,100,32,34,,
52,1,53,22,18,,
53,,,29,18,3,100
54,2,87,15,26,,
55,3,100,4,5,,
56,3,100,15,27,,
57,,,3,5,3,100
58,,,9,4,1,66
59,3,100,21,7,,
60,,,4,5,2,85
61,,,15,19,3,100
62,1,52,28,15,,
63,2,56,12,12,,
64,,,22,28,3,100
65,,,31,30,2,93
66,3,100,6,11,,
67,,,25,21,3,100
68,,,16,12,1,90
69,1,47,24,17,,
70,3,100,19,15,,
71,3,100,30,32,,
72,,,10,7,2,91
73,3,100,4,6,,
74,3,100,3,21,,
75,2,97,16,3,,
76,,,1,1,2,64
77,2,94,13,13,,
78,1,81,29,30,,
79,2,71,27,25,,
80,3,100,9,20,,
81,2,58,1,1,,
82,,,16,14,2,75
83,3,100,7,8,,
84,2,87,18,14,,
85,,,8,19,0,3
86,,,17,21,3,100
87,3,100,11,13,,
88,3,100,26,30,,
89,,,4,3,2,73
90,,,28,26,2,81
91,,,19,13,2,60
92,,,2,1,1,89
93,1,44,10,10,,
94,,,9,9,3,100
95,3,100,9,17,,
96,1,79,20,28,,
97,2,73,12,18,,
98,,,31,29,3,100
99,3,100,25,26,,
100,,,33,32,3,100
101,,,18,8,2,93
102,,,4,2,3,100
103,,,27,24,1,50
104,,,11,6,3,100
105,3,100,3,25,,
106,,,26,18,1,69
107,,,14,10,0,49
108,3,100,26,28,,
109,3,100,16,10,,
110,,,26,28,3,100
111,3,100,17,14,,
112,3,100,19,18,,
113,3,100,2,3,,
114,3,100,21,12,,
115,,,6,33,0,36
116,,,19,17,2,75
117,,,23,32,1,36
118,,,13,7,2,72
119,,,21,16,1,74
120,,,5,9,2,86
121,1,86,10,4,,
122,3,100,13,3,,
123,,,14,25,2,83
124,,,28,24,1,69
125,,,23,22,3,100
126,3,100,7,3,,
127,,,14,20,1,48
128,0,43,2,1,,
129,,,2,2,2,70
130,3,100,6,3,,
131,2,83,23,24,,
132,,,19,15,3,100
133,,,28,13,2,89
134,3,100,23,22,,
135,,,6,11,1,79
136,,,6,8,1,78
137,,,16,10,1,77
