version,1,reserved,reserved,reserved,reserved,reserved
Seahawks,QQCPL8U,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/02/10,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,The Reverend,10,9LGLGUVR,,11,
4,Space12345,10,8002Y989,,11,
5,Diggs,10,L82YQVU,,11,
6,MJP35,10,GRLV9L,,10,
7,Atlas,10,RJ9PJ9CC,,10,
8,Darth Carlos,9,VJG8CCUG,,10,
9,jeff4217,9,QVPOGCJR,1,9,
10,Cash,9,99PYRUGC,1,9,
11,Aboy,9,VQ9PUJV2,1,9,
12,Beej,9,CR8JYPLG,1,9,
13,Tyrion,9,99G8QGJV,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,RedACE,9,GRJLGCUQ,1,9,
16,Steve,9,QVRV9VGG,1,9,
17,Mord,9,22JGQUCJQ,1,9,
18,YYY,9,20YVJR2JG,1,9,
19,Jippieh Yeah,9,YCYV88UV,1,9,
20,Jim,9,R2RRQJG,1,9,
21,vtechno,9,RGRUPCV2,,9,
22,Simlin,9,2GO989G2U,,9,
23,Amagnus,9,JVQ8JPQV,,9,
24,Joe,9,LG9GQQJ8,,9,
25,Brodavidict,9,YYQQR2UY,,9,
26,Katie-cakes,9,G2QQ0GGG2,,9,
27,Tukutae,9,2GCPJY82Y,,9,
28,duckman,8,2G2RY2R98,,9,
29,Ninja,8,YCR9JGR8,1,8,
30,darkhorse,8,22YJ2U8YU,,8,
31,secretslayer297,8,P2UJ9YCU,,8,
32,Dragon Slayer,8,CV9L1YVC,,8,
33,liam,8,28Q8YCPL0,,5,
34,ritteshstark,8,2GC0V8VPQ,,5,
35,lemur,7,2ULCJQU9C,,3,
1,,,34,31,1,93
2,,,33,30,3,100
3,2,75,15,21,,
4,,,4,3,2,92
5,1,78,33,29,,
6,,,14,12,1,91
7,,,31,29,3,100
8,,,35,32,3,100
9,2,78,23,23,,
10,,,34,30,3,100
11,,,32,31,3,100
12,,,2,35,0,2
13,2,74,21,22,,
14,2,82,9,13,,
15,,,3,35,0,3
16,2,99,34,31,,
17,,,23,16,3,100
18,3,100,30,32,,
19,3,100,26,27,,
20,,,2,4,2,60
21,2,96,31,30,,
22,3,100,34,33,,
23,,,29,29,3,100
24,,,19,18,2,66
25,3,100,27,28,,
26,,,20,16,1,60
27,,,7,3,3,100
28,,,5,5,2,60
29,2,70,30,29,,
30,,,8,9,2,90
31,2,56,26,26,,
32,3,100,10,13,,
33,2,61,13,21,,
34,1,91,33,30,,
35,1,50,12,11,,
36,,,22,22,3,100
37,3,100,21,23,,
38,3,100,22,25,,
39,,,12,15,3,100
40,,,24,20,1,62
41,0,46,5,8,,
42,3,100,28,29,,
43,3,100,27,26,,
44,3,100,10,11,,
45,3,100,16,24,,
46,,,30,28,3,100
47,1,48,7,8,,
48,,,28,28,3,100
49,,,3,5,2,87
50,,,27,25,3,100
51,,,1,32,0,14
52,3,100,22,21,,
53,,,9,11,2,60
54,,,21,22,3,100
55,,,10,10,2,70
56,3,100,28,30,,
57,2,94,15,22,,
58,1,83,2,1,,
59,,,26,25,3,100
60,3,100,32,31,,
61,,,25,24,3,100
62,2,74,12,10,,
63,,,11,13,0,44
64,,,17,18,2,97
65,,,18,21,2,87
66,,,24,26,2,54
67,,,16,10,2,68
68,,,24,23,3,100
69,,,15,17,1,75
70,0,22,32,2,,
71,,,20,27,3,100
72,,,16,21,3,100
73,,,18,23,3,100
74,,,15,13,2,53
75,,,15,24,2,74
76,2,97,2,2,,
77,1,61,23,22,,
78,,,14,15,2,92
79,,,19,26,3,100
80,,,13,8,1,69
81,,,8,7,3,100
82,,,11,7,3,100
83,,,17,27,3,100
84,,,15,9,1,62
85,3,100,20,10,,
86,3,100,9,17,,
87,3,100,11,14,,
88,2,60,24,22,,
89,3,100,16,19,,
90,3,100,29,34,,
91,3,100,29,35,,
92,2,83,19,22,,
93,3,100,14,9,,
94,,,13,20,2,74
95,1,79,19,18,,
96,,,13,12,2,70
97,3,100,8,12,,
98,3,100,18,15,,
99,,,15,14,2,58
100,,,14,19,3,100
101,3,100,25,16,,
102,0,14,35,6,,
103,2,86,24,20,,
104,,,9,6,3,100
105,3,100,17,18,,
106,2,65,7,7,,
107,3,100,13,20,,
108,2,89,14,22,,
109,,,1,4,2,65
110,0,12,35,4,,
111,,,15,19,3,100
112,3,100,8,22,,
113,1,48,11,6,,
114,,,13,11,2,62
115,,,4,1,3,100
116,1,50,1,3,,
117,1,64,4,4,,
118,0,46,17,6,,
119,,,13,14,1,78
120,,,6,2,2,79
121,0,34,3,5,,
122,2,66,1,5,,
123,,,10,8,2,90
124,1,45,6,8,,
125,,,13,6,3,100
126,1,67,5,7,,
127,,,10,2,3,100
128,2,58,25,6,,
129,0,48,3,4,,
130,,,5,1,2,90
131,0,35,4,8,,
132,3,100,31,29,,
133,1,42,18,8,,
134,0,25,20,8,,
