version,1,reserved,reserved,reserved,reserved,reserved
VinaWarfare,PP9R8VQV,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/02/12,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Alaska,11,CCGUGLV,,11,
4,The Reverend,10,9LGLGUVR,,11,
5,ShawnTheVret,10,2UO9PQ9P,,11,
6,Space12345,10,8002Y989,,11,
7,Diggs,10,L82YQVU,,10,
8,Eleazar,9,C8GRJVL0,,10,
9,Darth Carlos,9,VJG8CCUG,,10,
10,jeff4217,9,QVPOGCJR,1,9,
11,Cash,9,99PYRUGC,1,9,
12,Aboy,9,VQ9PUJV2,1,9,
13,Tyrion,9,99G8QGJV,1,9,
14,Who's a Loon,9,9LVOPCJR,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,Kighr,9,J0RJP9LG,1,9,
17,RedACE,9,GRJLGCUQ,1,9,
18,Steve,9,QVRV9VGG,1,9,
19,Mord,9,22JGQUCJQ,,9,
20,YYY,9,20YVJR2JG,,9,
21,Jim,9,R2RRQJG,,9,
22,vtechno,9,RGRUPCV2,,9,
23,Simlin,9,2GO989G2U,,9,
24,Amagnus,9,JVQ8JPQV,,9,
25,Brodavidict,9,YYQQR2UY,,9,
26,Moose Knuckle,9,2PCQ29CR9,,9,
27,Tukutae,9,2GCPJY82Y,1,8,
28,duckman,8,2G2RY2R98,1,8,
29,darkhorse,8,22YJ2U8YU,1,8,
30,secretslayer297,8,P2UJ9YCU,1,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,KrustyKiller,8,222RRp9V2,,8,
33,liam,8,28Q8YCPL0,,8,
34,ritteshstark,8,2GC0V8VPQ,,8,
35,Lemur,7,2ULCJQU9C,,8,
1,3,100,9,10,,
2,3,100,18,18,,
3,,,20,16,2,74
4,3,100,30,27,,
5,3,100,32,32,,
6,,,23,21,2,94
7,3,100,33,30,,
8,1,74,10,16,,
9,2,67,5,8,,
10,3,100,25,17,,
11,2,79,22,21,,
12,,,24,25,3,100
13,3,100,30,29,,
14,3,100,16,23,,
15,3,100,17,20,,
16,2,59,26,25,,
17,1,44,23,24,,
18,3,100,13,22,,
19,3,100,34,35,,
20,2,93,29,31,,
21,3,100,28,28,,
22,1,65,5,7,,
23,,,35,35,2,83
24,3,100,27,26,,
25,3,100,32,34,,
26,,,5,8,1,49
27,,,25,25,2,82
28,3,100,15,16,,
29,0,28,35,6,,
30,3,100,17,21,,
31,3,100,34,33,,
32,,,13,13,2,93
33,3,100,10,12,,
34,,,22,21,2,86
35,,,19,18,3,100
36,3,100,33,31,,
37,1,78,24,19,,
38,3,100,22,25,,
39,,,9,9,3,100
40,2,86,19,14,,
41,0,12,35,5,,
42,2,68,11,11,,
43,,,16,13,3,100
44,3,100,20,13,,
45,0,29,28,9,,
46,,,32,31,0,34
47,0,10,31,4,,
48,1,56,18,15,,
49,0,14,31,1,,
50,3,100,21,14,,
51,3,100,26,24,,
52,,,18,18,3,100
53,,,7,5,2,54
54,,,8,9,3,100
55,3,100,23,19,,
56,,,33,32,3,100
57,,,12,12,2,98
58,3,100,13,11,,
59,,,1,1,2,62
60,,,10,8,2,77
61,2,62,25,15,,
62,2,78,24,15,,
63,,,32,34,2,71
64,,,3,4,2,65
65,2,83,16,9,,
66,,,17,11,1,48
67,1,31,27,15,,
68,,,14,12,3,100
69,,,10,7,3,100
70,,,28,26,3,100
71,,,30,28,1,50
72,,,27,24,1,83
73,,,12,7,2,98
74,,,17,14,2,90
75,,,15,6,3,100
76,2,99,8,15,,
77,,,26,16,2,70
78,,,6,1,2,72
79,,,29,26,3,100
80,,,4,4,2,58
81,,,34,33,3,100
82,3,100,2,5,,
83,,,32,32,1,53
84,,,27,22,3,100
85,,,35,33,3,100
86,2,65,8,9,,
87,,,21,20,2,85
88,,,32,30,0,34
89,,,31,23,3,100
90,,,30,34,2,70
91,1,53,12,7,,
92,,,30,27,0,40
93,3,100,14,15,,
94,3,100,21,15,,
95,,,22,15,1,60
96,,,30,24,3,100
97,,,25,23,2,61
98,,,12,10,3,100
99,1,52,15,9,,
100,0,27,20,3,,
101,0,45,12,6,,
102,2,81,14,7,,
103,,,26,11,3,100
104,,,11,10,3,100
105,0,13,29,2,,
106,3,100,9,9,,
107,,,32,28,1,59
108,2,87,3,4,,
109,2,61,2,3,,
110,,,23,17,2,93
111,,,25,22,1,49
112,1,55,1,1,,
113,2,77,4,8,,
114,1,87,6,7,,
115,0,45,19,6,,
116,,,2,2,0,43
117,,,2,3,1,46
118,,,23,15,2,79
119,,,32,19,3,100
120,,,20,14,3,100
121,2,55,11,6,,
122,,,25,27,0,44
123,2,92,7,7,,
124,,,25,20,3,100
125,1,62,6,2,,
126,0,38,7,1,,
127,,,23,19,1,35
128,0,42,4,1,,
129,,,17,6,3,100
130,,,29,31,0,46
131,,,5,2,3,100
132,,,21,17,3,100
133,,,13,3,3,100
134,1,51,3,2,,
135,1,58,1,7,,
