version,1,reserved,reserved,reserved,reserved,reserved
Black Trial,8ULQ2JOR,,JTJ,2R9RCV9V,,S2
35,,,,,,
2/17/16,,,,,,
1,Wryhorn,11,JQJQVL8Y,,10,
2,Atlas,10,RJ9PJ9CC,1,9,
3,Eleazar,9,C8GRJVL0,1,9,
4,jeff4217,9,QVPOGCJR,1,9,
5,Aboy,9,VQ9PUJV2,1,9,
6,Tyrion,9,99G8QGJV,1,9,
7,Eric,9,YYGOV9VC,1,9,
8,Kighr,9,J0RJP9LG,1,9,
9,Whooboy,9,22UOVV2JJ,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,steve,9,QVRV9VGG,1,9,
12,Mord,9,22JGQUCJQ,1,9,
13,YYY,9,20YVJR2JG,1,9,
14,Jippieh Yeah,9,YCYV88UV,,9,
15,DiscoHunter,9,280P2L90Q,,9,
16,Sarah Bear,9,2Y09YY9UG,,9,
17,vtechno,9,RGRUPCV2,,9,
18,Jim,9,R2RRQJG,,9,
19,Simlin,9,2GO989G2U,,9,
20,Joe,9,LG9GQQJ8,,9,
21,Mr Incrediboyle,9,JGRY0R0L,,9,
22,Poz,9,PPRYLOUY,,9,
23,Moose Knuckle,9,2PCQ29CR9,,9,
24,Tukutae,9,2GCPJY82Y,,9,
25,duckman,8,2G2RY2R98,1,8,
26,Ninja,8,YCR9JGR8,1,8,
27,secretslayer297,8,P2UJ9YCU,,8,
28,Dragon Slayer,8,CV9L1YVC,,8,
29,liam,8,28Q8YCPL0,,7,
30,ritteshstark,8,2GC0V8VPQ,,6,
31,lemur,7,2ULCJQU9C,,6,
32,Amagnus,7,JVQ8JPQV,,6,
33,Chief Amber,4,8JQY0JCGG,,5,
34,JTJ Red,4,2CCC8VQQQ,,4,
35,JTJ Blue,3,2U8V9GU22,,3,
1,0,0,33,3,,
2,3,100,5,3,,
3,0,2,33,4,,
4,3,100,27,27,,
5,3,100,4,5,,
6,3,100,22,22,,
7,3,100,32,29,,
8,,,33,32,1,61
9,1,50,7,11,,
10,2,91,3,17,,
11,3,100,8,19,,
12,0,2,34,1,,
13,3,100,9,4,,
14,1,86,23,20,,
15,3,100,29,26,,
16,3,100,14,6,,
17,3,100,17,15,,
18,3,100,12,8,,
19,2,97,21,2,,
20,1,76,30,25,,
21,3,100,6,13,,
22,3,100,28,25,,
23,2,99,24,23,,
24,3,100,25,24,,
25,3,100,26,28,,
26,3,100,10,16,,
27,3,100,15,14,,
28,3,100,32,30,,
29,3,100,20,20,,
30,,,26,24,3,100
31,3,100,16,21,,
32,3,100,22,23,,
33,3,100,26,31,,
34,3,100,14,9,,
35,,,33,31,3,100
36,3,100,31,34,,
37,3,100,25,32,,
38,3,100,30,33,,
39,3,100,21,7,,
40,3,100,1,1,,
41,3,100,4,10,,
42,3,100,19,18,,
43,3,100,10,17,,
44,2,86,13,2,,
45,3,100,31,35,,
46,2,71,7,12,,
47,1,58,19,12,,
48,3,100,27,24,,
49,,,30,26,2,97
50,3,100,6,11,,
51,3,100,18,12,,
52,,,14,11,2,54
53,3,100,15,2,,
54,3,100,8,17,,
55,1,58,24,20,,
56,,,31,27,3,100
57,,,23,23,2,90
58,2,53,2,1,,
59,,,21,18,2,89
60,,,34,30,3,100
61,3,100,17,3,,
62,,,35,32,3,100
63,,,23,18,2,56
64,,,17,14,2,82
65,3,100,3,2,,
66,,,9,6,2,52
67,,,3,2,2,70
68,,,4,30,1,8
69,,,22,19,1,70
70,,,15,12,2,66
71,2,99,13,3,,
72,,,8,5,2,75
73,,,4,2,1,32
74,,,5,3,2,70
75,3,100,18,2,,
76,,,12,9,2,53
77,,,10,7,2,74
78,,,6,3,2,73
79,,,11,10,0,49
80,,,13,8,2,61
81,3,100,23,22,,
82,,,11,11,2,58
83,,,32,29,1,67
84,2,60,20,3,,
85,,,30,27,2,72
86,,,16,14,2,75
87,2,90,11,6,,
88,3,100,16,16,,
89,2,70,9,8,,
90,,,20,17,1,36
91,,,24,21,3,100
92,,,20,6,2,57
93,,,22,22,2,88
94,3,100,2,2,,
95,,,29,26,1,51
96,3,100,5,2,,
97,,,2,31,0,4
98,3,100,28,26,,
99,2,57,12,1,,
100,,,29,22,3,100
101,,,19,7,2,86
102,,,28,29,2,60
103,,,2,1,2,54
104,3,100,11,5,,
105,,,7,4,2,52
106,,,23,21,2,91
107,,,1,33,0,6
108,,,25,12,3,100
109,,,27,24,2,79
110,,,18,15,2,70
111,3,100,29,25,,
112,,,4,4,2,98
113,,,21,8,2,78
114,,,23,16,2,70
115,,,27,19,3,100
116,,,28,23,3,100
117,,,30,13,3,100
118,,,19,15,2,75
119,,,32,16,3,100
