version,1,reserved,reserved,reserved,reserved,reserved
Omega Legacy,8L8LLLJU,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/02/19,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,bugerhead,11,GG98Y0VL,,10,
3,opse2013,11,2J28J9RU,,10,
4,Atlas,10,RJ9PJ9CC,,10,
5,Eleazar,9,C8GRJVL0,,11,
6,jeff4217,9,QVPOGCJR,,11,
7,Darth Carlos,9,VJG8CCUG,,11,
8,Aboy,9,VQ9PUJV2,,10,
9,Tyrion,9,99G8QGJV,,10,
10,Who's A Loon,9,9LVOPCJR,,11,
11,Eric,9,YYGOV9VC,,10,
12,Kighr,9,J0RJP9LG,,10,
13,RedACE,9,GRJLGCUQ,,10,
14,Whooboy,9,22UOVV2JJ,,11,
15,Steve,9,QVRV9VGG,,10,
16,Mord,9,22JGQUCJQ,,9,
17,Caesar,9,J0Vj8OUQ,,9,
18,DiscoHunter,9,280P2L90Q,,9,
19,vtechno,9,RGRUPCV2,,9,
20,Sarah Bear,9,2Y09YY9UG,,9,
21,Jim,9,R2RRQJG,,9,
22,Joe,9,LG9GQQJ8,,9,
23,Mr Incrediboyle,9,JGRY0R0L,,9,
24,Poz,9,PPRYLOUY,,9,
25,Moose Knuckle,9,2PCQ29CR9,,9,
26,MohamedMran,9,2GQ8VYRLV,,9,
27,duckman,8,2G2RY2R98,,9,
28,Ninja,8,YCR9JGR8,,9,
29,secretslayer297,8,P2UJ9YCU,,8,
30,Dragon Slayer,8,CV9L1YVC,,8,
31,liam,8,28Q8YCPL0,,8,
32,ritteshstark,8,2GC0V8VPQ,,8,
33,lemur,7,2ULCJQU9C,,7,
34,Amagnus2,7,JVQ8JPQV,,6,
35,MiniACE,7,898P9GJ89,,6,
1,3,100,35,32,,
2,3,100,32,29,,
3,3,100,6,15,,
4,3,100,29,24,,
5,3,100,26,27,,
6,3,100,30,31,,
7,3,100,23,5,,
8,3,100,33,34,,
9,3,100,1,1,,
10,3,100,29,23,,
11,3,100,23,4,,
12,,,35,30,3,100
13,3,100,26,28,,
14,,,34,30,0,8
15,,,6,4,1,3
16,,,13,4,1,2
17,3,100,14,16,,
18,3,100,11,12,,
19,3,100,13,20,,
20,,,6,5,1,19
21,3,100,34,33,,
22,3,100,3,6,,
23,2,57,16,10,,
24,3,100,20,26,,
25,3,100,1,2,,
26,3,100,18,25,,
27,,,6,3,1,10
28,3,100,35,35,,
29,3,100,31,30,,
30,1,96,19,22,,
31,3,100,10,3,,
32,2,92,7,9,,
33,3,100,30,17,,
34,3,100,28,21,,
35,3,100,3,7,,
36,1,57,4,11,,
37,3,100,13,22,,
38,3,100,28,19,,
39,2,60,9,11,,
40,3,100,24,18,,
41,1,50,34,13,,
42,3,100,17,14,,
43,1,42,6,9,,
44,3,100,17,13,,
45,,,6,14,1,41
46,1,66,9,10,,
47,2,62,11,11,,
48,1,61,5,8,,
49,2,59,21,8,,
50,3,100,5,13,,
51,,,6,10,1,4
52,3,100,32,18,,
53,,,6,28,1,2
54,,,13,28,1,10
55,3,100,7,11,,
56,3,100,27,28,,
57,1,2,2,1,,
58,1,2,2,2,,
59,2,66,21,10,,
60,2,75,12,10,,
61,,,7,10,1,33
62,2,89,8,10,,
63,1,62,4,8,,
64,1,59,15,8,,
65,,,13,18,1,10
66,,,6,18,1,10
67,3,100,14,10,,
68,1,90,27,27,,
69,2,72,15,9,,
70,2,67,8,8,,
71,2,84,25,16,,
72,3,100,20,16,,
73,,,32,29,2,50
74,3,100,18,16,,
75,3,100,33,32,,
76,3,100,12,12,,
77,3,100,19,16,,
78,1,43,22,8,,
79,3,100,24,3,,
80,2,59,22,1,,
81,2,67,25,1,,
82,2,76,31,19,,
83,,,1,26,0,0
84,2,64,10,8,,
85,,,6,1,1,2
86,1,67,16,9,,
