version,1,reserved,reserved,reserved,reserved,reserved
Team Japan,9RJJQV2P,,JTJ,2R9RCV9V,,S2
30,,,,,,
2016/02/21,,,,,,
1,opse2013,11,2J28J9RU,,11,
2,space12345,10,8002Y989,,10,
3,Eleazar,9,C8GRJVL0,1,9,
4,jeff4217,9,QVPOGCJR,1,9,
5,cash,9,99PYRUGC,1,9,
6,Aboy,9,VQ9PUJV2,1,9,
7,Tyrion,9,99G8QGJV,1,9,
8,Who's a Loon,9,9LVOPCJR,1,9,
9,Eric,9,YYGOV9VC,,9,
10,Whooboy,9,22UOVV2JJ,,9,
11,Kighr,9,J0RJP9LG,,9,
12,Steve,9,QVRV9VGG,,9,
13,Mord,9,22JGQUCJQ,,9,
14,Caesar,9,J0Vj8OUQ,,9,
15,DiscoHunter,9,280P2L90Q,,9,
16,Sarah Bear,9,2Y09YY9UG,,9,
17,Brodavidict,9,YYQQR2UY,,9,
18,Jim,9,R2RRQJG,,9,
19,amagnus,9,JVQ8JPQV,,9,
20,Simlin,9,2GO989G2U,,9,
21,Joe,9,LG9GQQJ8,,9,
22,Poz,9,PPRYLOUY,,9,
23,Tukutae,9,2GCPJY82Y,,9,
24,Katie-cakes,9,G2QQ0GGG2,,9,
25,duckman,8,2G2RY2R98,1,8,
26,Ninja,8,YCR9JGR8,1,8,
27,Dragon Slayer,8,CV9L1YVC,1,8,
28,liam,8,28Q8YCPL0,1,8,
29,ritteshstark,8,2GC0V8VPQ,1,8,
30,lemur,7,2ULCJQU9C,,8,
1,3,100,29,28,,
2,3,100,21,11,,
3,3,100,20,19,,
4,3,100,23,24,,
5,1,52,4,5,,
6,3,100,28,27,,
7,3,100,12,12,,
8,,,24,16,1,81
9,,,25,26,2,81
10,3,100,15,9,,
11,2,58,10,8,,
12,,,13,13,2,56
13,3,100,7,10,,
14,,,8,5,2,56
15,3,100,29,29,,
16,3,100,16,14,,
17,3,100,25,25,,
18,0,13,30,1,,
19,3,100,12,13,,
20,3,100,22,20,,
21,2,87,23,21,,
22,,,3,2,2,78
23,,,6,6,2,66
24,3,100,20,18,,
25,3,100,9,7,,
26,,,29,29,2,87
27,3,100,27,26,,
28,0,31,27,2,,
29,3,100,14,15,,
30,3,100,26,30,,
31,0,31,25,3,,
32,0,41,30,4,,
33,,,12,12,2,78
34,2,99,19,16,,
35,,,5,3,2,81
36,,,30,30,3,100
37,2,86,1,1,,
38,,,23,18,3,100
39,3,100,5,5,,
40,3,100,8,8,,
41,3,100,22,16,,
42,3,100,5,3,,
43,1,48,26,6,,
44,,,10,5,3,100
45,,,21,17,2,79
46,3,100,19,17,,
47,1,72,2,2,,
48,3,100,1,2,,
49,,,22,18,0,48
50,,,4,6,1,44
51,,,15,15,2,69
52,,,22,16,2,59
53,,,26,26,2,66
54,3,100,11,22,,
55,,,28,29,2,94
56,,,20,24,1,35
57,,,19,17,0,36
58,,,27,27,3,100
59,,,11,11,2,81
60,,,16,12,2,81
61,,,19,24,1,25
62,,,1,1,1,58
63,,,18,23,2,58
64,,,24,21,2,77
65,,,9,8,0,48
66,2,85,13,4,,
67,,,20,20,0,37
68,,,25,25,1,52
69,,,20,22,2,61
70,3,100,6,4,,
71,,,14,11,3,100
72,,,19,15,2,60
73,1,57,17,6,,
74,,,28,28,2,71
75,3,100,10,6,,
76,3,100,15,21,,
77,,,17,14,2,60
78,2,82,24,23,,
79,3,100,16,23,,
80,,,25,20,2,66
81,,,9,7,2,89
82,,,6,9,2,62
83,2,66,7,7,,
84,1,58,11,4,,
85,,,7,3,3,100
86,,,24,19,2,60
87,3,100,3,4,,
88,2,65,4,2,,
89,2,66,13,2,,
90,3,100,28,25,,
91,2,53,3,5,,
92,2,78,9,9,,
93,1,49,8,2,,
94,2,94,6,3,,
95,,,29,28,2,87
96,2,68,14,5,,
97,3,100,17,5,,
98,,,2,1,2,84
99,,,25,21,3,100
100,,,28,27,3,100
101,,,4,14,1,2
102,,,4,10,1,44
103,0,46,2,1,,
104,,,24,22,2,58
105,3,100,21,8,,
106,3,100,18,3,,
107,,,4,4,2,82
108,,,2,2,1,42
