version,1,reserved,reserved,reserved,reserved,reserved
Not Okay,9ROJVQQ,,JTJ,2R9RCV9V,,S2
35,,,,,,
2016/02/24,,,,,,
1,opse2013,11,2J28J9RU,,11,
2,Alaska,11,CCGUGLV,,11,
3,Space12345,10,8002Y989,,11,
4,Atlas,10,RJ9PJ9CC,,11,
5,Eleazar,9,C8GRJVL0,,10,
6,Darth Carlos,9,VJG8CCUG,1,9,
7,jeff4217,9,QVPOGCJR,1,9,
8,Cash,9,99PYRUGC,1,9,
9,Aboy,9,VQ9PUJV2,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Eric,9,YYGOV9VC,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Steve,9,QVRV9VGG,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Caesar,9,J0Vj8OUQ,1,9,
18,Jippieh Yeah,9,YCYV88UV,1,9,
19,vtechno,9,RGRUPCV2,1,9,
20,Brodavidict,9,YYQQR2UY,,9,
21,Jim,9,R2RRQJG,,9,
22,Amagnus,9,JVQ8JPQV,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Poz,9,PPRYLOUY,,9,
25,Tukutae,9,2GCPJY82Y,,9,
26,Katie-cakes,9,G2QQ0GGG2,,9,
27,MohamedMran,9,2GQ8VYRLV,,9,
28,TheDad,8,229YVP9UC,1,8,
29,Ninja,8,YCR9JGR8,1,8,
30,duckman,8,2G2RY2R98,1,8,
31,paytax,8,8QCYR9J,,8,
32,secretslayer297,8,P2UJ9YCU,,8,
33,liam,8,28Q8YCPL0,,8,
34,ritteshstark,8,2GC0V8VPQ,,8,
35,lemur,7,2ULCJQU9C,,6,
1,3,100,23,23,,
2,2,78,7,12,,
3,3,100,32,34,,
4,3,100,6,6,,
5,,,28,24,3,100
6,3,100,34,29,,
7,,,30,26,3,100
8,1,94,27,27,,
9,,,32,30,3,100
10,,,26,15,2,68
11,3,100,31,32,,
12,,,35,31,3,100
13,3,100,9,7,,
14,,,27,19,3,100
15,3,100,33,28,,
16,3,100,16,24,,
17,3,100,30,30,,
18,3,100,18,16,,
19,3,100,22,25,,
20,2,99,19,20,,
21,,,29,32,1,79
22,,,29,24,2,76
23,,,22,11,2,56
24,3,100,14,22,,
25,0,12,35,1,,
26,,,31,27,2,64
27,3,100,29,33,,
28,1,83,24,27,,
29,,,31,26,3,100
30,3,100,28,31,,
31,0,9,33,4,,
32,,,35,35,1,38
33,,,26,22,3,100
34,,,25,21,3,100
35,,,9,5,1,58
36,,,34,31,1,94
37,3,100,13,21,,
38,1,60,27,26,,
39,,,14,9,2,82
40,,,23,20,1,83
41,3,100,17,27,,
42,,,24,15,0,44
43,3,100,20,19,,
44,,,11,8,3,100
45,3,100,35,35,,
46,0,24,31,2,,
47,2,75,15,11,,
48,2,99,22,20,,
49,,,12,7,3,100
50,0,15,32,5,,
51,1,66,24,26,,
52,,,34,32,2,90
53,3,100,8,11,,
54,,,34,30,3,100
55,1,89,7,15,,
56,1,61,4,5,,
57,,,33,28,1,80
58,,,23,19,2,87
59,3,100,19,17,,
60,3,100,16,20,,
61,0,22,30,9,,
62,2,74,13,18,,
63,3,100,10,12,,
64,,,24,25,1,48
65,,,24,10,2,62
66,,,29,21,3,100
67,,,21,17,1,66
68,0,16,28,3,,
69,3,100,25,26,,
70,,,20,14,2,90
71,2,99,20,9,,
72,,,33,34,2,60
73,,,19,12,2,51
74,,,3,2,3,100
75,,,24,23,2,90
76,,,24,18,2,95
77,,,21,25,2,62
78,3,100,6,8,,
79,3,100,1,4,,
80,1,52,25,18,,
81,,,18,17,2,77
82,2,56,17,10,,
83,,,17,12,2,81
84,,,24,14,2,84
85,0,41,29,13,,
86,3,100,1,2,,
87,,,33,33,1,68
88,,,10,5,3,100
89,3,100,5,13,,
90,2,81,10,9,,
91,,,13,28,0,25
92,,,6,7,3,100
93,,,15,9,3,100
94,,,33,29,2,96
95,3,100,5,18,,
96,3,100,21,15,,
97,3,100,21,9,,
98,3,100,18,10,,
99,3,100,15,14,,
100,0,34,12,3,,
101,1,67,3,5,,
102,3,100,34,28,,
103,1,66,23,6,,
104,2,65,14,5,,
105,2,65,12,5,,
106,,,16,6,0,45
107,0,34,4,3,,
108,,,16,10,2,50
109,3,100,9,5,,
110,,,23,22,2,98
111,,,22,23,2,69
112,,,13,13,3,100
113,1,46,2,1,,
114,,,14,8,3,100
115,,,24,20,3,100
116,,,5,4,3,100
117,,,33,6,3,100
118,0,38,3,3,,
119,,,7,3,3,100
120,,,4,2,3,100
121,,,2,1,1,54
122,,,8,4,3,100
123,,,23,16,3,100
124,,,20,13,3,100
125,,,22,16,3,100
126,2,75,8,5,,
127,,,9,3,3,100
128,,,34,33,2,69
129,,,21,18,2,66
130,0,49,2,3,,
131,,,1,1,0,38
132,,,21,11,2,89
