version,1,reserved,reserved,reserved,reserved,reserved
Destroyers,9QPL0Y2Y,,JTJ,2R9RCV9V,,S2
30,,,,,,
2016/02/26,,,,,,
1,opse2013,11,2J28J9RU,,11,
2,space12345,10,8002Y989,,10,
3,Eleazar,9,C8GRJVL0,,10,
4,Darth Carlos,9,VJG8CCUG,,10,
5,Blaine,9,RCYRQ8LG,1,9,
6,Aboy,9,VQ9PUJV2,1,9,
7,Tyrion,9,99G8QGJV,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Who's a Loon,9,9LVOPCJR,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,RedACE,9,GRJLGCUQ,,9,
13,Mord,9,22JGQUCJQ,,9,
14,Anthony,9,YPPQ8G99,,9,
15,Caesar,9,J0Vj8OUQ,,9,
16,Jippieh Yeah,9,YCYV88UV,,9,
17,Brodavidict,9,YYQQR2UY,,9,
18,Amagnus,9,JVQ8JPQV,,9,
19,Simlin,9,2GO989G2U,,9,
20,Joe,9,LG9GQQJ8,,9,
21,Poz,9,PPRYLOUY,1,8,
22,Tukutae,9,2GCPJY82Y,1,8,
23,TheDad,8,229YVP9UC,1,8,
24,Ninja,8,YCR9JGR8,1,8,
25,duckman,8,2G2RY2R98,1,8,
26,paytax,8,8QCYR9J,,8,
27,secretslayer297,8,P2UJ9YCU,,8,
28,Dragon Slayer,8,CV9L1YVC,,8,
29,liam,8,28Q8YCPL0,,8,
30,jester,8,2CVR8PRR9,,7,
1,3,100,29,21,,
2,,,28,23,2,68
3,3,100,23,29,,
4,3,100,8,8,,
5,3,100,27,26,,
6,1,93,24,28,,
7,,,29,28,1,85
8,3,100,10,7,,
9,3,100,30,30,,
10,3,100,19,14,,
11,3,100,12,13,,
12,1,55,20,16,,
13,,,26,26,0,43
14,3,100,22,20,,
15,0,38,7,15,,
16,3,100,5,12,,
17,2,87,25,22,,
18,,,30,28,3,100
19,3,100,26,27,,
20,,,14,13,2,54
21,3,100,29,23,,
22,1,64,27,24,,
23,3,100,21,19,,
24,3,100,28,25,,
25,3,100,9,11,,
26,3,100,14,18,,
27,1,54,8,4,,
28,3,100,25,24,,
29,2,64,19,15,,
30,,,18,16,2,57
31,,,26,23,2,55
32,,,7,7,2,72
33,2,88,12,16,,
34,,,10,11,2,62
35,3,100,13,5,,
36,,,23,17,3,100
37,1,60,11,16,,
38,,,8,8,2,73
39,3,100,23,28,,
40,3,100,10,9,,
41,2,83,16,10,,
42,,,25,21,1,73
43,3,100,18,17,,
44,3,100,5,15,,
45,3,100,26,22,,
46,3,100,4,6,,
47,0,12,24,1,,
48,,,24,22,2,97
49,2,86,22,16,,
50,,,19,16,2,58
51,0,41,30,3,,
52,3,100,14,16,,
53,,,11,7,2,62
54,,,27,27,2,54
55,3,100,18,10,,
56,0,56,7,5,,
57,3,100,1,1,,
58,3,100,15,6,,
59,0,40,15,4,,
60,1,74,16,3,,
61,2,75,9,3,,
62,,,29,27,3,100
63,,,9,9,2,73
64,2,65,4,4,,
65,,,25,24,2,69
66,,,12,12,2,54
67,3,100,3,3,,
68,3,100,17,8,,
69,,,26,21,1,78
70,3,100,1,2,,
71,,,15,15,2,68
72,,,6,20,2,60
73,,,25,22,3,100
74,,,3,2,1,69
75,,,13,14,1,50
76,,,16,11,1,43
77,,,5,5,2,78
78,,,4,3,2,85
79,,,3,4,3,100
80,0,49,13,4,,
81,,,20,12,1,68
82,,,21,19,2,56
83,2,71,6,4,,
84,3,100,17,6,,
85,,,22,17,2,70
86,1,86,11,5,,
87,,,13,8,2,82
88,,,8,5,2,62
89,1,91,2,3,,
90,,,17,19,1,53
91,3,100,6,6,,
92,2,85,3,4,,
93,3,100,20,10,,
94,,,20,14,3,100
95,,,17,6,2,58
96,3,100,21,10,,
97,,,2,2,1,36
98,,,17,18,1,62
99,,,16,3,3,100
100,,,2,4,1,36
101,2,54,2,4,,
102,,,1,10,0,0
103,,,10,9,2,88
104,,,1,1,0,40
105,3,100,28,23,,
106,,,15,13,2,94
