version,1,reserved,reserved,reserved,reserved,reserved
Xfusion,9LVRJY2Y,,JTJ,2R9RCV9V,,S2
30,,,,,,
2/28/16,,,,,,
1,Space12345,10,8002Y989,,10,
2,Blaine,9,RCYRQ8LG,1,9,
3,Cash,9,99PYRUGC,1,9,
4,Aboy,10,VQ9PUJV2,1,9,
5,Czech1Czech2,9,22CP2Y828,1,9,
6,Tyrion,9,99G8QGJV,1,9,
7,Who's a Loon,10,9LVOPCJR,1,9,
8,Eric,9,YYGOV9VC,1,9,
9,RedACE,9,GRJLGCUQ,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Steve,9,QVRV9VGG,1,9,
12,Mord,9,22JGQUCJQ,1,9,
13,Anthony,9,YPPQ8G99,,9,
14,Jippieh Yeah,9,YCYV88UV,,9,
15,Jim,9,R2RRQJG,,9,
16,Amagnus,9,JVQ8JPQV,,9,
17,Simlin,9,2GO989G2U,,9,
18,Joe,9,LG9GQQJ8,,9,
19,Poz,9,PPRYLOUY,,9,
20,Moose Knuckle,9,2PCQ29CR9,,9,
21,Tukutae,9,2GCPJY82Y,,9,
22,Katie-cakes,9,G2QQ0GGG2,1,8,
23,TheDad,8,229YVP9UC,1,8,
24,Ninja,8,YCR9JGR8,1,8,
25,paytax,8,8QCYR9J,1,8,
26,secretslayer297,8,P2UJ9YCU,,8,
27,Dragon Slayer,8,CV9L1YVC,,8,
28,liam,8,28Q8YCPL0,,7,
29,ritteshstark,8,2GC0V8VPQ,,6,
30,lemur,7,2ULCJQU9C,,6,
1,3,100,5,8,,
2,3,100,13,16,,
3,3,100,16,15,,
4,3,100,11,13,,
5,2,98,9,18,,
6,3,100,17,14,,
7,3,100,21,20,,
8,2,99,25,25,,
9,2,60,29,23,,
10,1,69,22,18,,
11,,,24,21,2,52
12,3,100,19,17,,
13,1,56,2,3,,
14,,,16,13,1,82
15,,,25,23,2,85
16,1,81,8,9,,
17,3,100,26,27,,
18,0,38,20,19,,
19,1,70,23,24,,
20,,,21,20,2,81
21,3,100,2,2,,
22,3,100,26,28,,
23,,,30,28,0,49
24,3,100,17,18,,
25,1,90,28,22,,
26,,,20,12,2,82
27,,,22,8,2,61
28,3,100,29,25,,
29,,,11,11,2,74
30,3,100,5,5,,
31,3,100,22,21,,
32,,,5,3,2,73
33,3,100,6,9,,
34,3,100,21,19,,
35,3,100,14,12,,
36,,,28,23,1,79
37,3,100,24,26,,
38,3,100,11,10,,
39,3,100,28,24,,
40,,,18,13,1,75
41,3,100,25,22,,
42,2,78,19,6,,
43,3,100,3,3,,
44,2,76,24,23,,
45,2,82,13,4,,
46,3,100,9,11,,
47,3,100,14,6,,
48,,,26,26,3,100
49,3,100,3,4,,
50,,,10,11,2,53
51,2,87,16,7,,
52,3,100,27,23,,
53,2,66,6,7,,
54,,,22,20,2,97
55,,,19,8,2,84
56,3,100,4,7,,
57,3,100,1,2,,
58,,,9,7,2,64
59,3,100,30,30,,
60,,,23,21,1,88
61,,,13,9,1,50
62,2,89,20,18,,
63,,,8,7,2,62
64,1,63,7,1,,
65,,,1,1,2,55
66,,,29,24,2,91
67,,,28,25,0,37
68,1,70,12,1,,
69,,,20,14,3,100
70,1,78,1,1,,
71,,,25,17,2,73
72,1,56,18,1,,
73,3,100,7,2,,
74,2,73,10,3,,
75,1,79,12,5,,
76,3,100,30,29,,
77,1,38,23,20,,
78,,,28,24,2,85
79,,,2,2,2,74
80,2,86,4,1,,
81,,,4,1,2,93
82,,,3,4,2,77
83,,,6,5,2,57
84,,,27,26,3,100
85,,,30,25,3,100
86,,,6,3,1,64
87,1,58,18,13,,
88,,,12,9,0,36
89,,,29,22,2,76
90,3,100,15,3,,
91,3,100,10,4,,
92,,,12,4,1,48
93,,,18,10,2,60
94,,,23,29,0,2
95,,,13,5,2,64
96,3,100,15,6,,
97,,,23,22,2,82
98,,,23,14,3,100
