version,1,reserved,reserved,reserved,reserved,reserved
The Gobfather,2JUVOYOO,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/02,,,,,,
1,Opse2013,11,2J28J9RU,,10,
2,Space12345,10,8002Y989,,10,
3,Eleazar,9,C8GRJVL0,1,9,
4,Darth Carlos,9,VJG8CCUG,1,9,
5,Blaine,9,RCYRQ8LG,1,9,
6,Cash,9,99PYRUGC,1,9,
7,Aboy,10,VQ9PUJV2,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Steve,9,QVRV9VGG,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,Jim,9,R2RRQJG,1,9,
16,Simlin,9,2GO989G2U,1,9,
17,Amagnus,9,JVQ8JPQV,1,9,
18,DimSum,9,Y9GV0QQ,1,9,
19,Poz,9,PPRYLOUY,,9,
20,Moose Knuckle,9,2PCQ29CR9,,9,
21,Tukutae,9,2GCPJY82Y,,9,
22,Katie-cakes,9,G2QQ0GGG2,1,8,
23,TheDad,8,229YVP9UC,1,8,
24,Ninja,8,YCR9JGR8,1,8,
25,paytax,8,8QCYR9J,1,8,
26,secretslayer297,8,P2UJ9YCU,1,8,
27,ritteshstark,8,2GC0V8VPQ,1,8,
28,liam,8,28Q8YCPL0,1,8,
29,Jester,8,2CVR8PRR9,,8,
30,Lemur,7,2ULCJQU9C,,8,
1,,,2,2,2,65
2,,,29,29,1,87
3,2,65,13,15,,
4,3,100,27,28,,
5,,,22,20,1,43
6,,,30,28,3,100
7,,,8,8,1,62
8,2,75,8,6,,
9,2,75,10,18,,
10,,,24,22,3,100
11,3,100,28,24,,
12,,,26,27,1,50
13,,,26,22,3,100
14,2,94,11,15,,
15,3,100,26,30,,
16,3,100,5,5,,
17,,,29,30,3,100
18,3,100,25,25,,
19,2,72,9,14,,
20,3,100,28,22,,
21,,,11,10,3,100
22,,,9,8,3,100
23,0,12,30,2,,
24,,,18,16,3,100
25,3,100,21,21,,
26,3,100,22,20,,
27,,,25,25,1,58
28,3,100,27,27,,
29,3,100,5,4,,
30,3,100,8,8,,
31,,,23,20,3,100
32,3,100,23,23,,
33,,,25,23,3,100
34,2,68,22,19,,
35,,,5,5,2,99
36,3,100,1,2,,
37,1,49,20,19,,
38,3,100,26,29,,
39,2,83,17,16,,
40,,,6,6,2,81
41,3,100,23,26,,
42,,,13,17,0,47
43,2,67,16,17,,
44,,,27,23,1,60
45,,,12,5,3,100
46,3,100,4,3,,
47,,,13,14,3,100
48,3,100,6,6,,
49,,,27,30,1,79
50,0,9,30,1,,
51,3,100,19,17,,
52,3,100,15,15,,
53,2,97,21,19,,
54,3,100,16,18,,
55,,,28,26,2,79
56,,,5,6,2,56
57,0,37,24,9,,
58,,,3,4,1,81
59,1,73,17,19,,
60,,,3,9,3,100
61,1,70,13,16,,
62,,,15,15,2,77
63,3,100,10,14,,
64,1,45,25,12,,
65,0,44,29,7,,
66,2,99,19,19,,
67,,,20,12,3,100
68,1,46,24,13,,
69,1,90,15,12,,
70,0,27,29,10,,
71,3,100,3,13,,
72,,,27,26,2,72
73,,,4,9,2,82
74,3,100,1,1,,
75,2,74,9,16,,
76,,,22,21,2,69
77,,,28,25,2,96
78,2,68,3,12,,
79,,,21,21,2,64
80,3,100,18,19,,
81,,,16,16,1,79
82,,,19,19,3,100
83,2,90,14,9,,
84,3,100,12,10,,
85,3,100,18,16,,
86,,,10,10,2,90
87,2,73,14,7,,
88,,,28,27,1,67
89,,,7,2,3,100
90,2,58,20,11,,
91,,,17,15,2,97
92,1,75,11,12,,
93,,,8,7,0,31
94,,,14,14,3,100
95,,,16,13,2,53
96,1,54,12,7,,
97,,,5,11,2,95
98,2,87,7,11,,
99,,,8,3,2,98
100,3,100,2,7,,
101,3,100,4,9,,
102,3,100,6,11,,
103,3,100,7,12,,
104,,,4,4,2,62
105,,,6,11,2,65
106,,,21,19,3,100
107,,,1,1,0,43
108,,,10,3,3,100
109,,,15,12,2,81
110,,,22,18,2,89
111,0,47,2,2,,
112,,,2,1,2,71
113,,,28,13,3,100
114,,,6,18,2,73
