version,1,reserved,reserved,reserved,reserved,reserved
Dream Warriors,88R82JLJ,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/04,,,,,,
1,opse2013,11,2J28J9RU,,11,
2,Space12345,10,8002Y989,,10,
3,Atlas,10,RJ9PJ9CC,,10,
4,Eleazar,9,C8GRJVL0,,10,
5,Darth Carlos,9,VJG8CCUG,,10,
6,Blaine,9,RCYRQ8LG,,10,
7,Aboy,9,VQ9PUJV2,,10,
8,Czech1Czech2,9,22CP2Y828,,10,
9,Tyrion,9,99G8QGJV,,10,
10,RedACE,9,GRJLGCUQ,,10,
11,Whooboy,9,22UOVV2JJ,,10,
12,Steve,9,QVRV9VGG,1,9,
13,Kighr,9,J0RJP9LG,,9,
14,Mord,9,22JGQUCJQ,,9,
15,Caesar,9,J0Vj8OUQ,,9,
16,Jim,9,R2RRQJG,,9,
17,Amagnus,9,JVQ8JPQV,,9,
18,Simlin,9,2GO989G2U,,9,
19,Joe,9,LG9GQQJ8,,9,
20,DimSum,9,Y9GV0QQ,,9,
21,Golden Thumbs,9,90JRCPL8,,9,
22,Poz,9,PPRYLOUY,,9,
23,Tukutae,9,2GCPJY82Y,,9,
24,TheDad,8,229YVP9UC,,9,
25,Ninja,8,YCR9JGR8,1,8,
26,paytax,8,8QCYR9J,1,8,
27,secretslayer297,8,P2UJ9YCU,1,8,
28,Dragon Slayer,8,CV9L1YVC,,8,
29,ritteshstark,8,2GC0V8VPQ,,8,
30,liam,8,28Q8YCPL0,,7,
1,,,12,10,2,68
2,3,100,26,29,,
3,3,100,25,28,,
4,3,100,27,30,,
5,3,100,23,24,,
6,1,76,10,14,,
7,2,91,18,16,,
8,1,94,30,25,,
9,3,100,29,27,,
10,,,26,24,2,61
11,,,19,17,1,43
12,3,100,22,20,,
13,3,100,24,26,,
14,,,5,3,2,58
15,3,100,27,25,,
16,,,26,20,0,17
17,0,39,25,10,,
18,3,100,21,13,,
19,0,10,30,1,,
20,3,100,23,23,,
21,0,22,29,7,,
22,1,62,6,10,,
23,0,17,24,8,,
24,,,15,13,2,62
25,2,83,10,16,,
26,1,50,11,9,,
27,3,100,9,14,,
28,0,31,26,2,,
29,,,16,14,2,54
30,,,17,15,2,58
31,,,21,19,2,60
32,1,98,22,21,,
33,3,100,17,19,,
34,3,100,19,17,,
35,,,27,25,2,71
36,1,45,6,7,,
37,0,30,28,3,,
38,3,100,12,15,,
39,,,4,3,2,89
40,0,33,28,5,,
41,2,52,8,11,,
42,,,8,8,2,50
43,3,100,18,12,,
44,3,100,17,16,,
45,3,100,15,22,,
46,2,52,12,9,,
47,2,80,21,18,,
48,,,2,1,1,45
49,,,23,13,2,60
50,3,100,15,21,,
51,,,23,19,2,74
52,,,18,15,2,73
53,3,100,1,1,,
54,,,22,21,2,71
55,,,6,2,2,89
56,,,29,27,1,93
57,3,100,20,18,,
58,1,55,16,8,,
59,,,30,29,1,56
60,,,13,11,2,74
61,1,75,14,10,,
62,,,3,1,1,52
63,2,78,20,11,,
64,,,30,28,1,84
65,3,100,1,2,,
66,3,100,7,7,,
67,,,7,4,2,82
68,2,53,14,6,,
69,,,10,9,2,68
70,2,55,3,5,,
71,2,73,11,10,,
72,1,57,13,8,,
73,,,20,18,2,60
74,2,71,2,3,,
75,3,100,5,8,,
76,1,79,4,10,,
77,3,100,2,11,,
78,1,37,8,4,,
79,1,77,7,10,,
80,1,68,4,12,,
81,1,54,5,4,,
82,,,11,9,2,67
83,,,28,27,3,100
84,1,40,3,4,,
85,0,48,16,4,,
86,1,33,9,4,,
87,,,3,5,0,45
88,,,9,24,1,2
89,,,6,11,1,4
90,,,9,30,1,8
91,,,6,25,1,6
92,,,9,14,2,72
93,,,6,28,1,6
94,,,6,5,1,6
95,,,13,30,1,11
96,3,100,19,12,,
