version,1,reserved,reserved,reserved,reserved,reserved
Handicap Circus,9UJ2OGCJ,,JTJ,2R9RCV9V,,S3
35,,,,,,
2016/03/06,,,,,,
1,opse2013,11,2J28J9RU,,10,
2,Space12345,10,8002Y989,1,9,
3,Eleazar,9,C8GRJVL0,1,9,
4,Darth Carlos,9,VJG8CCUG,1,9,
5,Blaine,9,RCYRQ8LG,1,9,
6,Aboy,10,VQ9PUJV2,1,9,
7,Czech1Czech2,9,22CP2Y828,1,9,
8,Tyrion,9,99G8QGJV,1,9,
9,Ethan,9,P8UUL9CJ,,9,
10,You,9,CJGQOLOO,,9,
11,Steve,9,QVRV9VGG,,9,
12,Kighr,9,J0RJP9LG,,9,
13,RedACE,9,GRJLGCUQ,,9,
14,Whooboy,9,22UOVV2JJ,,9,
15,Mord,9,22JGQUCJQ,,9,
16,Anthony,9,YPPQ8G99,,9,
17,Caesar,9,J0Vj8OUQ,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,Brodavidict,9,YYQQR2UY,,9,
20,Amagnus,9,JVQ8JPQV,,9,
21,Simlin,9,2GO989G2U,,9,
22,DimSum,9,Y9GV0QQ,,9,
23,Golden Thumbs,9,90JRCPL8,,9,
24,Poz,9,PPRYLOUY,,9,
25,Tukutae,9,2GCPJY82Y,,9,
26,Moose Knuckle,9,2PCQ29CR9,,9,
27,Katie-cakes,9,G2QQ0GGG2,,9,
28,TheDad,8,229YVP9UC,1,8,
29,Ninja,8,YCR9JGR8,,8,
30,paytax,8,8QCYR9J,,8,
31,secretslayer297,8,P2UJ9YCU,,8,
32,ritteshstark,8,2GC0V8VPQ,,8,
33,Trappist9,8,RJLYJYCG,,7,
34,liam,8,28Q8YCPL0,,7,
35,lemur,7,2ULCJQU9C,,7,
1,,,28,29,2,63
2,2,91,30,28,,
3,3,100,27,25,,
4,,,34,34,1,60
5,3,100,25,24,,
6,,,24,16,2,64
7,3,100,31,31,,
8,3,100,26,23,,
9,3,100,32,28,,
10,,,30,30,3,100
11,,,9,11,2,81
12,1,61,27,21,,
13,3,100,13,16,,
14,,,17,14,1,64
15,2,70,21,15,,
16,,,4,13,2,77
17,3,100,11,12,,
18,,,22,19,2,61
19,3,100,34,29,,
20,3,100,35,35,,
21,3,100,16,18,,
22,3,100,31,32,,
23,,,10,15,1,49
24,2,84,17,19,,
25,2,97,25,21,,
26,1,60,24,20,,
27,3,100,22,14,,
28,2,99,13,15,,
29,3,100,21,19,,
30,,,15,4,1,78
31,3,100,20,17,,
32,,,3,10,3,100
33,3,100,12,22,,
34,2,94,19,8,,
35,,,7,1,2,70
36,3,100,1,1,,
37,2,67,28,27,,
38,3,100,8,13,,
39,3,100,1,2,,
40,3,100,4,3,,
41,3,100,32,27,,
42,3,100,16,20,,
43,1,56,34,26,,
44,,,16,4,2,69
45,3,100,30,30,,
46,,,25,24,1,39
47,1,87,4,4,,
48,3,100,23,11,,
49,3,100,29,33,,
50,3,100,17,21,,
51,,,19,21,2,61
52,3,100,20,15,,
53,3,100,7,4,,
54,,,27,23,2,64
55,,,29,28,2,87
56,3,100,10,5,,
57,,,23,24,2,64
58,2,98,8,9,,
59,3,100,18,8,,
60,3,100,15,7,,
61,0,41,33,6,,
62,3,100,26,26,,
63,0,43,29,10,,
64,,,8,8,2,82
65,3,100,3,10,,
66,1,66,15,6,,
67,,,14,5,2,71
68,1,61,2,1,,
69,,,33,33,1,52
70,3,100,19,9,,
71,3,100,35,34,,
72,2,83,5,6,,
73,3,100,11,6,,
74,,,26,26,3,100
75,3,100,3,9,,
76,,,13,7,1,35
77,3,100,18,2,,
78,3,100,9,9,,
79,,,13,11,1,54
80,2,98,5,2,,
81,,,35,35,3,100
82,,,34,32,3,100
83,,,11,9,0,39
84,,,31,30,3,100
85,,,29,29,1,75
86,,,35,34,2,54
87,2,99,14,9,,
88,,,27,16,3,100
89,3,100,6,2,,
90,,,25,21,3,100
91,3,100,12,5,,
92,0,49,28,26,,
93,,,28,25,1,79
94,,,19,5,1,43
95,3,100,33,30,,
96,,,17,9,2,99
97,,,28,27,3,100
98,,,24,14,3,100
99,,,32,32,2,50
100,,,11,6,1,91
101,,,12,12,0,0
102,,,18,12,1,49
103,2,54,14,1,,
104,,,33,31,3,100
105,,,32,35,2,60
106,,,32,31,1,76
107,,,5,3,2,75
108,,,21,8,2,72
109,,,12,19,2,73
110,,,23,7,2,68
111,,,22,18,3,100
112,,,2,1,0,37
113,,,29,25,1,81
114,3,100,2,2,,
115,,,6,2,2,60
116,3,100,24,16,,
117,2,69,10,1,,
118,1,52,6,1,,
119,,,16,15,1,50
120,3,100,9,8,,
121,,,20,20,2,68
122,,,5,33,1,47
123,2,65,23,2,,
124,,,15,18,0,33
125,3,100,7,2,,
126,,,29,27,2,70
127,,,23,26,1,95
128,,,10,3,1,85
129,,,13,2,1,72
130,,,18,23,1,49
131,,,11,20,2,77
132,,,13,13,2,98
133,,,4,10,2,50
134,,,15,6,0,37
135,2,70,22,6,,
