version,1,reserved,reserved,reserved,reserved,reserved
H1ttnL1ckz,2GPRV2RP,,JTJ,2R9RCV9V,,S2
35,,,,,,
3/9/16,,,,,,
1,opse2013,11,2J28J9RU,,11,
2,space12345,10,8002Y989,,10,
3,Eleazar,9,C8GRJVL0,,10,
4,Darth Carlos,9,VJG8CCUG,1,9,
5,Blaine,9,RCYRQ8LG,1,9,
6,Tyrion,9,99G8QGJV,1,9,
7,Alec,9,8UGYRRGO,1,9,
8,steve,9,QVRV9VGG,1,9,
9,RedACE,9,GRJLGCUQ,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Whooboy,9,22UOVV2JJ,1,9,
12,Mord,9,22JGQUCJQ,,9,
13,Anthony,9,YPPQ8G99,,9,
14,Caesar,9,J0Vj8OUQ,,9,
15,Jippieh Yeah,9,YCYV88UV,,9,
16,Brodavidict,9,YYQQR2UY,,9,
17,Simlin,9,2GO989G2U,,9,
18,darkness,9,CQP22QY2,,9,
19,stardust,9,Y2QPCLQC,,9,
20,Amagnus,9,JVQ8JPQV,,9,
21,DimSum,9,Y9GV0QQ,,9,
22,Joe,9,LG9GQQJ8,,9,
23,Golden Thumbs,9,90JRCPL8,,9,
24,Poz,9,PPRYLOUY,,9,
25,ren9,9,29CUGOGCR,,9,
26,Tukutae,9,2GCPJY82Y,,9,
27,Katie-cakes,9,G2QQ0GGG2,,9,
28,paytax,8,8QCYR9J,,9,
29,TheDad,8,229YVP9UC,1,8,
30,secretslayer297,8,P2UJ9YCU,1,8,
31,Dragon Slayer,8,CV9L1YVC,,8,
32,ritteshstark,8,2GC0V8VPQ,,8,
33,liam,8,28Q8YCPL0,,8,
34,trappist9,8,RJLYJYCG,,8,
35,lemur,7,2ULCJQU9C,,7,
1,,,29,32,2,90
2,1,83,4,6,,
3,3,100,25,24,,
4,,,28,29,2,72
5,2,86,8,12,,
6,1,84,13,14,,
7,,,30,32,2,68
8,3,100,17,16,,
9,,,28,33,3,100
10,,,11,12,1,50
11,3,100,21,13,,
12,3,100,29,31,,
13,3,100,16,11,,
14,3,100,30,32,,
15,,,25,21,0,44
16,3,100,10,18,,
17,3,100,9,15,,
18,3,100,7,12,,
19,,,22,18,0,40
20,,,32,31,3,100
21,3,100,15,9,,
22,,,29,33,3,100
23,2,96,28,33,,
24,3,100,30,34,,
25,,,26,17,2,99
26,3,100,22,20,,
27,1,77,33,29,,
28,,,25,24,1,41
29,,,23,13,1,66
30,3,100,5,7,,
31,3,100,17,22,,
32,,,31,30,1,70
33,3,100,23,21,,
34,,,31,29,2,65
35,3,100,7,10,,
36,,,27,20,2,77
37,2,87,6,17,,
38,3,100,24,26,,
39,3,100,16,6,,
40,3,100,27,27,,
41,0,39,26,28,,
42,3,100,32,30,,
43,,,24,16,2,92
44,1,94,28,29,,
45,3,100,14,23,,
46,1,52,26,8,,
47,3,100,25,28,,
48,,,22,16,2,79
49,,,10,7,2,69
50,,,27,27,3,100
51,,,31,34,1,64
52,,,20,21,2,78
53,3,100,27,25,,
54,3,100,20,19,,
55,,,34,31,3,100
56,0,31,33,5,,
57,3,100,31,30,,
58,,,30,30,1,62
59,3,100,9,14,,
60,3,100,34,33,,
61,,,19,14,1,61
62,,,25,17,1,41
63,,,14,23,0,45
64,3,100,5,5,,
65,,,16,20,2,62
66,,,18,27,2,82
67,2,79,24,17,,
68,,,6,4,2,93
69,3,100,18,8,,
70,,,35,35,3,100
71,,,17,14,2,73
72,1,54,32,29,,
73,0,6,35,1,,
74,,,21,15,2,69
75,1,91,8,4,,
76,1,91,29,29,,
77,,,14,28,1,62
78,3,100,13,17,,
79,2,66,14,4,,
80,,,19,11,2,72
81,3,100,2,3,,
82,2,85,1,1,,
83,2,94,3,4,,
84,1,75,1,2,,
85,3,100,19,4,,
86,2,97,6,3,,
87,3,100,20,4,,
88,3,100,3,11,,
89,2,60,19,2,,
90,,,15,8,2,50
91,,,13,10,1,70
92,3,100,34,29,,
93,3,100,18,3,,
94,,,9,3,2,74
95,,,25,22,2,69
96,,,12,25,0,48
97,,,26,23,1,86
98,,,5,9,2,54
99,,,12,13,1,44
100,,,8,8,2,69
101,1,55,21,2,,
102,3,100,35,35,,
103,,,11,10,2,96
104,,,2,2,0,42
105,,,33,34,3,100
106,,,7,11,2,73
107,3,100,22,14,,
108,,,31,35,1,62
109,,,23,25,1,51
110,3,100,11,10,,
111,,,2,1,1,48
112,1,51,23,10,,
113,,,13,12,2,93
114,2,79,2,2,,
115,2,79,31,29,,
116,,,4,3,2,56
117,,,23,22,2,58
118,,,3,1,3,100
119,2,99,11,9,,
120,,,8,6,2,66
121,2,55,15,2,,
122,,,14,4,2,94
123,2,78,10,6,,
124,,,25,28,1,49
125,,,12,6,2,73
126,,,9,5,2,62
127,1,77,12,3,,
128,2,64,4,2,,
129,,,4,9,2,69
130,,,1,2,0,32
131,,,23,15,1,52
132,,,5,5,1,79
133,,,11,7,0,48
134,,,26,18,2,72
