version,1,reserved,reserved,reserved,reserved,reserved
Ohio Boys 2.0,P8J88V9,,JTJ,2R9RCV9V,,S3
35,,,,,,
2016/03/11,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Chezwick,10,RYRQL82U,,10,
4,space12345,10,8002Y989,,10,
5,Eleazar,9,C8GRJVL0,,10,
6,Darth Carlos,9,VJG8CCUG,1,9,
7,Blaine,9,RCYRQ8LG,1,9,
8,Aboy,9,VQ9PUJV2,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,Steve,9,QVRV9VGG,1,9,
12,RedACE,9,GRJLGCUQ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Anthony,9,YPPQ8G99,1,9,
15,Jippieh Yeah,9,YCYV88UV,1,9,
16,Brodavidict,9,YYQQR2UY,1,9,
17,NickinOKC,9,2YVPJPJC,,9,
18,Simlin,9,2GO989G2U,,9,
19,Amagnus,9,JVQ8JPQV,,9,
20,darkness,9,CQP22QY2,,9,
21,stardust,9,Y2QPCLQC,,9,
22,DimSum,9,Y9GV0QQ,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Golden Thumbs,9,90JRCPL8,,9,
25,Poz,9,PPRYLOUY,,9,
26,Moose Knuckle,9,2PCQ29CR9,,9,
27,Katie-cakes,9,G2QQ0GGG2,,9,
28,paytax,8,8QCYR9J,1,8,
29,TheDad,8,229YVP9UC,1,8,
30,Dragon Slayer,8,CV9L1YVC,,8,
31,ritteshstark,8,2GC0V8VPQ,,8,
32,liam,8,28Q8YCPL0,,8,
33,trappist9,8,RJLYJYCG,,7,
34,RedACEling,8,YRJQQQVLY,,7,
35,lemur,7,2ULCJQU9C,,6,
1,3,100,17,25,,
2,3,100,34,33,,
3,2,95,18,20,,
4,3,100,12,22,,
5,,,28,28,1,64
6,3,100,22,17,,
7,2,52,10,18,,
8,1,88,31,29,,
9,,,23,19,1,60
10,,,20,18,1,58
11,1,79,28,27,,
12,,,14,12,2,86
13,,,5,3,2,89
14,,,30,28,3,100
15,,,3,1,2,67
16,3,100,30,28,,
17,3,100,35,35,,
18,,,32,30,1,62
19,2,87,7,9,,
20,3,100,20,23,,
21,2,82,19,19,,
22,1,85,28,29,,
23,3,100,31,27,,
24,2,63,27,26,,
25,2,91,18,19,,
26,2,62,24,21,,
27,3,100,12,20,,
28,3,100,7,8,,
29,,,21,16,2,90
30,,,20,12,3,100
31,,,33,30,1,69
32,3,100,14,24,,
33,3,100,9,10,,
34,3,100,26,26,,
35,1,74,19,18,,
36,3,100,6,6,,
37,,,17,13,3,100
38,3,100,29,29,,
39,3,100,35,34,,
40,3,100,21,9,,
41,3,100,29,30,,
42,,,34,34,2,67
43,,,11,13,1,64
44,2,79,11,12,,
45,3,100,13,19,,
46,,,16,16,2,58
47,2,88,20,18,,
48,1,65,4,5,,
49,,,15,14,2,87
50,3,100,16,16,,
51,3,100,5,18,,
52,,,32,32,1,59
53,3,100,33,31,,
54,3,100,33,32,,
55,,,31,29,2,88
56,,,22,21,2,61
57,1,28,34,3,,
58,,,25,25,2,60
59,3,100,16,11,,
60,0,48,1,1,,
61,3,100,26,21,,
62,1,61,5,14,,
63,1,80,15,15,,
64,2,79,23,14,,
65,,,32,27,2,76
66,,,32,31,1,73
67,2,99,22,13,,
68,2,75,2,1,,
69,,,28,26,3,100
70,2,56,1,2,,
71,,,10,9,2,74
72,3,100,2,3,,
73,1,72,11,15,,
74,2,76,14,12,,
75,,,26,25,1,78
76,,,33,31,2,75
77,2,99,17,13,,
78,3,100,21,15,,
79,2,81,8,5,,
80,,,13,8,2,60
81,2,68,4,4,,
82,,,18,17,2,70
83,1,50,15,14,,
84,,,21,22,2,86
85,,,24,18,2,72
86,,,4,4,1,48
87,,,29,27,1,63
88,3,100,3,5,,
89,,,19,17,2,83
90,,,9,11,2,73
91,3,100,13,7,,
92,2,92,24,12,,
93,,,8,11,1,56
94,,,24,22,2,76
95,3,100,6,13,,
96,3,100,32,28,,
97,3,100,10,12,,
98,0,44,25,14,,
99,,,11,6,2,66
100,,,23,23,1,61
101,,,12,15,2,57
102,,,26,19,2,72
103,1,50,8,4,,
104,2,94,30,27,,
105,,,10,14,1,60
106,,,7,35,1,3
107,,,4,1,1,56
108,,,6,3,3,100
109,1,71,3,4,,
110,,,8,8,0,48
111,,,1,2,0,49
112,,,14,9,2,70
113,,,29,32,1,87
114,3,100,23,19,,
115,,,10,35,1,2
116,,,10,33,1,2
117,,,23,20,2,54
118,,,27,21,3,100
119,3,100,32,30,,
120,1,58,9,14,,
121,,,2,2,0,32
122,,,8,4,3,100
123,,,7,33,1,4
124,3,100,25,21,,
125,,,7,26,1,6
