version,1,reserved,reserved,reserved,reserved,reserved
BinhDuong Group,PYG2Y2QV,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/13,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Alaska,11,CCGUGLV,,11,
4,Chezwick,10,RYRQL82U,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Darth Carlos,9,VJG8CCUG,,10,
8,Blaine,9,RCYRQ8LG,,10,
9,Aboy,9,VQ9PUJV2,,10,
10,Czech1Czech2,9,22CP2Y828,,10,
11,Tyrion,9,99G8QGJV,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,Simlin,9,2GO989G2U,1,9,
16,NickinOKC,9,2YVPJPJC,1,9,
17,Brodavidict,9,YYQQR2UY,,9,
18,Amagnus,9,JVQ8JPQV,,9,
19,stardust,9,Y2QPCLQC,,9,
20,DimSum,9,Y9GV0QQ,,9,
21,Joe,9,LG9GQQJ8,,9,
22,Golden Thumbs,9,90JRCPL8,,9,
23,Poz,9,PPRYLOUY,,9,
24,Moose Knuckle,9,2PCQ29CR9,,9,
25,Katie-cakes,9,G2QQ0GGG2,,9,
26,paytax,8,8QCYR9J,,9,
27,TheDad,8,229YVP9UC,,9,
28,ritteshstark,8,2GC0V8VPQ,,8,
29,liam,8,28Q8YCPL0,,7,
30,Lemur,7,2ULCJQU9C,,5,
1,0,14,29,1,,
2,0,20,26,2,,
3,2,90,20,18,,
4,3,100,13,19,,
5,,,9,7,2,99
6,3,100,15,23,,
7,,,2,30,0,0
8,,,4,30,0,0
9,,,3,28,0,6
10,,,1,28,0,7
11,,,5,29,0,2
12,,,25,25,2,70
13,2,57,23,22,,
14,0,15,29,4,,
15,,,26,26,3,100
16,,,6,7,3,100
17,3,100,27,28,,
18,0,9,28,3,,
19,3,100,25,27,,
20,2,94,10,12,,
21,,,17,13,2,53
22,3,100,22,24,,
23,0,27,26,5,,
24,2,88,18,21,,
25,2,86,15,22,,
26,2,90,23,26,,
27,,,23,16,1,67
28,3,100,11,17,,
29,,,27,27,1,75
30,3,100,13,18,,
31,3,100,21,25,,
32,0,12,28,6,,
33,,,11,11,3,100
34,,,25,26,2,87
35,,,23,17,3,100
36,3,100,16,21,,
37,,,22,22,1,35
38,,,25,24,2,94
39,,,16,19,2,52
40,3,100,18,22,,
41,3,100,7,12,,
42,2,53,3,2,,
43,,,4,2,1,89
44,,,14,11,3,100
45,,,15,13,2,70
46,,,24,15,1,95
47,3,100,17,16,,
48,,,7,5,2,73
49,,,8,12,2,62
50,,,1,2,2,64
51,,,24,21,3,100
52,1,54,24,26,,
53,,,19,18,3,100
54,,,18,19,1,58
55,,,12,5,2,90
56,,,13,12,2,50
57,,,20,20,2,70
58,,,27,23,1,96
59,,,8,6,2,69
60,1,58,24,20,,
61,,,5,4,0,42
62,2,75,8,11,,
63,3,100,19,15,,
64,,,22,21,2,96
65,3,100,12,20,,
66,,,28,25,3,100
67,3,100,30,29,,
68,0,25,27,7,,
69,2,68,2,1,,
70,,,29,22,1,79
71,,,5,3,3,100
72,,,15,17,2,95
73,,,10,10,2,72
74,3,100,8,13,,
75,3,100,2,5,,
76,,,21,15,3,100
77,2,56,19,7,,
78,3,100,30,30,,
79,3,100,21,26,,
80,,,29,23,3,100
81,,,9,4,3,100
82,0,32,25,8,,
83,3,100,17,14,,
84,2,97,16,11,,
85,,,25,20,1,44
86,2,53,22,11,,
87,1,94,12,11,,
88,0,0,4,3,,
89,2,69,14,11,,
90,3,100,6,11,,
91,2,81,7,9,,
92,2,50,1,3,,
93,2,55,11,10,,
94,1,79,9,9,,
95,3,100,5,8,,
96,1,62,9,10,,
97,1,56,14,6,,
98,,,4,1,2,86
99,2,79,1,4,,
100,,,30,27,3,100
101,2,83,6,10,,
102,2,60,5,6,,
103,,,18,9,1,87
104,2,90,20,11,,
105,3,100,4,7,,
106,0,46,10,6,,
107,,,25,16,2,60
108,,,3,3,2,78
109,,,20,14,3,100
110,,,10,8,2,82
111,,,18,18,1,62
112,,,18,10,2,54
113,,,27,24,3,100
114,2,93,3,10,,
115,,,2,1,0,24
