version,1,reserved,reserved,reserved,reserved,reserved
Walking,9Y8VVRP,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/16,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Alaska,11,CCGUGLV,,11,
4,Chezwick,10,RYRQL82U,,10,
5,Eleazar,9,C8GRJVL0,,10,
6,Darth Carlos,9,VJG8CCUG,,10,
7,Blaine,9,RCYRQ8LG,1,9,
8,Aboy,9,VQ9PUJV2,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Alec,9,8UGYRRGO,1,9,
13,Steve,9,QVRV9VGG,1,9,
14,Kighr,9,J0RJP9LG,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,NickinOKC,9,2YVPJPJC,,9,
17,Brodavidict,9,YYQQR2UY,,9,
18,Amagnus,9,JVQ8JPQV,,9,
19,jbarr,9,URJUUYPP,,9,
20,Jim,9,R2RRQJG,,9,
21,DimSum,9,Y9GV0QQ,,9,
22,Joe,9,LG9GQQJ8,,9,
23,Golden Thumbs,9,90JRCPL8,,9,
24,Poz,9,PPRYLOUY,1,8,
25,Moose Knuckle,9,2PCQ29CR9,,8,
26,Katie-cakes,9,G2QQ0GGG2,,8,
27,paytax,8,8QCYR9J,,7,
28,TheDad,9,229YVP9UC,,5,
29,ritteshstark,8,2GC0V8VPQ,,4,
30,liam,8,28Q8YCPL0,,3,
1,3,100,6,6,,
2,,,26,12,1,75
3,,,25,19,1,60
4,,,28,20,3,100
5,3,100,24,22,,
6,,,30,25,1,91
7,3,100,22,21,,
8,3,100,29,24,,
9,3,100,11,18,,
10,3,100,7,7,,
11,3,100,30,25,,
12,,,6,14,2,57
13,2,99,21,17,,
14,3,100,27,26,,
15,3,100,14,20,,
16,,,19,11,2,58
17,,,5,7,2,53
18,,,27,24,3,100
19,3,100,19,19,,
20,,,29,25,2,85
21,,,29,24,1,50
22,3,100,25,23,,
23,3,100,9,11,,
24,,,8,11,2,66
25,3,100,7,9,,
26,3,100,17,12,,
27,,,26,20,2,61
28,3,100,11,17,,
29,,,24,17,2,76
30,,,23,15,3,100
31,3,100,26,14,,
32,,,7,6,2,65
33,3,100,28,29,,
34,3,100,28,30,,
35,,,30,22,3,100
36,2,67,26,10,,
37,3,100,29,28,,
38,3,100,10,10,,
39,3,100,27,27,,
40,3,100,18,16,,
41,3,100,9,8,,
42,,,10,22,1,41
43,2,95,12,15,,
44,3,100,30,26,,
45,1,56,16,13,,
46,3,100,3,1,,
47,1,54,18,13,,
48,1,68,23,15,,
49,3,100,2,3,,
50,1,56,12,13,,
51,,,20,18,1,79
52,,,22,17,2,65
53,,,16,13,3,100
54,,,17,15,1,94
55,3,100,5,13,,
56,,,9,9,1,68
57,,,15,19,2,75
58,,,11,6,2,78
59,3,100,10,15,,
60,,,4,14,0,29
61,,,9,7,2,99
62,,,21,12,0,32
63,,,29,26,2,54
64,,,13,16,2,77
65,,,1,1,2,73
66,0,20,19,5,,
67,,,12,9,2,75
68,1,70,20,5,,
69,1,70,5,5,,
70,,,2,28,0,0
71,,,3,28,0,0
72,,,14,8,2,61
73,,,3,1,2,56
74,0,43,15,4,,
75,1,57,13,7,,
76,3,100,16,8,,
77,,,2,2,0,39
78,,,4,5,2,62
79,0,43,15,2,,
80,1,91,25,19,,
81,3,100,13,9,,
82,0,39,3,2,,
83,,,2,3,0,34
84,2,84,21,6,,
85,1,67,4,4,,
86,0,23,8,5,,
87,2,60,23,6,,
88,1,50,1,4,,
89,,,2,4,0,29
90,,,21,2,3,100
91,,,25,18,1,58
92,3,100,14,10,,
93,2,65,2,2,,
94,2,77,6,7,,
95,3,100,24,12,,
96,1,60,8,4,,
97,,,18,16,2,86
98,2,60,4,2,,
99,,,10,8,2,79
100,1,50,22,12,,
101,3,100,17,8,,
102,,,25,10,3,100
103,,,20,10,3,100
104,0,34,20,4,,
