version,1,reserved,reserved,reserved,reserved,reserved
Moio!,QCPQPY8G,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/18,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Blaine,9,RCYRQ8LG,,11,
3,Aboy,9,VQ9PUJV2,1,9,
4,Czech1Czech2,9,22CP2Y828,1,9,
5,Tyrion,9,99G8QGJV,1,9,
6,Steve,9,QVRV9VGG,1,9,
7,RedACE,9,GRJLGCUQ,1,9,
8,Alec,9,8UGYRRGO,1,9,
9,Kighr,9,J0RJP9LG,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,Caesar,9,J0Vj8OUQ,1,9,
12,Jippieh Yeah,9,YCYV88UV,1,9,
13,Simlin,9,2GO989G2U,1,9,
14,NickInOKC,9,2YVPJPJC,1,9,
15,Brodavidict,9,YYQQR2UY,1,9,
16,Amagnus,9,JVQ8JPQV,1,9,
17,jbarr,9,URJUUYPP,1,9,
18,stardust,9,Y2QPCLQC,1,9,
19,Jim,9,R2RRQJG,1,9,
20,DimSum,9,Y9GV0QQ,1,9,
21,Joe,9,LG9GQQJ8,,9,
22,Golden Thumbs,9,90JRCPL8,,9,
23,Poz,9,PPRYLOUY,,9,
24,Moose Knuckle,9,2PCQ29CR9,,9,
25,Ninja,9,YCR9JGR8,,9,
26,paytax,8,8QCYR9J,,9,
27,Dragon Slayer,8,CV9L1YVC,,9,
28,ritteshstark,8,2GC0V8VPQ,,9,
29,Trappist9,8,RJLYJYCG,,9,
30,Lemur,7,2ULCJQU9C,,9,
1,3,100,7,16,,
2,,,1,22,0,10
3,,,19,25,2,74
4,,,21,18,0,19
5,,,16,13,1,25
6,0,23,26,1,,
7,,,18,17,0,40
8,0,33,29,5,,
9,1,56,25,8,,
10,2,88,14,18,,
11,,,16,18,3,100
12,,,19,16,3,100
13,,,11,24,1,86
14,1,52,29,4,,
15,3,100,13,20,,
16,,,21,13,2,70
17,3,100,2,5,,
18,1,53,22,26,,
19,2,75,7,17,,
20,2,97,6,15,,
21,1,24,28,11,,
22,,,4,17,2,69
23,3,100,10,11,,
24,0,18,26,2,,
25,2,98,17,22,,
26,,,14,20,3,100
27,1,57,16,19,,
28,3,100,6,27,,
29,,,10,12,3,100
30,2,62,25,3,,
31,3,100,5,14,,
32,0,18,30,6,,
33,,,5,4,2,73
34,3,100,13,22,,
35,1,83,23,29,,
36,,,27,27,3,100
37,0,19,30,7,,
38,,,20,14,2,87
39,3,100,8,26,,
40,3,100,2,3,,
41,,,21,25,3,100
42,0,29,28,12,,
43,3,100,16,21,,
44,2,87,8,18,,
45,3,100,14,23,,
46,2,78,5,15,,
47,,,13,23,3,100
48,2,56,19,6,,
49,,,23,10,2,96
50,3,100,20,24,,
51,2,82,24,29,,
52,,,22,29,1,67
53,3,100,20,19,,
54,1,94,9,25,,
55,,,7,19,1,62
56,,,18,12,3,100
57,,,8,8,3,100
58,2,56,24,28,,
59,3,100,17,29,,
60,3,100,15,8,,
61,,,26,26,3,100
62,,,4,22,2,97
63,,,25,26,3,100
64,2,83,12,12,,
65,,,17,8,3,100
66,,,24,30,2,97
67,,,4,27,1,53
68,,,5,16,2,64
69,,,23,11,3,100
70,1,53,23,25,,
71,,,12,28,2,95
72,,,11,21,3,100
73,,,15,10,3,100
74,,,24,11,3,100
75,3,100,3,4,,
76,3,100,18,7,,
77,1,74,15,9,,
78,3,100,10,13,,
79,3,100,9,30,,
80,,,3,3,0,0
81,,,5,21,3,100
82,3,100,18,9,,
83,,,3,1,3,100
84,,,4,2,3,100
85,1,54,22,25,,
86,,,28,7,3,100
87,,,22,4,2,88
88,1,38,1,2,,
89,,,6,23,3,100
90,,,1,2,2,63
91,,,20,19,2,83
92,,,2,1,3,100
93,,,9,5,0,32
94,2,94,21,28,,
95,,,22,5,2,99
96,,,29,20,3,100
97,,,9,14,2,95
98,,,30,15,3,100
99,1,86,4,10,,
100,2,68,1,1,,
101,,,22,24,3,100
102,,,7,3,3,100
103,,,9,9,1,89
104,3,100,3,10,,
105,,,9,7,3,100
106,3,100,12,25,,
107,1,76,21,18,,
108,,,20,283,100,
109,3,100,19,12,,
110,,,12,29,2,91
111,3,100,4,12,,
112,,,20,15,3,100
