version,1,reserved,reserved,reserved,reserved,reserved
Paraguay,GJG8YUC,,JTJ,2R9RCV9V,,S3
25,,,,,,
2016/03/20,,,,,,
1,Wryhorn,11,JQJQVL8Y,1,9,
2,Blaine,9,RCYRQ8LG,1,9,
3,Czech1Czech2,9,22CP2Y828,1,9,
4,Tyrion,9,99G8QGJV,1,9,
5,Steve,9,QVRV9VGG,1,9,
6,Alec,9,8UGYRRGO,1,9,
7,RedACE,9,GRJLGCUQ,1,9,
8,Whooboy,9,22UOVV2JJ,1,9,
9,Mord,9,22JGQUCJQ,1,9,
10,Anthony,9,YPPQ8G99,1,9,
11,Jippieh Yeah,9,YCYV88UV,1,9,
12,Simlin,9,2GO989G2U,,9,
13,NickinOKC,9,2YVPJPJC,,9,
14,Amagnus,9,JVQ8JPQV,,9,
15,Brodavidict,9,YYQQR2UY,,9,
16,jbarr,9,URJUUYPP,,9,
17,Jim,9,R2RRQJG,,9,
18,DimSum,9,Y9GV0QQ,,9,
19,sgt7dust,9,CPYC9Q,,9,
20,Poz,9,PPRYLOUY,,9,
21,paytax,8,8QCYR9J,,9,
22,secretslayer297,8,P2UJ9YCU,1,8,
23,liam,8,28Q8YCPL0,,8,
24,ritteshstark,8,2GC0V8VPQ,,8,
25,lemur,7,2ULCJQU9C,,7,
1,3,100,22,24,,
2,2,92,7,16,,
3,3,100,12,14,,
4,3,100,16,18,,
5,1,90,19,21,,
6,0,44,11,9,,
7,3,100,24,23,,
8,3,100,21,22,,
9,,,13,13,2,86
10,2,73,5,15,,
11,2,52,10,13,,
12,3,100,3,3,,
13,3,100,18,12,,
14,3,100,20,19,,
15,3,100,15,11,,
16,2,84,5,16,,
17,2,81,12,13,,
18,3,100,14,17,,
19,3,100,2,2,,
20,3,100,20,20,,
21,2,75,4,13,,
22,3,100,7,15,,
23,1,65,3,5,,
24,3,100,6,13,,
25,2,66,21,21,,
26,3,100,14,16,,
27,2,94,6,8,,
28,3,100,2,1,,
29,2,86,13,10,,
30,3,100,17,8,,
31,2,71,18,4,,
32,3,100,23,25,,
33,1,65,13,9,,
34,1,72,25,25,,
35,0,28,9,5,,
36,3,100,17,10,,
37,,,25,25,1,50
38,3,100,16,21,,
39,3,100,9,9,,
40,0,36,19,6,,
41,,,5,2,0,40
42,3,100,8,4,,
43,2,72,10,5,,
44,3,100,11,6,,
45,1,90,15,7,,
46,,,2,3,2,57
47,,,21,21,1,93
48,3,100,4,7,,
49,3,100,23,22,,
50,0,48,8,5,,
51,,,4,4,1,47
52,,,8,8,2,60
53,2,83,1,1,,
54,1,84,22,23,,
55,3,100,24,22,,
56,3,100,1,5,,
57,,,3,4,2,61
