version,1,reserved,reserved,reserved,reserved,reserved
Japan,902Y0C0J,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/23,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Chezwick,10,RYRQL82U,,11,
3,Space12345,10,8002Y989,,10,
4,Atlas,10,RJ9PJ9CC,,10,
5,Eleazar,9,C8GRJVL0,1,9,
6,Bantatz,9,RQLRPPOJ,1,9,
7,Darth Carlos,9,VJG8CCUG,1,9,
8,Blaine,9,RCYRQ8LG,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,steve,9,QVRV9VGG,1,9,
12,RedACE,9,GRJLGCUQ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Alec,9,8UGYRRGO,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Jippieh Yeah,9,YCYV88UV,1,9,
18,Brodavidict,9,YYQQR2UY,,9,
19,Simlin,9,2GO989G2U,,9,
20,Amagnus,9,JVQ8JPQV,,9,
21,NickinOKC,9,2YVPJPJC,,9,
22,jbarr,9,URJYUYPP,,9,
23,trav12,9,29JYLCOLV,,9,
24,DimSum,9,Y9GV0QQ,,9,
25,Poz,9,PPRYLOUY,,9,
26,Katie-cakes,9,G2QQ0GGG2,1,8,
27,paytax,8,8QCYR9J,1,8,
28,liam,8,28Q8YCPL0,,8,
29,ritteshstark,8,2GC0V8VPQ,,8,
30,lemur,7,2ULCJQU9C,,5,
1,3,100,12,19,,
2,2,99,7,5,,
3,,,28,27,2,73
4,3,100,22,24,,
5,3,100,8,8,,
6,3,100,28,27,,
7,3,100,14,11,,
8,0,34,27,28,,
9,,,15,30,0,7
10,3,100,25,23,,
11,3,100,24,18,,
12,2,98,8,7,,
13,,,11,30,0,2
14,3,100,20,21,,
15,3,100,27,29,,
16,3,100,6,9,,
17,3,100,16,22,,
18,1,71,29,26,,
19,2,99,9,10,,
20,2,66,19,20,,
21,,,18,18,2,79
22,,,3,3,2,56
23,,,2,2,3,100
24,2,79,29,28,,
25,3,100,19,16,,
26,2,77,18,12,,
27,2,64,11,17,,
28,,,7,7,3,100
29,2,76,28,26,,
30,,,4,4,2,52
31,2,72,21,20,,
32,3,100,14,13,,
33,,,25,19,2,83
34,1,69,12,15,,
35,3,100,25,25,,
36,0,27,15,15,,
37,2,95,23,17,,
38,3,100,30,30,,
39,3,100,10,17,,
40,,,13,12,1,62
41,,,26,19,3,100
42,1,64,18,15,,
43,0,6,30,2,,
44,2,51,4,3,,
45,,,28,26,2,87
46,3,100,16,20,,
47,,,24,24,2,72
48,0,24,20,14,,
49,,,23,23,2,56
50,2,79,13,6,,
51,,,22,16,1,75
52,,,12,9,3,100
53,,,10,12,3,100
54,2,64,2,2,,
55,,,29,26,1,69
56,,,27,24,2,94
57,,,14,11,1,48
58,,,22,20,2,63
59,,,20,25,1,75
60,3,100,5,15,,
61,,,29,27,1,61
62,3,100,10,7,,
63,,,21,21,2,85
64,3,100,17,14,,
65,,,11,8,3,100
66,,,1,1,1,46
67,,,16,13,2,87
68,,,5,5,1,56
69,,,17,15,2,94
70,,,5,1,3,100
71,,,13,9,0,48
72,,,30,29,2,61
73,1,85,5,12,,
74,,,27,20,3,100
75,2,57,24,10,,
76,,,14,10,2,90
77,,,19,16,2,81
78,,,13,6,2,68
79,,,1,2,1,36
80,,,20,14,2,62
81,0,46,1,1,,
82,,,6,5,2,79
83,,,16,17,2,50
84,2,78,15,6,,
85,,,15,13,2,64
86,2,86,6,5,,
87,,,29,28,3,100
88,,,16,10,2,72
89,,,8,4,3,100
90,,,28,23,2,84
91,1,57,17,12,,
92,,,20,18,2,93
93,2,52,1,4,,
94,,,9,3,2,78
95,,,15,7,3,100
96,,,16,6,2,90
97,2,66,22,10,,
98,,,16,8,3,100
99,,,24,11,2,95
100,1,83,23,12,,
101,,,25,21,2,76
102,2,85,11,10,,
103,,,22,15,3,100
104,3,100,21,12,,
105,3,100,3,5,,
106,0,49,4,4,,
107,2,77,13,10,,
108,3,100,7,6,,
109,0,36,2,1,,
110,3,100,26,26,,
111,,,28,22,1,76
112,3,100,26,28,,
113,,,25,25,2,95
114,1,56,3,4,,
115,,,30,22,3,100
116,,,28,14,3,100
117,2,75,9,5,,
