version,1,reserved,reserved,reserved,reserved,reserved
Lahijan Heros,8L9JOUP8,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/23,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Chezwick,10,RYRQL82U,,11,
3,space12345,10,8002Y989,,11,
4,Atlas,10,RJ9PJ9CC,,10,
5,jeff4217,9,QVPOGCJR,,10,
6,Bantatz,9,RQLRPPOJ,1,9,
7,Darth Carlos,9,VJG8CCUG,1,9,
8,Blaine,9,RCYRQ8LG,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,Alec,9,8UGYRRGO,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Jippieh Yeah,9,YCYV88UV,1,9,
18,Trav12,9,29JYLCOLV,1,9,
19,Amagnus,9,JVQ8JPQV,1,9,
20,Brodavidict,9,YYQQR2UY,1,9,
21,Simlin,9,2GO989G2U,1,9,
22,jbarr,9,URJYUYPP,1,9,
23,DimSum,9,Y9GV0QQ,,9,
24,Joe,9,LG9GQQJ8,,9,
25,Poz,9,PPRYLOUY,,9,
26,Moose Knuckle,9,2PCQ29CR9,,9,
27,paytax,8,8QCYR9J,1,9,
28,secretslayer297,8,P2UJ9YCU,1,8,
29,ritteshstark,8,2GC0V8VPQ,1,8,
30,Dragon Slayer,8,CV9L1YVC,,8,
1,3,100,28,30,,
2,2,93,5,15,,
3,1,87,22,25,,
4,0,47,8,8,,
5,3,100,11,14,,
6,3,100,16,27,,
7,1,68,14,9,,
8,2,66,21,20,,
9,3,100,9,10,,
10,2,65,19,21,,
11,2,70,27,28,,
12,3,100,13,26,,
13,2,94,12,23,,
14,1,53,21,19,,
15,2,84,8,12,,
16,2,65,29,29,,
17,2,91,15,8,,
18,2,68,26,25,,
19,1,65,30,28,,
20,2,93,25,24,,
21,1,96,27,29,,
22,1,68,9,9,,
23,1,73,13,23,,
24,2,73,11,13,,
25,3,100,29,28,,
26,1,68,30,29,,
27,2,65,7,6,,
28,,,24,25,2,73
29,,,26,23,3,100
30,3,100,7,8,,
31,,,24,19,2,69
32,,,22,25,1,64
33,3,100,6,7,,
34,,,1,29,0,2
35,0,48,2,3,,
36,,,22,23,1,62
37,,,22,19,1,70
38,,,2,1,2,52
39,2,64,5,11,,
40,2,83,18,24,,
41,,,23,22,3,100
42,,,3,3,1,49
43,2,86,18,22,,
44,,,25,17,3,100
45,,,22,26,2,86
46,,,27,27,3,100
47,2,91,23,24,,
48,,,30,29,2,71
49,3,100,28,29,,
50,3,100,6,9,,
51,3,100,14,12,,
52,2,99,16,24,,
53,2,81,2,5,,
54,2,60,22,24,,
55,,,28,27,3,100
56,3,100,23,23,,
57,,,30,28,1,85
58,,,5,5,3,100
59,2,69,10,16,,
60,,,15,12,0,41
61,,,21,20,3,100
62,,,20,22,2,61
63,1,95,17,18,,
64,,,22,18,3,100
65,2,90,24,25,,
66,0,43,4,4,,
67,,,15,15,1,43
68,,,12,8,2,70
69,,,11,7,0,32
70,2,62,19,24,,
71,,,24,24,1,52
72,,,30,21,3,100
73,,,29,28,0,25
74,2,90,20,18,,
75,2,62,26,19,,
76,,,19,14,1,83
77,2,99,10,13,,
78,,,13,26,1,48
79,,,18,18,2,87
80,,,11,8,1,75
81,,,14,10,2,54
82,2,64,25,25,,
83,,,9,3,2,60
84,2,77,12,24,,
85,,,6,4,3,100
86,1,53,3,4,,
87,,,29,24,3,100
88,,,1,1,1,50
89,,,4,21,1,50
90,,,4,2,3,100
91,,,19,13,1,57
92,,,13,6,1,62
93,,,17,7,2,66
94,,,16,16,3,100
95,,,15,10,1,91
96,,,18,11,3,100
97,,,15,14,2,93
98,1,68,17,17,,
99,,,13,17,3,100
100,,,11,6,2,70
101,,,19,20,1,62
102,1,53,24,17,,
103,0,49,1,2,,
104,3,100,15,25,,
105,3,100,20,19,,
106,,,10,13,2,60
107,,,7,2,2,81
108,,,8,11,3,100
109,,,19,15,0,37
110,,,7,4,2,99
111,2,69,1,3,,
112,,,19,16,3,100
113,2,78,4,17,,
114,3,100,3,22,,
115,,,24,12,2,85
116,,,3,5,1,37
