version,1,reserved,reserved,reserved,reserved,reserved
Aussie Addicts,8RGQP8OU,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/03/27,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Chezwick,10,RYRQL82U,,10,
4,Atlas,10,RJ9PJ9CC,,10,
5,jeff4217,9,QVPOGCJR,1,9,
6,Bantatz,9,RQLRPPOJ,1,9,
7,Darth Carlos,9,VJG8CCUG,1,9,
8,Blaine,9,RCYRQ8LG,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Tyrion,9,99G8QGJV,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Alec,9,8UGYRRGO,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,Anthony,9,YPPQ8G99,1,9,
16,Adam,9,8L2LOVQL,1,9,
17,Jippieh Yeah,9,YCYV88UV,,9,
18,Amagnus,9,JVQ8JPQV,,9,
19,Brodavidict,9,YYQQR2UY,,9,
20,Simlin,9,2GO989G2U,,9,
21,NickinOKC,9,2YVPJPJC,,9,
22,jbarr,9,URJYUYPP,,9,
23,DimSum,9,Y9GV0QQ,,9,
24,stardust,9,Y2QPCLQC,,9,
25,Jim,9,R2RRQJG,,9,
26,Poz,9,PPRYLOUY,,9,
27,Katie-cakes,9,G2QQ0GGG2,,9,
28,paytax,8,8QCYR9J,,8,
29,secretslayer297,8,P2UJ9YCU,,8,
30,Dragon Slayer,8,CV9L1YVC,,8,
1,,,13,21,2,92
2,,,29,28,2,91
3,2,74,18,18,,
4,,,28,29,3,100
5,,,7,9,1,73
6,2,79,12,19,,
7,3,100,9,7,,
8,2,95,27,27,,
9,2,95,23,17,,
10,1,67,22,25,,
11,,,20,21,3,100
12,,,15,16,3,100
13,2,82,5,13,,
14,,,30,28,1,71
15,,,11,6,3,100
16,3,100,28,28,,
17,3,100,29,30,,
18,2,82,27,26,,
19,1,87,8,8,,
20,2,94,22,24,,
21,,,25,25,3,100
22,,,10,18,2,91
23,2,77,16,21,,
24,,,26,27,2,80
25,1,83,20,18,,
26,1,91,11,14,,
27,3,100,23,23,,
28,,,5,5,3,100
29,,,23,24,3,100
30,,,30,30,1,85
31,3,100,25,13,,
32,,,6,6,2,68
33,2,79,16,22,,
34,3,100,26,27,,
35,,,22,23,3,100
36,2,86,15,24,,
37,,,8,7,3,100
38,,,12,14,3,100
39,2,76,10,17,,
40,1,98,8,5,,
41,,,9,8,2,73
42,,,7,17,2,95
43,,,10,25,3,100
44,,,14,12,1,54
45,,,30,29,1,62
46,3,100,7,8,,
47,,,18,20,1,90
48,,,24,22,3,100
49,2,70,11,12,,
50,3,100,21,20,,
51,,,9,10,2,74
52,,,29,27,3,100
53,,,21,22,3,100
54,,,6,13,3,100
55,,,4,30,0,14
56,3,100,7,5,,
57,,,18,17,3,100
58,,,16,15,2,71
59,,,19,19,3,100
60,0,31,28,29,,
61,,,26,23,3,100
62,,,16,11,3,100
63,,,17,16,1,60
64,,,27,26,1,69
65,,,7,8,3,100
66,,,14,20,3,100
67,,,4,10,1,56
68,,,4,3,1,86
69,,,13,7,3,100
70,,,17,12,3,100
71,2,99,12,18,,
72,3,100,6,10,,
73,,,30,26,3,100
74,,,9,11,2,91
75,,,27,19,2,91
76,,,9,13,2,94
77,2,66,5,11,,
78,,,1,3,1,53
79,,,27,18,2,81
80,2,85,29,29,,
81,3,100,17,14,,
82,,,27,15,3,100
83,2,59,1,1,,
84,,,9,5,3,100
85,3,100,6,11,,
86,1,61,14,15,,
87,3,100,20,24,,
88,1,98,2,4,,
89,2,79,26,26,,
90,1,68,19,12,,
91,2,81,24,6,,
92,,,3,9,1,50
93,1,63,24,17,,
94,,,2,14,0,37
95,2,70,2,3,,
96,1,75,19,15,,
97,2,67,15,25,,
98,3,100,21,22,,
99,2,85,18,26,,
100,3,100,13,17,,
101,3,100,17,18,,
102,,,4,2,2,68
103,1,90,4,9,,
104,3,100,25,9,,
105,,,2,1,0,39
106,2,67,10,16,,
107,,,3,4,2,50
108,3,100,13,25,,
109,2,95,4,15,,
110,,,2,4,0,34
111,1,61,3,4,,
112,0,38,1,2,,
113,3,100,14,12,,
114,1,51,30,29,,
115,3,100,3,6,,
116,2,91,9,19,,
117,1,48,30,26,,
118,,,2,2,0,44
119,,,1,1,2,66
