version,1,reserved,reserved,reserved,reserved,reserved
Ottomanurks,9VU9RJJV,,JTJ,2R9RCV9V,,S3
25,,,,,,
2016/03/30,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,space12345,10,8002Y989,,10,
4,Aboy,10,VQ9PUJV2,1,9,
5,Eleazar,9,C8GRJVL0,1,9,
6,Darth Carlos,9,VJG8CCUG,1,9,
7,Blaine,9,RCYRQ8LG,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,Alec,9,8UGYRRGO,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Mord,9,22JGQUCJQ,1,9,
14,Amagnus,9,JVQ8JPQV,,9,
15,Brodavidict,9,YYQQR2UY,,9,
16,NickinOKC,9,2YVPJPJC,,9,
17,jbarr,9,URJYUYPP,,9,
18,Jim,9,R2RRQJG,,9,
19,Joe,9,LG9GQQJ8,,9,
20,The Boot,9,P9PV99CC,,9,
21,Katie-cakes,9,G2QQ0GGG2,,8,
22,paytax,8,8QCYR9J,,8,
23,secretslayer297,8,P2UJ9YCU,,8,
24,ritteshstark,8,2GC0V8VPQ,,7,
25,Boomer,8,88CRVYQ8,,6,
1,3,100,6,7,,
2,3,100,25,25,,
3,0,47,23,22,,
4,2,99,5,17,,
5,3,100,25,22,,
6,2,74,13,5,,
7,3,100,17,18,,
8,3,100,14,16,,
9,3,100,23,24,,
10,,,24,22,0,26
11,3,100,22,21,,
12,,,10,5,1,72
13,,,24,23,2,55
14,,,7,24,1,41
15,1,60,19,15,,
16,3,100,11,14,,
17,3,100,8,8,,
18,3,100,20,20,,
19,3,100,7,6,,
20,3,100,24,23,,
21,1,57,21,19,,
22,2,98,10,13,,
23,1,77,11,15,,
24,1,69,17,19,,
25,0,28,24,9,,
26,1,68,8,10,,
27,2,75,20,19,,
28,3,100,7,5,,
29,2,99,19,19,,
30,3,100,18,13,,
31,2,87,10,11,,
32,0,24,22,1,,
33,1,96,5,19,,
34,,,3,3,1,43
35,3,100,18,11,,
36,2,71,2,3,,
37,1,67,2,2,,
38,3,100,14,19,,
39,,,21,8,2,93
40,,,14,13,2,75
41,,,4,3,1,60
42,,,22,21,2,60
43,3,100,16,15,,
44,2,78,12,9,,
45,,,25,23,1,64
46,1,72,13,10,,
47,1,50,3,3,,
48,,,23,21,1,57
49,,,9,19,2,62
50,3,100,12,10,,
51,3,100,4,4,,
52,,,20,6,1,57
53,,,21,12,2,53
54,3,100,6,9,,
55,1,78,16,12,,
56,,,5,10,2,72
57,,,19,15,2,79
58,,,1,2,1,42
59,0,44,1,1,,
60,,,11,9,2,54
61,0,34,4,1,,
62,,,2,1,0,36
63,,,12,7,1,59
64,2,82,9,17,,
65,,,17,8,2,82
66,,,6,10,2,50
67,,,16,9,2,56
68,,,18,4,1,44
69,,,8,1,2,87
70,0,47,3,1,,
71,,,15,20,2,65
72,,,13,19,1,52
73,,,13,5,1,44
74,,,13,11,0,41
75,,,25,20,3,100
76,2,92,9,12,,
