version,1,reserved,reserved,reserved,reserved,reserved
Dealer of Death,GG9VUYY,,JTJ,2R9RCV9V,,S3
25,,,,,,
2016/04/01,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,DarthCarlos10,10,8YVP9R8V,,11,
4,Space12345,10,8002Y989,,10,
5,Aboy,10,VQ9PUJV2,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Darth Carlos,9,VJG8CCUG,1,9,
8,Blaine,9,RCYRQ8LG,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,Kighr,9,J0RJP9LG,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Mord,9,22JGQUCJQ,,9,
14,Simlin,9,2GO989G2U,,9,
15,Amagnus,9,JVQ8JPQV,,9,
16,NickinOKC,9,2YVPJPJC,,9,
17,jbarr,9,URJYUYPP,,9,
18,Jim,9,R2RRQJG,,9,
19,Joe,9,LG9GQQJ8,,9,
20,The Boot,9,P9PV99CC,,9,
21,paytax,8,8QCYR9J,,9,
22,secretslayer297,8,P2UJ9YCU,,9,
23,ritteshstark,8,2GC0V8VPQ,1,8,
24,liam,8,28Q8YCPL0,1,8,
25,boomer,8,88CRVYQ8,1,8,
1,,,8,8,2,50
2,3,100,10,12,,
3,,,16,16,2,64
4,2,78,8,8,,
5,1,91,13,10,,
6,,,11,11,2,74
7,3,100,11,16,,
8,2,54,12,9,,
9,3,100,14,14,,
10,3,100,23,23,,
11,,,22,21,3,100
12,,,1,1,1,44
13,,,20,15,2,60
14,,,12,10,2,66
15,3,100,8,7,,
16,3,100,15,15,,
17,3,100,10,10,,
18,,,23,25,2,61
19,,,3,2,2,61
20,1,66,20,21,,
21,,,5,5,2,67
22,3,100,17,17,,
23,3,100,24,24,,
24,1,88,14,18,,
25,3,100,25,25,,
26,,,21,21,3,100
27,0,19,21,1,,
28,,,4,2,1,48
29,3,100,18,9,,
30,1,60,23,22,,
31,,,20,18,2,65
32,,,2,1,1,43
33,,,24,24,2,79
34,2,94,7,11,,
35,,,6,3,3,100
36,3,100,3,4,,
37,,,19,17,2,78
38,0,49,24,22,,
39,2,87,21,22,,
40,3,100,20,19,,
41,,,15,10,2,56
42,1,62,6,13,,
43,,,23,15,3,100
44,,,19,18,1,40
45,1,73,19,20,,
46,3,100,15,18,,
47,3,100,6,20,,
48,,,18,13,2,57
49,1,47,9,13,,
50,,,25,23,2,67
51,0,14,25,3,,
52,2,94,22,22,,
53,,,4,6,1,49
54,,,13,7,1,61
55,3,100,17,21,,
56,3,100,18,8,,
57,,,4,3,1,46
58,0,25,22,2,,
59,1,76,12,13,,
60,2,90,5,5,,
61,3,100,16,13,,
62,,,7,5,3,100
63,,,24,22,3,100
64,,,14,12,2,65
65,,,9,9,2,62
66,2,90,5,6,,
67,,,10,13,1,37
68,1,66,11,11,,
69,,,17,8,2,92
70,,,10,16,0,22
71,,,25,19,3,100
72,,,13,11,2,73
73,2,67,16,11,,
74,2,99,7,13,,
75,3,100,19,22,,
76,,,20,14,2,75
77,,,19,22,0,35
78,2,74,2,3,,
79,1,74,4,6,,
80,2,66,1,1,,
81,,,10,23,0,47
82,2,79,2,2,,
83,2,99,3,5,,
84,,,16,7,2,99
85,,,20,19,1,49
86,3,100,13,11,,
87,1,74,9,17,,
88,,,20,20,2,52
89,2,99,1,6,,
90,,,19,20,1,56
91,,,20,25,0,33
92,2,62,4,3,,
93,,,10,14,2,50
