version,1,reserved,reserved,reserved,reserved,reserved
avATar,8JCYGCCJ,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/06,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,DarthCarlos10,10,8YVP9R8V,,10,
4,space12345,10,8002Y989,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Eleazar,9,C8GRJVL0,,10,
8,Blaine,9,RCYRQ8LG,,10,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Alec,9,8UGYRRGO,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,Anthony,9,YPPQ8G99,1,9,
15,Jippieh Yeah,9,YCYV88UV,1,9,
16,Aleister Crowle,9,Q9922RUU,1,9,
17,Simlin,9,2GO989G2U,1,9,
18,Amagnus,9,JVQ8JPQV,1,9,
19,NickInOKC,9,2YVPJPJC,1,9,
20,jbarr,9,URJYUYPP,,9,
21,Jim,9,R2RRQJG,,9,
22,Joe,9,LG9GQQJ8,,9,
23,Poz,9,PPRYLOUY,,9,
24,Dakth,9,YCR9JGR8,,9,
25,secretslayer297,8,P2UJ9YCU,,9,
26,ritteshstark,8,2GC0V8VPQ,,9,
27,liam,8,28Q8YCPL0,,9,
28,trappist9,8,RJLYJYCG,,9,
29,rocksteady,8,2GCL2V2OU,,8,
30,Boomer,8,88CRVYQ8,,8,
1,2,99,13,12,,
2,3,100,27,29,,
3,2,67,12,19,,
4,3,100,10,22,,
5,3,100,25,30,,
6,1,53,22,24,,
7,1,97,12,18,,
8,1,98,24,28,,
9,2,69,20,20,,
10,3,100,11,16,,
11,3,100,18,21,,
12,2,95,8,9,,
13,2,94,9,13,,
14,3,100,20,25,,
15,0,28,25,8,,
16,,,9,9,0,47
17,3,100,21,9,,
18,3,100,17,23,,
19,1,90,24,27,,
20,,,6,6,2,54
21,,,13,13,1,64
22,1,81,8,10,,
23,,,20,20,1,82
24,0,21,27,5,,
25,0,12,26,11,,
26,,,16,16,2,68
27,1,90,11,12,,
28,2,72,17,18,,
29,,,17,17,2,70
30,3,100,9,17,,
31,1,87,16,24,,
32,0,20,26,15,,
33,,,21,21,2,65
34,0,17,30,2,,
35,,,20,17,2,71
36,,,24,24,2,68
37,,,27,27,3,100
38,,,5,5,2,50
39,3,100,7,19,,
40,1,44,30,14,,
41,,,29,29,3,100
42,,,7,3,2,86
43,3,100,16,27,,
44,,,9,21,2,53
45,,,3,3,2,50
46,0,10,29,6,,
47,,,4,7,2,52
48,,,8,8,2,73
49,,,18,18,0,47
50,,,18,24,2,69
51,,,24,27,2,82
52,,,28,28,3,100
53,,,26,26,1,94
54,,,25,25,3,100
55,,,13,11,2,64
56,,,10,10,2,66
57,3,100,7,18,,
58,,,11,10,2,57
59,,,19,19,1,49
60,,,19,8,2,69
61,,,15,15,2,91
62,0,7,29,1,,
63,3,100,14,26,,
64,,,12,4,2,93
65,,,22,12,2,77
66,,,30,30,1,77
67,3,100,15,14,,
68,,,8,6,2,99
69,3,100,23,28,,
70,,,30,29,2,99
71,,,1,1,1,30
72,3,100,13,11,,
73,,,26,25,3,100
74,1,53,5,5,,
75,1,50,4,4,,
76,,,23,19,2,84
77,3,100,19,20,,
78,3,100,10,15,,
79,,,14,4,2,73
80,,,24,18,3,100
81,1,70,14,24,,
82,,,20,13,2,58
83,1,58,22,12,,
84,,,19,7,3,100
85,1,55,5,6,,
86,2,98,15,10,,
87,2,80,3,3,,
88,,,23,12,3,100
89,2,65,2,1,,
90,,,7,1,3,100
91,1,78,21,10,,
92,,,15,14,1,57
93,2,79,2,2,,
94,2,77,19,13,,
95,,,2,2,0,33
96,,,21,20,2,58
97,,,17,9,1,48
98,3,100,18,24,,
99,2,81,3,4,,
100,,,18,11,1,54
101,3,100,6,10,,
102,2,80,4,7,,
103,3,100,1,8,,
104,,,22,22,1,72
105,1,66,23,12,,
106,,,20,15,2,76
107,2,66,6,6,,
