version,1,reserved,reserved,reserved,reserved,reserved
Albuquerque,8JCYGCCJ,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/08,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,DarthCarlos10,10,8YVP9R8V,,10,
4,Chezwick,10,RYRQL82U,,10,
5,Space12345,10,8002Y989,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Aboy,10,VQ9PUJV2,,10,
8,Eleazar,9,C8GRJVL0,1,9,
9,dolphinkickme,9,QQUJUV2V,1,9,
10,Blaine,9,RCYRQ8LG,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Alec,9,8UGYRRGO,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,Jippieh Yeah,9,YCYV88UV,,9,
17,Aleister Crowle,9,Q9922RUU,,9,
18,Simlin,9,2GO989G2U,,9,
19,Amagnus,9,JVQ8JPQV,,9,
20,NickinOKC,9,2YVPJPJC,,9,
21,jbarr,9,URJYUYPP,,9,
22,Joe,9,LG9GQQJ8,,8,
23,Poz,9,PPRYLOUY,,8,
24,Moose Knuckle,9,2PCQ29CR9,,8,
25,Katie-cakes,9,G2QQ0GGG2,,8,
26,Dakth,9,YCR9JGR8,,8,
27,secretslayer297,8,P2UJ9YCU,,8,
28,ritteshstark,8,2GC0V8VPQ,,8,
29,rocksteady,8,2GCL2V2OU,,8,
30,boomer,8,88CRVYQ8,,8,
1,0,40,22,19,,
2,3,100,27,28,,
3,2,87,21,20,,
4,,,30,30,1,57
5,2,90,24,21,,
6,1,56,18,16,,
7,,,22,18,2,50
8,,,9,10,2,73
9,,,29,26,2,99
10,,,25,24,1,47
11,,,15,12,2,99
12,,,26,21,2,95
13,1,63,15,9,,
14,3,100,27,25,,
15,,,24,19,2,79
16,3,100,10,11,,
17,,,9,12,2,99
18,2,96,19,17,,
19,3,100,25,22,,
20,1,60,13,12,,
21,,,23,21,1,79
22,3,100,20,14,,
23,,,8,6,2,64
24,1,58,22,21,,
25,,,27,23,2,93
26,3,100,28,23,,
27,3,100,30,30,,
28,,,30,27,3,100
29,3,100,18,17,,
30,3,100,23,18,,
31,3,100,15,12,,
32,,,13,10,1,44
33,3,100,28,24,,
34,3,100,30,26,,
35,2,99,23,20,,
36,3,100,13,9,,
37,,,20,17,2,90
38,2,66,11,15,,
39,,,28,25,2,55
40,,,27,27,3,100
41,2,99,9,19,,
42,,,7,5,1,61
43,,,10,9,2,79
44,,,17,13,1,62
45,,,21,17,2,64
46,2,93,12,16,,
47,3,100,14,20,,
48,2,91,17,16,,
49,,,21,16,0,31
50,3,100,8,13,,
51,3,100,14,16,,
52,,,28,22,2,79
53,3,100,26,27,,
54,3,100,26,29,,
55,2,71,9,10,,
56,,,17,15,2,56
57,,,25,20,3,100
58,2,74,8,15,,
59,3,100,16,10,,
60,3,100,17,21,,
61,,,24,20,3,100
62,,,29,28,3,100
63,,,28,23,3,100
64,,,14,26,2,58
65,1,69,21,19,,
66,3,100,3,4,,
67,2,70,25,19,,
68,,,18,15,1,75
69,,,2,2,1,52
70,,,3,1,2,62
71,0,44,20,15,,
72,2,54,6,6,,
73,,,19,24,1,37
74,3,100,16,15,,
75,1,72,19,19,,
76,,,13,14,1,49
77,2,90,7,7,,
78,2,61,2,1,,
79,2,85,11,19,,
80,1,49,6,5,,
81,,,26,18,2,87
82,,,23,13,2,66
83,1,50,5,5,,
84,2,68,1,2,,
85,3,100,4,5,,
86,3,100,3,3,,
87,,,16,9,2,66
88,2,84,5,6,,
89,,,12,22,1,43
90,,,26,16,3,100
91,1,73,1,6,,
92,,,6,4,2,64
93,,,11,7,2,78
94,,,4,3,1,45
95,,,5,6,1,42
96,2,61,24,19,,
97,2,88,4,6,,
98,,,1,3,1,33
99,,,4,1,2,53
100,3,100,12,19,,
101,,,22,14,2,53
102,,,18,11,1,58
103,,,12,8,1,54
104,,,7,4,2,52
105,,,12,7,2,81
106,1,57,7,6,,
107,,,13,11,2,72
108,3,100,10,8,,
109,,,5,2,2,55
110,2,81,2,6,,
