version,1,reserved,reserved,reserved,reserved,reserved
Face 2 Face,9RUQ8R88,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/10,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,DarthCarlos10,10,8YVP9R8V,,11,
4,Chezwick,10,RYRQL82U,,10,
5,Space12345,10,8002Y989,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Eleazar,9,C8GRJVL0,,10,
8,dolphinkickme,9,QQUJUV2V,1,9,
9,Blaine,9,RCYRQ8LG,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Alec,9,8UGYRRGO,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Eric,9,YYGOV9VC,1,9,
18,Mord,9,22JGQUCJQ,1,9,
19,Simlin,9,2GO989G2U,1,9,
20,Jippieh Yeah,9,YCYV88UV,,9,
21,Aleister Crowle,9,Q9922RUU,,9,
22,Amagnus,9,JVQ8JPQV,,9,
23,jbarr,9,URJYUYPP,,9,
24,Joe,9,LG9GQQJ8,,9,
25,Poz,9,PPRYLOUY,,9,
26,The Boot,9,P9PV99CC,,9,
27,Katie-cakes,9,G2QQ0GGG2,,9,
28,secretslayer297,8,P2UJ9YCU,,8,
29,ritteshstark,8,2GC0V8VPQ,,8,
30,Boomer,8,88CRVYQ8,,8,
1,3,100,23,22,,
2,,,19,19,2,95
3,,,14,14,2,70
4,,,13,13,2,72
5,2,97,29,28,,
6,2,88,24,23,,
7,2,79,14,16,,
8,,,29,29,2,76
9,1,68,19,18,,
10,,,8,8,2,81
11,3,100,29,29,,
12,2,74,27,27,,
13,,,24,24,1,47
14,,,28,28,3,100
15,3,100,9,10,,
16,3,100,17,17,,
17,3,100,26,26,,
18,,,15,15,1,39
19,,,5,5,1,60
20,2,81,15,13,,
21,1,75,27,25,,
22,,,15,8,2,66
23,2,98,11,15,,
24,2,91,9,9,,
25,1,78,19,16,,
26,1,64,23,24,,
27,1,87,14,15,,
28,3,100,26,27,,
29,3,100,22,20,,
30,,,25,25,2,55
31,,,27,28,2,53
32,,,9,9,2,86
33,3,100,21,25,,
34,,,30,30,1,79
35,2,97,3,4,,
36,2,80,25,23,,
37,3,100,21,21,,
38,,,30,29,2,82
39,,,29,25,1,70
40,,,30,27,3,100
41,3,100,30,28,,
42,3,100,16,19,,
43,2,63,8,8,,
44,,,23,23,2,51
45,2,68,17,15,,
46,,,26,23,2,68
47,3,100,20,13,,
48,,,29,27,3,100
49,3,100,28,30,,
50,2,99,3,5,,
51,2,88,20,11,,
52,3,100,7,15,,
53,1,66,5,6,,
54,3,100,16,24,,
55,0,49,2,1,,
56,2,97,4,6,,
57,3,100,8,11,,
58,0,20,30,3,,
59,3,100,7,16,,
60,,,27,30,2,50
61,,,7,6,2,78
62,,,18,11,2,72
63,3,100,22,18,,
64,,,22,19,2,69
65,2,94,12,23,,
66,3,100,13,14,,
67,,,26,18,2,69
68,,,6,4,0,36
69,2,81,2,3,,
70,2,91,15,9,,
71,,,17,14,2,73
72,3,100,18,8,,
73,0,45,1,1,,
74,,,10,10,0,40
75,,,27,26,2,77
76,,,21,7,3,100
77,3,100,11,23,,
78,,,12,12,2,64
79,,,10,9,2,69
80,,,6,5,2,65
81,3,100,13,12,,
82,,,24,20,2,73
83,,,20,18,1,48
84,,,3,1,1,72
85,,,20,21,2,50
86,2,52,4,1,,
87,3,100,18,9,,
88,,,4,3,0,24
89,,,16,13,2,56
90,,,27,24,2,72
91,,,11,12,2,79
92,1,66,5,7,,
93,,,4,2,3,100
94,3,100,6,7,,
95,,,26,20,3,100
96,1,80,10,8,,
97,,,27,10,3,100
98,,,25,26,2,60
99,2,91,25,9,,
100,,,25,11,2,75
101,,,2,2,0,38
102,3,100,28,28,,
103,,,7,4,3,100
104,,,8,3,2,62
105,,,23,21,2,56
106,2,64,6,6,,
107,,,25,17,2,50
108,0,49,1,2,,
109,3,100,10,17,,
110,,,1,1,1,45
111,,,24,17,2,58
112,2,65,24,21,,
