version,1,reserved,reserved,reserved,reserved,reserved
Iraq,UVVCCRC,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/13,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,opse2013,11,2J28J9RU,,11,
3,Chezwick,10,RYRQL82U,,11,
4,Space12345,10,8002Y989,,11,
5,Aboy,10,VQ9PUJV2,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Darth Carlos,9,VJG8CCUG,,10,
8,dolphinkickme,9,QQUJUV2V,1,9,
9,Blaine,9,RCYRQ8LG,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Alec,9,8UGYRRGO,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Eric,9,YYGOV9VC,1,9,
18,Simlin,9,2GO989G2U,1,9,
19,Amagnus,9,JVQ8JPQV,1,9,
20,Aleister Crowle,9,Q9922RUU,1,9,
21,NickinOKC,9,2YVPJPJC,1,9,
22,jbarr,9,URJYUYPP,1,9,
23,Darth Blaine,9,J922GCYL,1,9,
24,Poz,9,PPRYLOUY,1,9,
25,The Boot,9,P9PV99CC,1,9,
26,Moose Knuckle,9,2PCQ29CR9,,9,
27,Secretslayer297,8,P2UJ9YCU,,8,
28,ritteshstark,8,2GC0V8VPQ,,8,
29,Aboy1.0,8,RJLYJYCQ,,8,
30,Boomer,8,88CRVYQ8,,7,
1,,,30,28,3,100
2,2,66,14,22,,
3,,,13,13,2,57
4,3,100,20,19,,
5,3,100,17,25,,
6,1,52,25,26,,
7,,,29,28,3,100
8,,,5,5,1,55
9,,,8,8,2,87
10,,,26,26,3,100
11,1,65,21,20,,
12,,,6,6,2,82
13,3,100,27,28,,
14,2,87,10,10,,
15,3,100,29,27,,
16,2,56,26,26,,
17,3,100,11,21,,
18,2,79,22,17,,
19,2,85,19,24,,
20,3,100,30,30,,
21,2,74,16,22,,
22,3,100,12,23,,
23,2,64,17,20,,
24,2,94,18,24,,
25,1,64,19,22,,
26,3,100,28,29,,
27,3,100,13,16,,
28,0,17,30,3,,
29,3,100,7,15,,
30,3,100,18,18,,
31,3,100,24,26,,
32,3,100,21,24,,
33,0,15,28,1,,
34,2,87,20,22,,
35,3,100,14,20,,
36,,,6,20,3,100
37,,,10,9,1,56
38,3,100,6,22,,
39,,,10,20,3,100
40,,,8,17,3,100
41,,,3,3,2,56
42,0,18,27,2,,
43,1,48,29,9,,
44,3,100,6,14,,
45,,,27,27,3,100
46,2,90,7,12,,
47,,,13,12,3,100
48,,,18,23,2,89
49,,,15,15,2,68
50,,,16,16,2,79
51,,,15,11,1,60
52,,,1,30,0,2
53,1,62,8,12,,
54,2,73,23,17,,
55,,,15,17,2,68
56,2,77,22,13,,
57,,,11,23,2,70
58,3,100,23,13,,
59,,,7,6,2,87
60,1,43,25,11,,
61,,,18,25,3,100
62,3,100,8,10,,
63,,,15,14,2,95
64,,,4,30,0,0
65,,,15,9,3,100
66,,,22,22,1,92
67,,,28,27,1,63
68,,,5,4,1,58
69,,,1,2,1,48
70,3,100,9,11,,
71,,,1,1,1,50
72,,,22,14,3,100
73,3,100,16,17,,
74,,,19,18,3,100
75,,,4,4,2,65
76,2,95,3,2,,
77,1,55,1,1,,
78,1,52,26,25,,
79,,,17,13,1,73
80,0,22,4,5,,
81,3,100,15,9,,
82,,,25,26,3,100
83,,,17,8,3,100
84,,,24,22,3,100
85,,,12,12,1,50
86,,,7,5,3,100
87,,,16,25,3,100
88,3,100,10,8,,
89,2,50,11,7,,
90,,,21,15,3,100
91,2,94,9,12,,
92,,,12,7,3,100
93,,,20,21,2,79
94,,,23,10,3,100
95,,,14,16,1,68
96,,,5,3,2,65
97,2,73,15,12,,
98,1,53,24,12,,
99,,,14,7,3,100
100,,,20,19,1,69
101,,,28,21,3,100
102,,,11,10,1,87
103,2,65,3,3,,
104,,,20,18,3,100
105,,,2,29,0,0
106,2,74,12,12,,
107,,,9,19,2,69
108,3,100,13,12,,
109,2,54,5,5,,
110,1,54,4,6,,
111,,,2,1,2,52
112,,,11,11,2,78
113,2,52,2,4,,
114,,,11,29,1,3
115,2,90,1,6,,
116,2,98,5,7,,
117,,,9,2,3,100
