version,1,reserved,reserved,reserved,reserved,reserved
Predominance,8V9PRQY2,,JTJ,2R9RCV9V,,S3
25,,,,,,
2016/04/15,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,opse2013,11,2J28J9RU,,11,
4,Space12345,10,8002Y989,,10,
5,Aboy,10,VQ9PUJV2,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,dolphinkickme,9,QQUJUV2V,,10,
8,Blaine,9,RCYRQ8LG,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Anthony,9,YPPQ8G99,,9,
14,Eric,9,YYGOV9VC,,9,
15,Simlin,9,2GO989G2U,,9,
16,Amagnus,9,JVQ8JPQV,,9,
17,Aleister Crowle,9,Q9922RUU,,9,
18,NickinOKC,9,2YVPJPJC,,9,
19,Darth Blaine,9,J922GCYL,,9,
20,Poz,9,PPRYLOUY,,9,
21,The Boot,9,P9PV99CC,,9,
22,secretslayer297,8,P2UJ9YCU,,8,
23,ritteshstark,8,2GC0V8VPQ,,8,
24,Aboy1.0,8,RJLYJYCQ,,8,
25,Boomer,8,88CRVYQ8,,8,
1,,,3,1,2,66
2,,,20,21,2,79
3,,,17,17,1,54
4,3,100,8,8,,
5,,,2,1,1,43
6,,,21,20,2,89
7,1,74,22,22,,
8,2,98,14,15,,
9,,,22,22,1,93
10,3,100,8,11,,
11,,,12,20,2,66
12,2,96,21,21,,
13,3,100,23,25,,
14,,,19,17,2,98
15,1,60,11,9,,
16,,,12,12,3,100
17,,,23,23,3,100
18,,,16,11,1,61
19,3,100,19,18,,
20,2,86,15,17,,
21,,,24,22,3,100
22,3,100,16,16,,
23,3,100,19,20,,
24,1,62,23,23,,
25,2,98,18,14,,
26,,,16,13,1,90
27,3,100,25,23,,
28,3,100,11,12,,
29,3,100,24,24,,
30,3,100,12,9,,
31,2,96,25,22,,
32,1,66,9,13,,
33,,,17,13,3,100
34,2,96,14,17,,
35,,,25,25,3,100
36,3,100,20,21,,
37,3,100,15,15,,
38,,,22,25,3,100
39,3,100,13,14,,
40,3,100,6,13,,
41,,,21,21,0,16
42,,,13,11,0,31
43,,,2,3,2,76
44,2,66,17,19,,
45,,,14,14,1,68
46,,,15,8,2,74
47,,,18,9,1,70
48,2,63,6,10,,
49,,,18,15,3,100
50,,,11,23,0,18
51,0,31,22,4,,
52,2,96,24,22,,
53,3,100,18,17,,
54,,,15,15,2,98
55,,,6,4,3,100
56,,,1,3,2,74
57,,,9,24,0,27
58,2,88,17,10,,
59,,,20,9,2,88
60,,,10,24,0,45
61,3,100,12,10,,
62,,,16,10,1,78
63,,,15,16,3,100
64,3,100,21,22,,
65,3,100,10,19,,
66,,,14,16,3,100
67,,,4,2,2,75
68,,,13,10,2,98
69,,,11,5,3,100
70,,,7,6,3,100
71,,,5,2,3,100
72,2,70,16,7,,
73,,,13,12,2,60
74,,,21,19,2,93
75,,,21,8,3,100
76,0,45,1,1,,
77,1,52,7,7,,
78,,,20,18,3,100
79,,,19,18,3,100
80,2,54,7,6,,
81,2,77,3,1,,
82,2,91,5,7,,
83,2,56,13,5,,
84,2,74,2,3,,
85,1,58,3,2,,
86,,,9,5,3,100
87,2,52,9,4,,
88,3,100,4,7,,
89,,,10,6,3,100
90,1,58,10,6,,
91,2,85,2,4,,
92,,,16,7,3,100
93,1,47,4,2,,
94,,,8,19,1,74
95,2,67,5,5,,
96,2,66,1,2,,
97,2,85,20,13,,
98,,,13,14,1,40
99,,,13,4,3,100
100,,,8,7,3,100
