version,1,reserved,reserved,reserved,reserved,reserved
Darc Avengers,9RUQ8R88,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/17,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,opse2013,11,2J28J9RU,,11,
4,DarthCarlos10,10,8YVP9R8V,,10,
5,space12345,10,8002Y989,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Tim,10,8PR2VUUP,,10,
8,Eleazar,9,C8GRJVL0,,10,
9,Darth Carlos,9,VJG8CCUG,1,9,
10,dolphinkickme,9,QQUJUV2V,1,9,
11,Blaine,9,RCYRQ8LG,1,9,
12,Czech1Czech2,9,22CP2Y828,1,9,
13,Tyrion,9,99G8QGJV,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Eric,9,YYGOV9VC,1,9,
18,Mord,9,22JGQUCJQ,1,9,
19,Simlin,9,2GO989G2U,1,9,
20,Amagnus,9,JVQ8JPQV,1,9,
21,Jippieh Yeah,9,YCYV88UV,1,9,
22,Aleister Crowle,9,Q9922RUU,1,9,
23,NickinOKC,9,2YVPJPJC,1,9,
24,Darth Blaine,9,J922GCYL,1,9,
25,Poz,9,PPRYLOUY,1,9,
26,Jhawk,9,CUOP29QJ,,9,
27,Katie-cakes,9,G2QQ0GGG2,,9,
28,Ritteshstark,8,2GC0V8VPQ,,9,
29,liam,8,28Q8YCPL0,,9,
30,Boomer,8,88CRVYQ8,,9,
1,3,100,24,23,,
2,2,82,20,24,,
3,,,14,16,1,85
4,2,78,17,20,,
5,3,100,24,24,,
6,3,100,25,28,,
7,1,58,22,26,,
8,,,30,30,3,100
9,,,22,27,3,100
10,,,28,26,3,100
11,,,6,7,1,58
12,3,100,14,18,,
13,2,93,11,10,,
14,1,35,30,14,,
15,1,60,26,27,,
16,2,70,16,19,,
17,,,18,21,3,100
18,,,14,28,3,100
19,0,20,28,11,,
20,,,10,28,1,86
21,,,16,15,2,78
22,,,29,30,3,100
23,,,13,13,3,100
24,,,10,14,2,75
25,2,83,26,30,,
26,,,7,7,1,69
27,3,100,4,5,,
28,2,98,11,14,,
29,1,75,23,21,,
30,1,37,30,13,,
31,,,10,11,3,100
32,3,100,17,22,,
33,3,100,9,10,,
34,3,100,13,25,,
35,,,15,13,3,100
36,,,27,29,2,61
37,0,22,28,9,,
38,,,21,19,2,87
39,,,19,15,1,81
40,,,20,20,1,91
41,3,100,7,7,,
42,,,20,19,3,100
43,,,19,20,1,78
44,,,21,27,3,100
45,2,86,15,13,,
46,2,92,3,3,,
47,,,23,22,2,95
48,,,26,29,3,100
49,3,100,25,29,,
50,1,70,8,19,,
51,,,17,25,2,70
52,3,100,3,2,,
53,,,24,18,3,100
54,,,25,22,3,100
55,2,61,19,17,,
56,0,27,29,1,,
57,,,5,5,2,50
58,2,93,10,17,,
59,1,81,23,19,,
60,,,12,18,3,100
61,,,27,23,3,100
62,,,8,10,2,97
63,,,9,12,3,100
64,2,85,21,17,,
65,2,70,27,30,,
66,,,23,17,3,100
67,3,100,22,30,,
68,2,86,4,4,,
69,,,11,16,3,100
70,3,100,20,27,,
71,,,19,26,3,100
72,2,83,10,16,,
73,2,79,18,11,,
74,,,16,23,2,69
75,,,17,12,2,91
76,3,100,12,15,,
77,2,68,27,12,,
78,3,100,2,6,,
79,1,85,16,26,,
80,3,100,8,21,,
81,0,0,18,14,,
82,,,4,5,2,53
83,2,90,19,20,,
84,,,6,2,1,71
85,2,94,9,17,,
86,1,60,1,1,,
87,,,16,24,2,77
88,,,17,14,3,100
89,1,79,21,26,,
90,3,100,2,8,,
91,3,100,5,14,,
92,,,16,21,1,79
93,,,6,4,2,58
94,,,16,17,2,57
95,,,8,24,2,98
96,,,7,8,2,73
97,1,36,29,9,,
98,,,8,9,2,94
99,2,77,13,26,,
100,3,100,6,16,,
101,3,100,14,13,,
102,,,2,10,1,35
103,2,87,5,12,,
104,,,16,25,2,82
105,2,50,15,20,,
106,,,16,9,1,94
107,2,90,12,17,,
108,,,1,4,2,53
109,,,7,3,2,76
110,3,100,7,17,,
111,,,3,1,2,86
112,,,2,6,1,40
113,3,100,6,26,,
114,,,8,11,3,100
115,,,2,3,2,60
116,,,16,8,2,99
117,,,16,6,3,100
118,,,2,1,2,61
119,3,100,1,9,,
