version,1,reserved,reserved,reserved,reserved,reserved
South Korea,PGUPJJJ9,,JTJ,2R9RCV9V,,S3
25,,,,,,
2016/04/17,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,opse2013,11,2J28J9RU,,11,
4,DarthCarlos10,10,8YVP9R8V,,10,
5,Space12345,10,8002Y989,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Eleazar,9,C8GRJVL0,,10,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,Tyrion,9,99G8QGJV,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,Whooboy,9,22UOVV2JJ,1,9,
12,Anthony,9,YPPQ8G99,,9,
13,Eric,9,YYGOV9VC,,9,
14,Mord,9,22JGQUCJQ,,9,
15,Amagnus,9,JVQ8JPQV,,9,
16,Jippieh Yeah,9,YCYV88UV,,9,
17,Aleister Crowle,9,Q9922RUU,,9,
18,NickinOKC,9,2YVPJPJC,,9,
19,Joe,9,LG9GQQJ8,,9,
20,Poz,9,PPRYLOUY,,8,
21,Jhawk,9,CUOP29QJ,,8,
22,Katie-cakes,9,G2QQ0GGG2,,8,
23,Ninja,9,YCR9JGR8,,8,
24,secretslayer297,8,P2UJ9YCU,,8,
25,ritteshstark,8,2GC0V8VPQ,,8,
1,,,25,24,2,54
2,2,96,19,17,,
3,3,100,16,11,,
4,,,2,1,1,47
5,3,100,23,21,,
6,3,100,24,22,,
7,,,24,22,1,87
8,3,100,25,24,,
9,3,100,20,18,,
10,,,23,21,2,69
11,3,100,8,9,,
12,3,100,13,14,,
13,3,100,15,15,,
14,2,99,9,12,,
15,3,100,10,10,,
16,3,100,25,23,,
17,3,100,24,25,,
18,3,100,20,17,,
19,2,78,1,1,,
20,,,17,11,2,72
21,3,100,12,16,,
22,3,100,22,20,,
23,2,61,21,19,,
24,2,87,13,12,,
25,3,100,8,8,,
26,3,100,18,13,,
27,2,68,12,12,,
28,2,75,4,5,,
29,3,100,23,18,,
30,,,16,11,2,68
31,3,100,17,19,,
32,2,50,17,6,,
33,,,1,2,1,56
34,,,24,15,2,60
35,,,7,7,2,77
36,,,22,21,1,37
37,,,3,2,3,100
38,,,5,5,2,52
39,,,22,24,1,41
40,,,21,13,2,90
41,,,24,18,2,90
42,1,94,16,12,,
43,,,19,12,2,65
44,2,55,9,7,,
45,1,70,1,3,,
46,,,25,22,1,66
47,,,6,3,0,48
48,1,61,7,12,,
49,3,100,4,7,,
50,3,100,10,12,,
51,,,8,4,0,47
52,,,13,8,1,49
53,,,20,13,2,84
54,2,61,11,8,,
55,,,11,9,0,46
56,,,25,25,0,26
57,1,67,2,4,,
58,3,100,3,3,,
59,,,15,12,0,32
60,0,30,14,4,,
61,,,6,4,2,56
62,,,4,3,2,68
63,,,22,19,2,73
64,1,75,2,2,,
65,,,15,16,0,47
66,,,8,7,2,91
67,1,66,18,9,,
68,2,53,11,5,,
69,2,77,15,8,,
70,2,58,6,7,,
71,3,100,3,4,,
72,1,70,14,9,,
73,,,18,19,2,52
74,3,100,21,13,,
75,0,42,7,7,,
76,2,68,5,5,,
77,1,47,6,5,,
78,2,71,5,6,,
79,,,15,6,2,53
80,,,11,6,2,58
81,,,10,5,3,100
82,,,25,23,2,69
