version,1,reserved,reserved,reserved,reserved,reserved
Ghostown 2,YPGPY8Y,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/22,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,DarthCarlos10,10,8YVP9R8V,,11,
4,Aboy,10,VQ9PUJV2,,10,
5,Eleazar,9,C8GRJVL0,,10,
6,dolphinkickme,9,QQUJUV2V,,11,
7,Blaine,9,RCYRQ8LG,,11,
8,Czech1Czech2,9,22CP2Y828,,10,
9,Tyrion,9,99G8QGJV,,10,
10,RedACE,9,GRJLGCUQ,,10,
11,Kighr,9,J0RJP9LG,,10,
12,Alec,9,8UGYRRGO,,10,
13,Whooboy,9,22UOVV2JJ,,11,
14,Eric,9,YYGOV9VC,,9,
15,Anthony,9,YPPQ8G99,,9,
16,Simlin,9,2GO989G2U,,9,
17,Amagnus,9,JVQ8JPQV,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,Aleister Crowle,9,Q9922RUU,,9,
20,NickinOKC,9,2YVPJPJC,,9,
21,Jim,9,R2RRQJG,,9,
22,Rokthar,9,LYOUL9GJ,,10,
23,Joe,9,LG9GQQJ8,,9,
24,Poz,9,PPRYLOUY,,9,
25,The Boot,9,P9PV99CC,,9,
26,Katie-cakes,9,G2QQ0GGG2,,9,
27,Dakth,9,YCR9JGR8,,9,
28,secretslayer297,8,P2UJ9YCU,,9,
29,ritteshstark,8,2GC0V8VPQ,,9,
30,Boomer,8,88CRVYQ8,,8,
1,3,100,28,28,,
2,3,100,29,30,,
3,3,100,10,11,,
4,2,59,25,22,,
5,3,100,7,10,,
6,,,26,12,0,0
7,,,27,12,1,39
8,3,100,12,17,,
9,3,100,20,18,,
10,3,100,16,16,,
11,3,100,8,9,,
12,3,100,29,20,,
13,3,100,7,13,,
14,3,100,24,23,,
15,3,100,14,15,,
16,3,100,16,15,,
17,3,100,3,3,,
18,2,99,30,29,,
19,3,100,10,12,,
20,3,100,3,5,,
21,1,77,17,19,,
22,3,100,24,24,,
23,3,100,8,6,,
24,3,100,30,26,,
25,3,100,19,25,,
26,3,100,22,21,,
27,,,4,1,0,35
28,3,100,11,19,,
29,3,100,27,22,,
30,2,99,9,14,,
31,0,0,22,15,,
32,3,100,18,14,,
33,,,25,20,0,0
34,,,30,20,0,0
35,2,94,1,1,,
36,3,100,20,8,,
37,3,100,28,29,,
38,,,24,3,3,100
39,2,88,26,27,,
40,3,100,2,2,,
41,3,100,27,27,,
42,2,90,6,8,,
43,3,100,23,15,,
44,1,63,19,4,,
45,1,53,5,7,,
46,3,100,1,4,,
47,2,94,2,1,,
48,3,100,12,14,,
49,,,30,13,0,48
50,,,28,13,1,57
51,3,100,15,7,,
52,3,100,5,4,,
53,0,46,15,1,,
54,0,46,14,7,,
55,2,65,6,3,,
56,,,26,3,2,68
57,3,100,13,15,,
58,3,100,17,15,,
59,3,100,18,15,,
60,,,3,1,0,11
61,2,65,4,1,,
62,,,18,8,1,39
63,3,100,25,23,,
64,2,69,9,9,,
65,3,100,13,14,,
66,3,100,4,6,,
67,3,100,23,17,,
68,3,100,21,8,,
69,3,100,11,11,,
70,3,100,21,7,,
