version,1,reserved,reserved,reserved,reserved,reserved
Russia,9VGPRVVP,,JTJ,2R9RCV9V,,S3
40,,,,,,
2016/04/27,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,10,
3,Chezwick,10,RYRQL82U,,10,
4,Chief Joshy,10,VPPJUCV,,10,
5,sno,10,GQV9G9VV,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Eleazar,9,C8GRJVL0,1,9,
8,Darth Carlos,9,VJG8CCUG,1,9,
9,dolphinkickme,9,QQUJUV2V,1,9,
10,Blaine,9,RCYRQ8LG,1,9,
11,Czech1Czech2,9,22CP2Y828,1,9,
12,Tyrion,9,99G8QGJV,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,RedACE,9,GRJLGCUQ,1,9,
15,Whooboy,9,22UOVV2JJ,1,9,
16,Eric,9,YYGOV9VC,1,9,
17,Heiny the Great,9,U8YJLOL9,1,9,
18,Anthony,9,YPPQ8G99,1,9,
19,Batman,9,2QU9CC8,1,9,
20,Amagnus,9,JVQ8JPQV,1,9,
21,Nato,9,2PQ9OVQOV,1,9,
22,Utiger13,9,2OVQLGRUJ,1,9,
23,Simlin,9,2GO989G2U,1,9,
24,DimSum,9,Y9GV0QQ,1,9,
25,Aleister Crowle,9,Q9922RUU,1,9,
26,vtechno,9,RGRUPCV2,1,9,
27,NickinOKC,9,2YVPJPJC,1,9,
28,C3,9,QVY828RV,1,9,
29,Frog,9,2JVLYQQP,1,9,
30,azzman,9,QVUQY8PV,1,9,
31,Rokthar,9,LYOUL9GJ,1,9,
32,Joe,9,LG9GQQJ8,1,9,
33,Poz,9,PPRYLOUY,1,9,
34,Crusher of Ass,9,22RJPUCGO,1,9,
35,The Boot,9,P9PV99CC,1,9,
36,Katie-cakes,9,G2QQ0GGG2,1,9,
37,Dakth,9,YCR9JGR8,1,9,
38,secretslayer297,8,P2UJ9YCU,1,9,
39,ritteshstark,8,2GC0V8VPQ,,9,
40,Boomer,8,88CRVYQ8,,9,
1,2,95,8,9,,
2,,,21,26,1,66
3,,,23,20,2,97
4,1,45,40,40,,
5,,,17,19,2,99
6,,,27,27,2,72
7,,,40,12,3,100
8,,,12,7,3,100
9,2,72,28,32,,
10,,,13,11,2,83
11,,,32,40,2,89
12,,,5,9,1,54
13,,,20,18,3,100
14,2,91,24,26,,
15,,,35,33,3,100
16,1,70,19,35,,
17,,,28,31,3,100
18,,,6,4,1,68
19,,,16,16,1,72
20,1,50,16,18,,
21,,,22,24,1,78
22,1,58,29,25,,
23,,,10,7,2,77
24,,,30,34,3,100
25,,,29,32,3,100
26,,,25,25,3,100
27,2,94,21,33,,
28,,,3,3,2,64
29,2,75,37,7,,
30,1,65,31,38,,
31,,,18,16,2,54
32,,,26,37,3,100
33,,,32,9,3,100
34,0,24,38,6,,
35,,,37,39,3,100
36,1,45,37,10,,
37,1,60,19,29,,
38,1,87,26,28,,
39,3,100,27,27,,
40,,,34,38,3,100
41,,,36,30,3,100
42,,,5,2,3,100
43,,,8,8,2,81
44,2,86,16,25,,
45,,,14,15,3,100
46,3,100,25,11,,
47,3,100,17,30,,
48,2,89,35,40,,
49,,,1,1,3,100
50,2,68,34,39,,
51,,,16,15,3,100
52,,,7,13,2,70
53,2,70,2,2,,
54,,,9,13,3,100
55,2,82,11,10,,
56,3,100,21,34,,
57,2,98,2,3,,
58,1,93,35,38,,
59,1,88,10,9,,
60,0,12,38,5,,
61,3,100,11,16,,
62,3,100,10,10,,
63,2,54,23,33,,
64,2,93,12,15,,
65,1,66,18,35,,
66,3,100,22,20,,
67,1,40,40,37,,
68,2,86,30,36,,
69,,,17,17,3,100
70,2,87,20,22,,
71,3,100,14,18,,
72,2,82,32,12,,
73,,,15,32,2,72
74,3,100,23,28,,
75,1,93,22,24,,
76,1,72,13,17,,
77,,,10,11,3,100
78,,,33,35,3,100
79,3,100,14,15,,
80,2,84,26,37,,
81,2,53,32,13,,
82,,,4,3,1,59
83,,,2,4,1,58
84,,,18,28,1,50
85,2,78,25,19,,
86,1,57,12,21,,
87,,,21,18,2,93
88,3,100,33,38,,
89,3,100,31,40,,
90,2,87,9,24,,
91,,,7,10,3,100
92,2,78,9,23,,
93,,,31,33,2,75
94,,,15,28,1,55
95,,,38,30,3,100
96,,,19,36,3,100
97,,,22,26,3,100
98,,,27,35,3,100
99,,,8,34,1,79
100,,,39,12,3,100
101,,,15,40,1,50
102,,,4,2,3,100
103,,,11,8,3,100
104,,,24,14,2,72
105,,,23,27,2,78
106,,,24,19,1,81
107,2,7,36,8,,
108,2,56,36,39,,
109,,,21,29,3,100
110,,,31,38,2,98
111,,,18,22,2,98
112,2,95,7,21,,
113,,,2,1,2,90
114,,,6,5,1,87
115,3,100,24,17,,
116,,,8,10,3,100
117,,,18,24,2,54
118,2,95,29,35,,
119,,,31,39,2,72
120,,,23,29,3,100
121,2,94,27,29,,
122,,,13,17,2,74
123,3,100,5,7,,
124,1,91,15,19,,
125,2,62,17,22,,
126,1,74,1,4,,
127,,,13,5,3,100
128,2,54,3,1,,
129,,,18,25,3,100
130,3,100,4,14,,
131,,,31,20,2,86
132,2,60,5,5,,
133,,,31,37,3,100
134,3,100,6,6,,
135,3,100,33,39,,
136,3,100,1,8,,
137,2,52,4,4,,
138,2,99,3,5,,
139,0,45,7,31,,
140,,,24,22,3,100
141,3,100,8,19,,
142,2,86,20,37,,
143,,,15,14,3,100
144,1,62,28,31,,
145,3,100,13,21,,
146,,,15,36,2,98
147,2,93,6,5,,
148,1,78,15,24,,
