version,1,reserved,reserved,reserved,reserved,reserved
RegulatorsX,PG9UJ2UV,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/04/29,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,Chezwick,10,RYRQL82U,,11,
4,Space12345,10,8002Y989,,10,
5,Chief Joshy,10,VPPJUCV,,10,
6,Sno,10,GQV9G9VV,,10,
7,Atlas,10,RJ9PJ9CC,,10,
8,Aboy,10,VQ9PUJV2,,10,
9,Eleazar,9,C8GRJVL0,,10,
10,Darth Carlos,9,VJG8CCUG,1,9,
11,dolphinkickme,9,QQUJUV2V,1,9,
12,Blaine,9,RCYRQ8LG,1,10,
13,Czech1Czech2,9,22CP2Y828,1,9,
14,Kighr,9,J0RJP9LG,1,9,
15,RedACE,9,GRJLGCUQ,1,9,
16,Batman,9,2QU9CC8,1,9,
17,Amagnus,9,JVQ8JPQV,1,9,
18,Nato,9,2PQ9OVQOV,1,9,
19,Utiger13,9,2OVQLGRUJ,,9,
20,Simlin,9,2GO989G2U,,9,
21,DimSum,9,Y9GV0QQ,,9,
22,Jippieh Yeah,9,YCYV88UV,,9,
23,Aleister crowle,9,Q9922RUU,,9,
24,vtechno,9,RGRUPCV2,,9,
25,NickinOKC,9,2YVPJPJC,,9,
26,C3,9,QVY828RV,,9,
27,Frog,9,2JVLYQQP,,9,
28,Joe,9,LG9GQQJ8,,9,
29,Poz,9,PPRYLOUY,,9,
30,The Boot,9,P9PV99CC,,9,
1,,,9,14,2,85
2,3,100,24,24,,
3,,,12,14,2,72
4,,,24,22,3,100
5,,,23,23,1,73
6,,,14,16,2,72
7,,,19,19,1,73
8,,,11,11,3,100
9,3,100,27,23,,
10,,,8,9,0,49
11,,,16,15,3,100
12,,,6,7,1,66
13,,,18,20,2,94
14,,,25,24,2,64
15,2,91,13,10,,
16,,,2,5,2,51
17,,,22,21,3,100
18,3,100,30,30,,
19,,,21,19,2,99
20,2,80,17,18,,
21,2,98,28,29,,
22,,,20,18,2,72
23,3,100,27,25,,
24,,,18,22,3,100
25,2,85,25,13,,
26,3,100,11,20,,
27,1,71,15,15,,
28,,,30,30,2,99
29,3,100,18,19,,
30,,,4,6,2,67
31,,,26,26,1,77
32,,,10,10,2,97
33,,,28,27,3,100
34,1,74,13,17,,
35,3,100,6,9,,
36,,,17,17,2,73
37,2,98,19,14,,
38,3,100,29,27,,
39,,,23,21,2,65
40,,,29,27,3,100
41,,,6,30,1,49
42,3,100,30,29,,
43,,,27,25,2,79
44,,,5,6,2,62
45,,,1,1,2,70
46,3,100,24,18,,
47,3,100,11,26,,
48,,,26,25,2,81
49,2,87,9,16,,
50,,,3,3,3,100
51,,,8,1,2,98
52,2,70,23,11,,
53,3,100,26,28,,
54,,,7,8,2,54
55,,,7,2,3,100
56,,,6,2,3,100
57,,,17,13,3,100
58,1,65,23,22,,
59,2,83,19,21,,
60,1,77,29,22,,
61,2,58,18,17,,
62,2,84,21,15,,
63,3,100,20,22,,
64,,,10,11,2,69
65,3,100,22,17,,
66,2,74,16,13,,
67,3,100,21,16,,
68,2,98,20,14,,
69,2,65,8,3,,
70,,,15,13,2,85
71,,,27,28,2,98
72,1,58,14,15,,
73,,,30,24,3,100
74,2,99,28,21,,
75,2,50,3,1,,
76,3,100,12,13,,
77,2,83,26,21,,
78,,,19,16,2,82
79,1,47,5,6,,
80,2,77,1,8,,
81,2,57,4,4,,
82,,,26,23,2,62
83,2,86,25,14,,
84,,,23,29,2,83
85,2,98,6,12,,
86,2,81,7,5,,
87,1,46,3,2,,
88,,,23,17,3,100
89,,,19,15,2,89
90,3,100,17,15,,
91,,,27,29,2,82
92,,,14,10,3,100
93,2,99,16,21,,
94,,,13,9,3,100
95,,,19,12,3,100
96,2,85,5,12,,
97,,,9,4,3,100
98,2,89,15,14,,
99,3,100,9,11,,
100,3,100,22,21,,
101,,,12,7,3,100
102,,,20,12,3,100
103,,,27,26,3,100
104,,,21,20,2,91
105,3,100,2,7,,
106,3,100,8,12,,
107,3,100,14,14,,
108,1,41,7,6,,
109,2,50,1,2,,
110,,,15,8,3,100
111,,,10,4,3,100
112,,,21,18,1,64
113,2,84,2,6,,
114,,,25,3,3,100
115,3,100,12,10,,
116,,,26,28,2,65
117,,,26,5,3,100
118,2,64,4,8,,
