version,1,reserved,reserved,reserved,reserved,reserved
Shadown Ravens,2VVLCUC2,,JTJ,2R9RCV9V,,S3
30,,,,,,
2016/05/01,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,DarthCarlos10,10,8YVP9R8V,,10,
4,Chezwick,10,RYRQL82U,,10,
5,Chief Joshy,10,VPPJUCV,,10,
6,Sno,10,GQV9G9VV,,10,
7,Tim,10,8PR2VUUP,,10,
8,Eleazar,9,C8GRJVL0,1,9,
9,dolphinkickme,9,QQUJUV2V,1,9,
10,Blaine,9,RCYRQ8LG,1,9,
11,Tyrion,9,99G8QGJV,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Lavigne,9,VOPGO99C,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Batman,9,2QU9CC8,1,9,
18,Amagnus,9,JVQ8JPQV,1,9,
19,Nato,9,2PQ9OVQOV,1,9,
20,UTiger13,9,2OVQLGRUJ,1,9,
21,Simlin,9,2GO989G2U,1,9,
22,DimSum,9,Y9GV0QQ,,9,
23,Jippieh Yeah,9,YCYV88UV,,9,
24,Aleister Crowle,9,Q9922RUU,,9,
25,vtechno,9,RGRUPCV2,,9,
26,NickinOKC,9,2YVPJPJC,,9,
27,Frog,9,2JVLYQQP,,9,
28,Poz,9,PPRYLOUY,,9,
29,The Boot,9,P9PV99CC,,9,
30,beteljuice,9,29OV2LQRR,,9,
1,,,15,27,3,100
2,,,1,2,1,44
3,,,17,27,2,64
4,,,26,21,0,43
5,2,78,15,14,,
6,,,4,2,3,100
7,,,29,29,2,83
8,,,9,23,3,100
9,2,82,27,25,,
10,,,16,10,2,82
11,2,93,25,26,,
12,2,77,30,30,,
13,2,91,28,28,,
14,,,14,14,2,77
15,2,98,27,27,,
16,,,25,25,2,76
17,,,8,23,2,98
18,2,99,22,20,,
19,,,20,20,2,94
20,2,95,9,23,,
21,,,2,4,2,52
22,,,10,11,2,79
23,2,74,2,3,,
24,2,82,14,12,,
25,,,13,11,2,74
26,2,68,29,28,,
27,3,100,18,21,,
28,,,12,26,3,100
29,3,100,19,23,,
30,,,6,7,2,73
31,1,83,30,29,,
32,,,30,30,2,78
33,3,100,21,20,,
34,3,100,24,28,,
35,2,68,19,24,,
36,,,18,20,2,62
37,2,85,16,22,,
38,2,96,28,29,,
39,,,29,30,1,73
40,3,100,20,26,,
41,,,28,28,3,100
42,,,30,29,3,100
43,2,75,7,7,,
44,3,100,29,30,,
45,2,83,9,24,,
46,,,23,19,2,83
47,2,73,16,27,,
48,,,11,26,3,100
49,2,79,3,4,,
50,,,29,28,1,2
51,0,46,7,1,,
52,,,26,17,2,87
53,,,17,10,3,100
54,,,22,15,1,79
55,2,70,17,24,,
56,,,14,18,2,91
57,,,5,7,2,84
58,,,10,13,2,72
59,3,100,6,9,,
60,2,94,26,18,,
61,2,57,4,2,,
62,2,98,8,15,,
63,,,27,21,2,54
64,3,100,20,25,,
65,,,13,13,3,100
66,3,100,23,17,,
67,3,100,24,29,,
68,2,81,3,5,,
69,2,66,4,1,,
70,2,91,1,6,,
71,,,24,19,2,79
72,3,100,21,15,,
73,,,24,25,1,87
74,,,19,17,3,100
75,2,97,17,27,,
76,2,68,22,10,,
77,,,22,9,2,77
78,3,100,14,14,,
79,,,7,6,2,60
80,3,100,23,19,,
81,2,91,1,7,,
82,3,100,15,16,,
83,,,8,5,3,100
84,3,100,12,27,,
85,3,100,2,7,,
86,1,68,12,24,,
87,,,25,15,3,100
88,,,29,22,3,100
89,,,22,18,2,83
90,,,21,12,3,100
91,2,99,13,18,,
92,1,62,5,11,,
93,,,1,1,1,44
94,1,52,11,24,,
95,,,20,8,3,100
96,,,26,9,3,100
97,3,100,10,18,,
98,,,10,5,3,100
99,3,100,6,8,,
100,3,100,25,22,,
101,1,66,8,13,,
102,2,79,13,11,,
103,,,24,16,3,100
104,3,100,26,12,,
105,3,100,18,24,,
106,,,16,14,3,100
107,,,27,22,2,71
108,,,3,6,2,59
109,1,64,11,13,,
110,2,70,10,10,,
111,3,100,5,13,,
112,,,23,24,2,69
113,,,22,12,3,100
114,,,14,3,3,100
115,,,27,24,3,100
116,,,23,16,2,89
117,,,23,8,3,100
118,,,1,4,1,46
119,,,18,3,3,100
120,,,6,1,2,75
