version,1,reserved,reserved,reserved,reserved,reserved
REQ,2O2OUG2J,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/05/04,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ShawnTheVret,11,2UO9PQ9P,,11,
3,DarthCarlos10,10,8YVP9R8V,,11,
4,Space12345,10,8002Y989,,11,
5,Chief Joshy,10,VPPJUCV,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Eleazar,9,C8GRJVL0,,10,
8,dolphinkickme,9,QQUJUV2V,,10,
9,Blaine,9,RCYRQ8LG,,10,
10,Czech1Czech2,9,22CP2Y828,,10,
11,Kighr,9,J0RJP9LG,,10,
12,RedACE,9,GRJLGCUQ,1,9,
13,Eric,9,YYGOV9VC,1,9,
14,Mord,9,22JGQUCJQ,1,9,
15,Batman,9,2QU9CC8,1,9,
16,Amagnus,9,JVQ8JPQV,1,9,
17,Nato,9,2PQ9OVQOV,1,9,
18,UTiger13,9,2OVQLGRUJ,1,9,
19,Simlin,9,2GO989G2U,1,9,
20,Jippieh Yeah,9,YCYV88UV,1,9,
21,corey,9,GLJRRGV9,,9,
22,Aleister Crowle,9,Q9922RUU,,9,
23,vtechno,9,RGRUPCV2,,9,
24,Dada 1974,9,GQ0JCQJQ,,9,
25,C3,9,QVY828RV,,9,
26,Frog,9,2JVLYQQP,,9,
27,Rokthar,9,LYOUL9GJ,,9,
28,Joe,9,LG9GQQJ8,,9,
29,Poz,9,PPRYLOUY,,9,
30,WanG,9,LUYO999R,,9,
1,,,27,29,1,19
2,3,100,26,28,,
3,3,100,25,27,,
4,1,82,15,25,,
5,1,69,10,14,,
6,2,98,20,14,,
7,3,100,12,11,,
8,3,100,7,13,,
9,3,100,29,29,,
10,2,91,27,26,,
11,3,100,26,25,,
12,3,100,23,22,,
13,,,24,2,1,50
14,3,100,14,10,,
15,2,98,2,1,,
16,3,100,10,15,,
17,3,100,16,16,,
18,3,100,17,18,,
19,3,100,24,23,,
20,1,67,2,2,,
21,3,100,30,30,,
22,0,35,9,12,,
23,2,98,17,20,,
24,3,100,9,14,,
25,3,100,18,19,,
26,2,85,19,21,,
27,3,100,21,26,,
28,3,100,1,3,,
29,3,100,19,20,,
30,,,7,19,1,6
31,2,88,14,9,,
32,3,100,18,21,,
33,3,100,12,12,,
34,3,100,28,24,,
35,2,61,21,21,,
36,3,100,4,6,,
37,2,81,22,7,,
38,1,81,7,4,,
39,1,58,22,9,,
40,3,100,8,13,,
41,3,100,11,17,,
42,1,76,27,16,,
43,3,100,16,12,,
44,,,5,21,1,33
45,3,100,15,14,,
46,,,11,12,1,10
47,,,12,12,1,10
48,,,8,13,0,13
49,,,30,13,0,49
50,2,79,29,13,,
51,1,60,20,8,,
52,3,100,8,11,,
53,,,8,21,2,65
54,3,100,28,14,,
55,3,100,4,8,,
56,2,88,3,2,,
57,3,100,6,9,,
58,3,100,1,5,,
59,3,100,25,23,,
60,3,100,5,4,,
61,3,100,3,7,,
62,1,82,23,16,,
63,,,7,1,1,6
64,,,27,1,1,6
65,2,55,30,9,,
66,3,100,5,7,,
67,,,30,2,0,28
68,2,65,11,12,,
69,3,100,6,6,,
