version,1,reserved,reserved,reserved,reserved,reserved
Rock Chile,2QU9LLPR,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/05/06,,,,,,
1,DarthCarlos10,10,8YVP9R8V,,10,
2,Space12345,10,8002Y989,,10,
3,Chief Joshy,10,VPPJUCV,,10,
4,Aboy,10,VQ9PUJV2,,10,
5,Eleazar,9,C8GRJVL0,,10,
6,dolphinkickme,9,QQUJUV2V,1,9,
7,Blaine,9,RCYRQ8LG,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,RedACE,9,GRJLGCUQ,1,9,
10,Kighr,9,J0RJP9LG,1,9,
11,Mord,9,22JGQUCJQ,1,9,
12,Amagnus,9,JVQ8JPQV,1,9,
13,Nato,9,2PQ9OVQOV,1,9,
14,UTiger13,9,2OVQLGRUJ,1,9,
15,Simlin,9,2GO989G2U,1,9,
16,corey,9,GLJRRGV9,1,9,
17,Aleister Crowle,9,Q9922RUU,1,9,
18,vtechno,9,RGRUPCV2,,9,
19,C3,9,QVY828RV,,9,
20,Frog,9,2JVLYQQP,,9,
21,azzman,9,QVUQY8PV,,9,
22,Rokthar,9,LYOUL9GJ,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Alejandro,9,YC2R28PC,,8,
25,Poz,9,PPRYLOUY,,8,
1,3,100,20,21,,
2,,,5,5,2,73
3,,,20,20,1,55
4,,,19,19,1,58
5,,,25,25,2,58
6,,,23,23,2,75
7,1,87,13,16,,
8,3,100,9,8,,
9,2,95,4,5,,
10,,,4,4,2,61
11,,,7,7,2,69
12,0,0,20,20,,
13,2,58,10,18,,
14,,,8,8,2,70
15,1,57,8,9,,
16,3,100,9,7,,
17,2,75,15,16,,
18,,,13,13,2,74
19,,,14,14,3,100
20,1,58,12,12,,
21,1,56,14,15,,
22,2,81,23,19,,
23,2,96,18,17,,
24,,,21,21,2,94
25,,,15,15,3,100
26,,,12,12,1,48
27,,,3,3,2,60
28,2,61,15,15,,
29,2,83,8,10,,
30,3,100,13,20,,
31,3,100,7,10,,
32,,,16,16,1,61
33,3,100,16,22,,
34,1,64,14,19,,
35,3,100,7,9,,
36,3,100,25,24,,
37,2,55,1,1,,
38,2,89,16,18,,
39,2,95,6,13,,
40,2,89,17,19,,
41,0,42,2,4,,
42,2,82,6,14,,
43,3,100,1,3,,
44,2,95,5,12,,
45,1,61,22,18,,
46,3,100,21,23,,
47,,,2,2,2,70
48,3,100,19,19,,
49,3,100,21,25,,
50,2,99,2,2,,
51,,,6,6,3,100
52,,,11,11,0,37
53,3,100,11,12,,
54,,,1,1,2,56
55,3,100,10,16,,
56,,,11,10,0,43
57,3,100,25,18,,
58,,,16,14,1,50
59,,,8,3,2,82
60,2,59,3,4,,
61,,,24,24,2,56
62,1,68,18,15,,
63,,,9,4,3,100
64,1,92,17,17,,
65,,,18,18,2,87
66,,,17,17,2,56
67,,,22,22,1,46
68,2,79,24,17,,
69,2,94,11,13,,
70,,,22,10,2,72
71,,,16,13,1,62
72,,,23,19,2,94
73,3,100,3,6,,
74,2,58,24,15,,
75,3,100,23,13,,
76,2,66,22,17,,
77,3,100,5,14,,
78,,,24,23,1,49
79,,,24,18,3,100
80,1,90,19,17,,
81,3,100,12,15,,
82,,,10,9,1,49
83,,,23,20,3,100
84,,,20,16,2,86
85,3,100,4,11,,
86,,,10,5,1,91
87,,,25,22,2,74
88,,,11,8,2,72
89,,,19,24,1,36
90,,,16,11,1,68
91,,,18,12,2,67
92,,,19,25,2,50
93,,,12,21,2,62
94,,,16,7,2,50
95,,,20,15,3,100
96,,,18,17,2,60
97,,,10,6,2,93
98,,,5,2,1,61
99,,,5,1,2,99
100,,,19,9,2,65
