version,1,reserved,reserved,reserved,reserved,reserved
V for Vendetta,PQQUY8G,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/05/11,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,DarthCarlos10,10,8YVP9R8V,,10,
3,Chezwick,10,RYRQL82U,,10,
4,Space12345,10,8002Y989,,10,
5,Chief Joshy,10,VPPJUCV,,10,
6,Sno,10,GQV9G9VV,,10,
7,Atlas,10,RJ9PJ9CC,,10,
8,Aboy,10,VQ9PUJV2,,10,
9,Eleazar,9,C8GRJVL0,,10,
10,dolphinkickme,9,QQUJUV2V,1,9,
11,Czech1Czech2,9,22CP2Y828,1,9,
12,RedACE,9,GRJLGCUQ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,Deadpool,9,28V98V9QL,1,9,
16,Anthony,9,YPPQ8G99,1,9,
17,Eric,9,YYGOV9VC,1,9,
18,MrPatty,9,CR2QPCU9,1,9,
19,Batman,9,2QU9CC8,1,9,
20,Amagnus,9,JVQ8JPQV,1,9,
21,Simlin,9,2GO989G2U,1,9,
22,Corey,9,GLJRRGV9,1,9,
23,Jippieh Yeah,9,YCYV88UV,1,9,
24,Aleister Crowle,9,Q9922RUU,1,9,
25,Dada 1974,9,GQ0JCQJQ,1,9,
26,NickinOKC,9,2YVPJPJC,,9,
27,C3,9,QVY828RV,,9,
28,Frog,9,2JVLYQQP,,9,
29,Rokthar,9,LYOUL9GJ,,9,
30,beteljuice,9,29OV2LQRR,,9,
1,,,26,26,2,75
2,,,23,22,2,75
3,2,96,30,30,,
4,2,93,19,20,,
5,,,6,5,2,54
6,3,100,28,26,,
7,1,64,29,28,,
8,,,4,3,2,55
9,,,29,29,3,100
10,,,9,8,2,87
11,3,100,27,27,,
12,,,10,9,3,100
13,,,15,14,3,100
14,3,100,25,29,,
15,,,22,21,1,73
16,2,76,15,28,,
17,1,79,29,30,,
18,3,100,15,30,,
19,,,19,18,2,53
20,,,22,26,2,83
21,2,98,10,23,,
22,3,100,17,25,,
23,,,27,27,2,64
24,2,70,10,21,,
25,1,65,16,24,,
26,,,16,15,1,49
27,,,26,27,2,93
28,,,5,4,2,53
29,,,24,23,1,75
30,,,18,17,2,68
31,3,100,28,22,,
32,3,100,18,10,,
33,3,100,17,24,,
34,3,100,13,18,,
35,2,50,3,4,,
36,,,12,11,2,60
37,,,14,13,1,64
38,2,74,30,28,,
39,2,50,11,14,,
40,2,68,18,12,,
41,1,49,7,8,,
42,1,83,12,11,,
43,3,100,26,15,,
44,,,16,13,2,62
45,2,70,11,19,,
46,2,81,22,23,,
47,0,48,24,16,,
48,,,21,20,2,85
49,1,84,16,28,,
50,3,100,21,21,,
51,2,75,12,14,,
52,3,100,24,28,,
53,3,100,20,16,,
54,3,100,9,13,,
55,,,25,24,2,75
56,3,100,23,23,,
57,,,7,6,2,53
58,3,100,9,11,,
59,3,100,23,20,,
60,,,24,15,2,83
61,1,54,19,14,,
62,1,64,25,17,,
63,,,2,1,2,74
64,1,70,22,19,,
65,,,30,30,2,76
66,,,1,1,0,37
67,,,11,10,2,78
68,,,26,20,2,77
69,,,25,22,2,77
70,,,17,16,2,58
71,3,100,6,9,,
72,,,13,12,1,81
73,,,28,28,2,63
74,,,22,16,0,45
75,,,20,19,2,72
76,,,22,14,2,94
77,2,73,14,17,,
78,,,27,25,2,90
79,,,1,5,1,53
80,,,14,12,1,74
81,2,55,7,7,,
82,,,24,18,2,64
83,,,8,3,2,61
84,,,30,21,2,92
85,2,93,20,17,,
86,2,75,21,12,,
87,2,98,14,19,,
88,2,67,3,2,,
89,2,88,1,1,,
90,2,64,5,5,,
91,,,14,30,1,47
92,1,64,2,3,,
93,3,100,4,6,,
94,,,30,28,3,100
95,,,28,25,3,100
96,,,27,29,1,62
97,3,100,26,14,,
98,,,14,10,2,75
99,,,3,2,2,60
100,3,100,2,8,,
101,2,91,27,19,,
102,2,70,4,4,,
103,2,59,8,7,,
104,0,0,5,12,,
105,,,13,8,3,100
106,,,14,9,3,100
107,,,27,24,2,60
108,,,26,17,2,90
109,1,52,6,3,,
110,,,9,2,2,99
111,,,16,11,2,85
112,,,27,19,2,87
113,,,26,23,2,86
114,,,9,6,2,73
115,3,100,1,4,,
116,0,42,8,5,,
117,1,73,13,12,,
