version,1,reserved,reserved,reserved,reserved,reserved
Iraq Wars,9PC02JRV,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/05/13,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Shift,11,GG8QV9Y2,,11,
3,Ghengis,11,LU99CUU,,11,
4,DarthCarlos10,10,8YVP9R8V,,10,
5,Chezwick,10,RYRQL82U,,10,
6,Space12345,10,8002Y989,,10,
7,Sno,10,GQV9G9VV,,10,
8,Chief Joshy,10,VPPJUCV,,10,
9,Aboy,10,VQ9PUJV2,,10,
10,Eleazar,9,C8GRJVL0,,10,
11,Czech1Czech2,9,22CP2Y828,,10,
12,RedACE,9,GRJLGCUQ,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,Heiny the Great,9,U8YJLOL9,1,9,
15,Deadpool,9,28V98V9QL,1,9,
16,Eric,9,YYGOV9VC,1,9,
17,MrPatty,9,CR2QPCU9,1,9,
18,Amagnus,9,JVQ8JPQV,1,9,
19,Simlin,9,2GO989G2U,1,9,
20,UTiger13,9,2OVQLGRUJ,1,9,
21,Corey,9,GLJRRGV9,1,9,
22,Jippieh Yeah,9,YCYV88UV,1,9,
23,Aleister Crowle,9,Q9922RUU,1,9,
24,Soulsek,9,2LRQGVR09,1,9,
25,NickInOKC,9,2YVPJPJC,1,9,
26,Dada 1974,9,GQ0JCQJQ,1,9,
27,C3,9,QVY828RV,1,9,
28,Frog,9,2JVLYQQP,1,9,
29,Rokthar,9,LYOUL9GJ,1,9,
30,WanG,9,LUYO999R,1,9,
1,,,23,23,3,100
2,,,11,24,2,91
3,0,43,5,3,,
4,,,29,29,2,70
5,1,89,28,24,,
6,,,20,20,0,43
7,,,10,17,3,100
8,3,100,26,18,,
9,,,13,24,2,87
10,,,13,11,3,100
11,,,19,17,2,50
12,2,87,11,19,,
13,1,65,20,20,,
14,2,81,26,29,,
15,1,72,19,22,,
16,,,29,27,1,51
17,,,15,14,2,98
18,3,100,12,24,,
19,3,100,17,17,,
20,2,78,15,26,,
21,,,7,8,2,81
22,3,100,11,21,,
23,2,58,19,19,,
24,2,58,13,20,,
25,2,82,21,25,,
26,2,74,20,23,,
27,1,69,17,14,,
28,3,100,30,30,,
29,3,100,12,22,,
30,,,17,11,3,100
31,3,100,14,12,,
32,1,81,23,26,,
33,3,100,25,15,,
34,3,100,5,9,,
35,2,89,3,2,,
36,2,85,14,20,,
37,1,52,23,19,,
38,2,60,24,28,,
39,3,100,10,14,,
40,,,14,19,1,83
41,,,26,25,1,61
42,2,55,3,1,,
43,,,26,27,2,87
44,3,100,22,20,,
45,2,83,29,29,,
46,2,86,10,11,,
47,,,9,6,2,91
48,,,12,12,3,100
49,,,2,2,2,59
50,,,14,16,3,100
51,,,20,23,2,56
52,,,11,10,2,60
53,,,11,16,3,100
54,,,16,22,2,82
55,,,21,21,1,62
56,,,16,9,3,100
57,1,69,28,27,,
58,,,15,22,1,77
59,,,19,13,2,82
60,,,18,12,2,93
61,3,100,16,28,,
62,,,18,9,3,100
63,,,22,21,2,56
64,,,8,7,1,55
65,,,26,15,3,100
66,,,3,6,1,44
67,,,15,26,1,75
68,,,21,14,3,100
69,2,72,16,16,,
70,2,77,22,11,,
71,,,30,26,3,100
72,,,24,19,2,87
73,,,20,15,3,100
74,,,15,13,1,72
75,,,24,18,1,82
76,2,59,4,4,,
77,,,8,4,3,100
78,1,56,13,19,,
79,3,100,27,29,,
80,,,27,30,3,100
81,3,100,8,11,,
82,,,4,2,3,100
83,,,15,5,3,100
84,2,60,21,23,,
85,,,22,29,2,99
86,,,28,30,2,70
87,,,5,4,3,100
88,2,79,27,27,,
89,,,25,20,2,72
90,1,77,15,25,,
91,2,73,24,25,,
92,,,19,5,3,100
93,2,74,25,27,,
94,,,25,18,2,93
95,0,40,2,3,,
96,3,100,18,25,,
97,,,6,1,3,100
98,,,9,7,3,100
99,2,59,9,10,,
100,2,86,6,16,,
101,2,75,4,8,,
102,2,52,8,7,,
103,2,73,18,13,,
104,2,77,29,13,,
105,,,22,10,1,66
106,1,56,1,3,,
107,,,22,8,3,100
108,3,100,7,13,,
109,,,1,3,0,0
110,,,1,1,2,74
111,,,3,3,2,60
112,2,95,30,23,,
113,3,100,6,19,,
114,3,100,7,16,,
115,,,24,25,1,65
116,0,48,1,6,,
117,2,66,9,6,,
118,2,64,2,5,,
