version,1,reserved,reserved,reserved,reserved,reserved
ClashUnited,282PL0CY,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/05/15,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Ghengis,11,LU99CUU,,11,
3,Chief Joshy,10,VPPJUCV,,10,
4,Atlas,10,RJ9PJ9CC,,10,
5,Aboy,10,VQ9PUJV2,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Darth Carlos,9,VJG8CCUG,,10,
8,RedACE,9,GRJLGCUQ,,10,
9,Whooboy,9,22UOVV2JJ,1,9,
10,Heiny the Great,9,U8YJLOL9,1,9,
11,Deadpool,9,28V98V9QL,1,9,
12,Enigma,9,9CRYU8RP,1,9,
13,Mord,9,22JGQUCJQ,1,9,
14,Eric,9,YYGOV9VC,1,9,
15,MrPatty,9,CR2QPCU9,1,9,
16,Amagnus,9,JVQ8JPQV,1,9,
17,UTiger13,9,2OVQLGRUJ,1,9,
18,Corey,9,GLJRRGV9,1,9,
19,Angry Russian,9,28PLQ0U9L,1,9,
20,Jippieh Yeah,9,YCYV88UV,1,9,
21,Aleister Crowle,9,Q9922RUU,1,9,
22,Soulsek,9,2LRQGVR09,1,9,
23,NickInOKC,9,2YVPJPJC,1,9,
24,C3,9,QVY828RV,,9,
25,azzman,9,QVUQY8PV,,9,
26,Rokthar,9,LYOUL9GJ,,9,
27,Joe,9,LG9GQQJ8,,9,
28,Mr Incrediboyle,9,JGRY0R0L,,9,
29,WanG,9,LUYO999R,,9,
30,Poz,9,PPRYLOUY,,9,
1,,,7,8,3,100
2,,,12,19,3,100
3,,,14,9,3,100
4,,,30,29,3,100
5,,,6,6,1,86
6,,,27,28,1,81
7,2,90,18,24,,
8,,,8,7,3,100
9,,,3,29,1,49
10,2,70,25,29,,
11,,,18,18,1,73
12,,,9,19,1,67
13,2,99,11,25,,
14,1,74,15,11,,
15,3,100,18,27,,
16,,,6,8,3,100
17,3,100,27,26,,
18,,,15,20,2,93
19,2,73,26,28,,
20,3,100,10,9,,
21,2,76,30,30,,
22,2,83,17,15,,
23,3,100,2,2,,
24,3,100,30,29,,
25,3,100,22,30,,
26,,,18,20,0,49
27,3,100,23,13,,
28,2,93,22,28,,
29,2,89,24,28,,
30,,,21,21,1,58
31,3,100,21,21,,
32,2,78,19,24,,
33,,,19,15,3,100
34,,,25,21,1,86
35,,,13,10,3,100
36,,,24,25,2,73
37,2,52,26,25,,
38,3,100,11,28,,
39,,,10,9,3,100
40,,,27,25,3,100
41,,,22,16,1,69
42,,,9,10,3,100
43,2,78,21,10,,
44,2,86,9,15,,
45,,,17,17,2,68
46,2,87,10,23,,
47,3,100,14,25,,
48,3,100,17,17,,
49,,,25,30,2,86
50,3,100,20,15,,
51,,,21,18,2,74
52,,,11,14,2,60
53,3,100,14,22,,
54,,,28,28,3,100
55,,,29,30,3,100
56,2,97,29,23,,
57,2,99,15,10,,
58,3,100,13,7,,
59,1,40,1,1,,
60,2,99,19,23,,
61,1,44,27,24,,
62,3,100,7,10,,
63,,,17,14,2,74
64,,,23,22,3,100
65,2,54,6,11,,
66,,,26,26,2,80
67,2,50,28,24,,
68,1,49,25,3,,
69,3,100,7,8,,
70,,,20,24,2,77
71,,,16,16,1,73
72,,,26,24,1,75
73,2,77,12,19,,
74,,,4,3,3,100
75,2,93,24,24,,
76,,,22,15,3,100
77,2,92,16,16,,
78,3,100,23,20,,
79,,,25,26,3,100
80,2,99,6,18,,
81,,,1,2,1,38
82,2,91,8,16,,
83,,,24,22,2,82
84,3,100,3,6,,
85,3,100,9,18,,
86,2,62,3,4,,
87,,,3,1,3,100
88,,,11,17,1,66
89,,,18,12,2,73
90,2,91,4,14,,
91,2,72,28,19,,
92,3,100,5,12,,
93,,,17,12,2,87
94,3,100,12,24,,
95,,,5,1,3,100
96,,,15,7,3,100
97,3,100,8,19,,
98,,,17,11,2,97
99,,,20,13,2,94
100,,,21,13,3,100
101,,,2,5,0,47
102,,,26,27,1,62
103,,,11,6,3,100
104,,,18,23,2,73
105,,,2,2,0,36
106,,,16,4,3,100
107,,,24,27,2,73
108,3,100,2,3,,
109,2,82,20,23,,
110,3,100,29,11,,
111,3,100,5,14,,
112,2,85,1,5,,
113,3,100,16,23,,
114,,,20,5,3,100
115,,,17,4,3,100
116,,,26,11,2,70
117,2,90,13,16,,
118,,,2,3,0,38
119,3,100,4,16,,
120,,,24,23,3,100
