version,1,reserved,reserved,reserved,reserved,reserved
FungusBundle,8889RJJ8,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/05/18,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Chief Joshy,10,VPPJUCV,,11,
3,Aboy,10,VQ9PUJV2,,11,
4,Eleazar,9,C8GRJVL0,,10,
5,RedACE,9,GRJLGCUQ,,10,
6,Kighr,9,J0RJP9LG,1,9,
7,Heiny the Great,9,U8YJLOL9,1,9,
8,Whooboy,9,22UOVV2JJ,1,9,
9,MrPatty,9,CR2QPCU9,1,9,
10,Mord,9,22JGQUCJQ,1,9,
11,Eric,9,YYGOV9VC,1,9,
12,Batman,9,2QU9CC8,1,9,
13,Amagnus,9,JVQ8JPQV,1,9,
14,UTiger13,9,2OVQLGRUJ,,9,
15,Nato,9,2PQ9OVQOV,,9,
16,Corey,9,GLJRRGV9,,10,
17,Angry Russian,9,28PLQ0U9L,,10,
18,Aleister Crowle,9,Q9922RUU,,9,
19,Soulsek,9,2LRQGVR09,,9,
20,NickinOKC,9,2YVPJPJC,,9,
21,Joe,9,LG9GQQJ8,,8,
22,Mr Incrediboyle,9,JGRY0R0L,,8,
23,Poz,9,PPRYLOUY,,8,
24,WanG,9,LUYO999R,,8,
25,The Boot,9,P9PV99CC,,8,
1,,,25,24,1,57
2,,,12,12,3,100
3,3,100,12,20,,
4,,,25,20,2,74
5,,,3,3,2,90
6,,,25,22,2,68
7,,,10,16,3,100
8,,,24,24,1,49
9,,,24,22,0,41
10,,,16,8,1,87
11,,,14,18,2,91
12,,,11,16,3,100
13,,,25,19,2,94
14,,,1,1,2,58
15,,,8,4,3,100
16,,,13,10,2,87
17,,,23,21,0,27
18,,,4,3,3,100
19,,,15,12,2,72
20,1,80,23,19,,
21,,,23,25,1,39
22,,,16,10,3,100
23,,,2,1,2,95
24,,,7,4,3,100
25,2,80,15,18,,
26,,,13,6,3,100
27,,,25,14,2,90
28,,,6,2,3,100
29,3,100,21,15,,
30,3,100,23,21,,
31,,,17,11,2,58
32,,,5,17,1,70
33,,,18,7,2,62
34,3,100,17,18,,
35,,,23,14,2,82
36,3,100,24,16,,
37,,,9,17,2,56
38,,,24,19,2,81
39,2,93,10,11,,
40,2,97,9,5,,
41,1,72,17,14,,
42,2,92,15,17,,
43,,,5,2,3,100
44,2,75,16,14,,
45,,,22,11,2,65
46,2,98,7,9,,
47,2,87,14,13,,
48,,,21,25,1,45
49,3,100,25,22,,
50,3,100,19,25,,
51,,,18,13,1,40
52,,,19,18,2,89
53,3,100,16,24,,
54,2,76,14,10,,
55,3,100,21,19,,
56,3,100,19,23,,
57,1,55,25,17,,
58,2,74,6,14,,
59,3,100,13,6,,
60,,,14,5,3,100
61,,,15,13,2,57
62,3,100,13,7,,
63,2,68,7,17,,
64,3,100,18,8,,
65,3,100,4,12,,
66,,,23,15,3,100
67,,,20,5,3,100
68,2,79,18,10,,
69,3,100,12,17,,
70,3,100,22,14,,
71,3,100,9,9,,
72,,,21,8,2,97
73,3,100,4,13,,
74,,,15,6,3,100
75,,,25,15,2,72
76,3,100,10,10,,
77,1,74,20,5,,
78,3,100,2,4,,
79,3,100,22,11,,
80,,,22,20,0,48
81,1,74,11,5,,
82,0,35,20,1,,
83,,,24,9,3,100
84,1,44,2,3,,
85,,,25,9,3,100
86,1,60,8,5,,
87,2,66,1,1,,
88,0,45,8,2,,
89,0,32,24,2,,
90,3,100,6,5,,
91,3,100,11,11,,
92,0,49,3,2,,
93,,,22,7,3,100
94,1,35,5,3,,
95,2,55,1,2,,
96,1,62,3,3,,
97,0,34,5,2,,
