version,1,reserved,reserved,reserved,reserved,reserved
BFC Elite,8LGGGJCV,,JTJ,2R9RCV9V,,S4
20,,,,,,
2016/05/20,,,,,,
1,Sno,10,GQV9G9VV,,11,
2,Chief Joshy,10,VPPJUCV,,11,
3,Aboy,10,VQ9PUJV2,,11,
4,Eleazar,9,C8GRJVL0,,10,
5,Czech1Czech2,9,22CP2Y828,1,9,
6,RedACE,9,GRJLGCUQ,1,9,
7,Mord,9,22JGQUCJQ,1,9,
8,Amagnus,9,JVQ8JPQV,1,9,
9,Eric,9,YYGOV9VC,1,9,
10,UTiger13,9,2OVQLGRUJ,1,9,
11,Nato,9,2PQ9OVQOV,1,9,
12,Corey,9,GLJRRGV9,1,9,
13,Angry Russian,9,28PLQ0U9L,,9,
14,Aleister Crowle,9,Q9922RUU,,9,
15,NickInOKC,9,2YVPJPJC,,9,
16,Joe,9,LG9GQQJ8,,9,
17,Poz,9,PPRYLOUY,,9,
18,WanG,9,LUYO999R,,9,
19,The Boot,9,P9PV99CC,,9,
20,beteljuice,9,29OV2LQRR,,9,
1,,,8,8,3,100
2,,,4,4,3,100
3,,,5,5,2,70
4,,,11,7,2,94
5,1,61,16,13,,
6,3,100,19,19,,
7,3,100,17,15,,
8,,,19,19,2,81
9,3,100,11,16,,
10,2,84,20,20,,
11,,,16,15,3,100
12,3,100,13,14,,
13,,,18,18,2,86
14,2,69,12,17,,
15,2,92,20,18,,
16,3,100,5,7,,
17,,,20,20,2,70
18,3,100,13,17,,
19,1,68,6,5,,
20,,,7,8,2,75
21,,,20,19,2,99
22,,,6,4,3,100
23,2,89,8,10,,
24,0,44,10,8,,
25,3,100,18,20,,
26,3,100,6,11,,
27,,,17,20,2,68
28,3,100,5,5,,
29,2,85,12,13,,
30,3,100,14,18,,
31,,,12,11,2,58
32,2,99,15,9,,
33,,,3,2,2,98
34,3,100,9,13,,
35,,,2,2,2,72
36,2,61,9,12,,
37,,,13,10,2,70
38,1,61,14,8,,
39,,,9,6,3,100
40,2,89,10,9,,
41,,,14,12,2,90
42,,,15,13,2,99
43,3,100,4,10,,
44,,,19,16,3,100
45,2,81,11,9,,
46,,,14,10,2,87
47,2,74,17,8,,
48,,,20,18,3,100
49,1,72,19,9,,
50,,,18,17,2,91
51,1,83,8,6,,
52,,,17,17,3,100
53,2,94,7,8,,
54,,,18,16,3,100
55,,,10,5,1,64
56,2,89,7,6,,
57,,,14,11,1,37
58,1,43,2,1,,
59,,,12,12,2,78
60,2,68,1,2,,
61,,,14,13,2,73
62,,,14,15,0,41
63,,,12,9,2,70
64,,,1,1,2,72
65,,,10,3,3,100
66,1,78,18,12,,
67,2,87,16,9,,
68,,,11,6,2,97
69,3,100,1,6,,
70,2,61,3,4,,
71,2,51,2,3,,
72,3,100,4,12,,
73,,,15,14,2,50
74,,,5,1,3,100
75,,,15,9,3,100
76,,,14,14,3,100
77,3,100,3,9,,
78,,,13,3,3,100
79,,,12,7,1,83
