version,1,reserved,reserved,reserved,reserved,reserved
Great Nepal,9VJR8J0Y,,JTJ,2R9RCV9V,,S4
20,,,,,,
2016/05/22,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Space12345,10,8002Y989,,11,
3,Chief Joshy,10,VPPJUCV,,10,
4,Aboy,10,VQ9PUJV2,,10,
5,Eleazar,9,C8GRJVL0,,10,
6,Czech1Czech2,9,22CP2Y828,1,9,
7,Alec,9,8UGYRRGO,1,9,
8,Amagnus,9,JVQ8JPQV,1,9,
9,Mord,9,22JGQUCJQ,1,9,
10,Eric,9,YYGOV9VC,1,9,
11,Nato,9,2PQ9OVQOV,1,9,
12,Corey,9,GLJRRGV9,1,9,
13,Angry Russian,9,28PLQ0U9L,1,9,
14,Aleister Crowle,9,Q9922RUU,,9,
15,Dada 1974,9,GQ0JCQJQ,,9,
16,Frog,9,2JVLYQQP,,9,
17,Mr Incrediboyle,9,JGRY0R0L,,9,
18,Poz,9,PPRYLOUY,,9,
19,The Boot,9,P9PV99CC,,9,
20,beteljuice,9,29OV2LQRR,,8,
1,2,97,7,14,,
2,,,16,16,1,55
3,1,86,16,8,,
4,3,100,20,20,,
5,2,94,7,15,,
6,,,17,17,2,75
7,2,98,12,18,,
8,2,70,12,17,,
9,,,14,14,2,68
10,1,85,15,16,,
11,1,74,20,18,,
12,3,100,13,14,,
13,3,100,17,16,,
14,,,8,8,2,61
15,3,100,18,15,,
16,3,100,11,13,,
17,,,20,19,1,67
18,1,91,19,19,,
19,,,12,6,2,65
20,3,100,13,18,,
21,,,13,6,2,78
22,,,19,16,1,56
23,,,15,13,1,64
24,2,83,14,9,,
25,,,19,15,2,86
26,,,15,17,0,44
27,,,10,7,3,100
28,,,16,8,2,74
29,,,20,9,3,100
30,,,11,11,2,61
31,,,16,7,1,78
32,,,18,9,2,90
33,3,100,14,19,,
34,2,82,15,17,,
35,3,100,5,11,,
36,,,4,3,2,72
37,2,89,11,10,,
38,2,99,16,9,,
39,3,100,9,8,,
40,2,90,18,17,,
41,,,15,19,2,72
42,,,1,3,1,47
43,,,2,4,1,47
44,2,69,19,17,,
45,1,81,9,6,,
46,,,3,1,0,48
47,,,5,1,2,95
48,,,3,4,2,50
49,3,100,8,12,,
50,3,100,5,7,,
51,3,100,1,2,,
52,2,75,8,9,,
53,3,100,10,10,,
54,,,9,10,2,58
55,1,61,2,4,,
56,,,12,13,2,54
57,2,66,1,1,,
58,3,100,6,6,,
59,2,98,10,9,,
60,,,12,11,2,73
61,3,100,17,17,,
62,2,62,3,5,,
63,2,85,2,3,,
64,,,7,10,1,65
65,1,56,3,4,,
66,0,41,4,4,,
67,2,78,6,9,,
68,3,100,4,9,,
