version,1,reserved,reserved,reserved,reserved,reserved
War Whales,8C0YL0UG,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/05/25,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,DarthCarlos10,10,8YVP9R8V,,11,
3,Space12345,10,8002Y989,,10,
4,Chief Joshy,10,VPPJUCV,,10,
5,Atlas,10,RJ9PJ9CC,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Darth Carlos,10,VJG8CCUG,,10,
8,Eleazar,9,C8GRJVL0,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Whooboy,9,22UOVV2JJ,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Kighr,9,J0RJP9LG,1,9,
13,Amagnus,9,JVQ8JPQV,1,9,
14,Heiny the Great,9,U8YJLOL9,1,9,
15,Enigma,9,9CRYU8RP,1,9,
16,Mord,9,22JGQUCJQ,1,9,
17,MrPatty,9,CR2QPCU9,1,9,
18,Batman,9,2QU9CC8,1,9,
19,Nato,9,2PQ9OVQOV,1,9,
20,Corey,9,GLJRRGV9,1,9,
21,Jippieh Yeah,9,YCYV88UV,1,9,
22,Angry Russian,9,28PLQ0U9L,1,9,
23,NickInOKC,9,2YVPJPJC,1,9,
24,Dada 1974,9,GQ0JCQJQ,,9,
25,Frog,9,2JVLYQQP,,9,
26,Joe,9,LG9GQQJ8,,9,
27,Poz,9,PPRYLOUY,,9,
28,WanG,9,LUYO999R,,9,
29,The Boot,9,P9PV99CC,,9,
30,beteljuice,9,29OV2LQRR,,7,
1,,,14,12,2,70
2,,,24,26,1,78
3,2,60,25,16,,
4,,,14,15,3,100
5,,,27,26,3,100
6,2,88,19,12,,
7,,,23,24,3,100
8,,,9,9,3,100
9,,,1,30,0,6
10,3,100,22,28,,
11,,,17,23,3,100
12,,,18,24,1,70
13,2,86,24,23,,
14,,,7,9,2,90
15,,,15,8,3,100
16,,,21,14,2,66
17,,,5,30,0,8
18,2,91,24,22,,
19,3,100,28,29,,
20,,,10,21,3,100
21,2,66,14,13,,
22,,,30,29,2,90
23,3,100,27,25,,
24,,,25,12,1,80
25,1,66,19,9,,
26,,,12,10,3,100
27,,,28,29,3,100
28,,,16,8,2,99
29,1,62,20,27,,
30,1,85,17,8,,
31,,,24,23,2,66
32,2,95,22,17,,
33,1,75,9,19,,
34,,,25,16,3,100
35,1,82,27,20,,
36,3,100,29,24,,
37,,,19,28,3,100
38,,,8,11,2,75
39,1,65,29,21,,
40,,,16,20,3,100
41,2,66,23,22,,
42,,,18,16,3,100
43,,,13,18,2,91
44,,,8,17,3,100
45,1,76,20,22,,
46,2,91,30,26,,
47,,,22,13,3,100
48,,,13,11,2,77
49,3,100,30,30,,
50,,,26,13,3,100
51,,,13,17,2,74
52,2,78,18,15,,
53,,,1,4,1,56
54,,,20,10,3,100
55,,,5,6,1,77
56,,,24,22,2,57
57,,,3,6,1,50
58,,,11,20,3,100
59,2,98,14,11,,
60,,,24,14,3,100
61,,,6,5,2,60
62,,,21,18,3,100
63,2,79,25,18,,
64,,,29,22,2,75
65,2,82,17,10,,
66,,,7,21,1,58
67,,,13,27,2,94
68,2,95,28,23,,
69,,,29,19,3,100
70,1,73,26,27,,
71,,,7,27,1,70
72,3,100,10,17,,
73,2,53,15,27,,
74,,,13,25,3,100
75,0,24,12,9,,
76,,,30,15,3,100
77,2,98,7,8,,
78,,,7,25,3,100
79,3,100,23,21,,
80,2,76,15,26,,
81,2,60,4,5,,
82,3,100,18,14,,
83,2,84,3,7,,
84,2,79,10,18,,
85,,,4,28,2,52
86,3,100,7,9,,
87,2,66,4,6,,
88,,,6,7,1,71
89,3,100,13,22,,
90,,,3,19,0,48
91,3,100,2,3,,
92,3,100,5,8,,
93,2,68,21,18,,
94,2,98,8,13,,
95,2,72,13,16,,
96,,,2,1,0,48
97,3,100,12,20,,
98,,,5,3,2,71
99,2,97,16,19,,
100,2,68,3,4,,
101,,,5,7,2,70
102,3,100,21,19,,
103,,,2,3,2,72
104,2,99,8,11,,
105,,,3,4,1,47
106,3,100,2,12,,
107,2,86,16,10,,
108,1,74,5,13,,
109,,,3,2,2,89
110,2,82,1,1,,
111,3,100,11,11,,
112,2,92,6,13,,
113,2,70,26,26,,
114,,,1,2,1,53
115,3,100,6,16,,
116,2,92,11,26,,
117,2,72,1,2,,
118,2,97,9,23,,
