version,1,reserved,reserved,reserved,reserved,reserved
ZYGO,9L8JLYGV,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/05/27,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Bob,11,CG2GP2PV,,11,
3,DarthCarlos10,10,8YVP9R8V,,11,
4,Space12345,10,8002Y989,,11,
5,Chief Joshy,10,VPPJUCV,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Aboy,10,VQ9PUJV2,,11,
8,Darth Carlos,10,VJG8CCUG,,10,
9,Eleazar,9,C8GRJVL0,,10,
10,Czech1Czech2,9,22CP2Y828,,10,
11,LMNtrix,9,8V828GRP,,10,
12,RedACE,9,GRJLGCUQ,,9,
13,Whooboy,9,22UOVV2JJ,,9,
14,Heiny the Great,9,U8YJLOL9,,9,
15,Amagnus,9,JVQ8JPQV,,9,
16,Kighr,9,J0RJP9LG,,9,
17,Enigma,9,9CRYU8RP,,9,
18,Batman,9,2QU9CC8,,9,
19,Corey,9,GLJRRGV9,,9,
20,Angry Russian,9,28PLQ0U9L,,9,
21,Jippieh Yeah,9,YCYV88UV,,9,
22,NickInOKC,9,2YVPJPJC,,9,
23,Dada 1974,9,GQ0JCQJQ,,9,
24,Frog,9,2JVLYQQP,,9,
25,Mr Incrediboyle,9,JGRY0R0L,,9,
26,Joe,9,LG9GQQJ8,,9,
27,Captain America,9,G9YRJ09,,9,
28,Poz,9,PPRYLOUY,,9,
29,WanG,9,LUYO999R,,9,
30,The Boot,9,P9PV99CC,,9,
1,,,11,14,2,61
2,3,100,24,16,,
3,,,27,11,1,40
4,3,100,23,26,,
5,,,29,30,2,98
6,3,100,11,13,,
7,,,25,7,2,56
8,3,100,23,25,,
9,,,12,21,2,94
10,2,78,26,22,,
11,3,100,2,1,,
12,3,100,17,20,,
13,,,30,9,0,48
14,3,100,10,15,,
15,3,100,29,24,,
16,,,8,27,2,58
17,3,100,26,23,,
18,3,100,6,11,,
19,2,98,2,2,,
20,2,95,11,12,,
21,3,100,19,27,,
22,3,100,27,29,,
23,3,100,20,28,,
24,,,19,27,2,60
25,3,100,16,14,,
26,3,100,12,12,,
27,3,100,19,30,,
28,3,100,12,17,,
29,3,100,4,5,,
30,3,100,20,21,,
31,1,44,30,18,,
32,3,100,15,18,,
33,2,86,27,22,,
34,3,100,14,19,,
35,,,9,14,2,62
36,3,100,15,9,,
37,3,100,4,7,,
38,,,24,16,1,46
39,,,28,9,1,40
40,,,15,19,2,89
41,2,78,9,10,,
42,3,100,18,22,,
43,3,100,3,3,,
44,,,20,20,1,45
45,3,100,3,4,,
46,3,100,1,2,,
47,3,100,8,10,,
48,3,100,1,6,,
49,1,98,24,8,,
50,,,17,20,1,41
51,3,100,28,17,,
52,,,23,16,1,33
53,1,99,9,8,,
54,3,100,7,8,,
55,,,10,1,1,57
56,3,100,6,9,,
57,1,81,22,8,,
58,3,100,8,3,,
59,3,100,5,4,,
60,3,100,21,15,,
61,3,100,13,13,,
62,3,100,14,8,,
63,1,65,17,8,,
64,3,100,22,3,,
65,3,100,13,14,,
66,3,100,21,12,,
67,,,5,2,0,21
68,2,94,28,8,,
69,3,100,5,3,,
70,,,8,2,1,33
71,3,100,18,24,,
72,3,100,7,9,,
73,3,100,30,17,,
74,3,100,16,17,,
75,3,100,10,18,,
