version,1,reserved,reserved,reserved,reserved,reserved
The Moochers,2VLJ8V20,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/05/29,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Bob,11,CG2GP2PV,,11,
3,DarthCarlos10,10,8YVP9R8V,,10,
4,Space12345,10,8002Y989,,10,
5,Chief Joshy,10,VPPJUCV,,10,
6,Aboy,10,VQ9PUJV2,1,9,
7,Eleazar,9,C8GRJVL0,1,9,
8,Czech1Czech2,9,22CP2Y828,1,9,
9,LMNTrix,9,8V828GRP,1,9,
10,Alec,9,8UGYRRGO,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Kighr,9,J0RJP9LG,1,9,
14,Amagnus,9,JVQ8JPQV,1,9,
15,Enigma,9,9CRYU8RP,1,9,
16,Mord,9,22JGQUCJQ,1,9,
17,Angry Russian,9,28PLQ0U9L,,9,
18,Jippieh Yeah,9,YCYV88UV,,9,
19,Aleister Crowle,9,Q9922RUU,,9,
20,Dada 1974,9,GQ0JCQJQ,,9,
21,Frog,9,2JVLYQQP,,9,
22,SlimShady,9,VQPRP9V0,,9,
23,Joe,9,LG9GQQJ8,,9,
24,Poz,9,PPRYLOUY,,9,
25,The Boot,9,P9PV99CC,,9,
1,3,100,10,11,,
2,,,9,10,3,100
3,,,11,7,3,100
4,2,90,9,6,,
5,2,73,24,24,,
6,,,25,25,2,56
7,1,88,25,23,,
8,,,24,22,3,100
9,,,21,19,2,80
10,2,85,9,7,,
11,2,85,24,21,,
12,,,7,6,2,87
13,,,8,6,3,100
14,2,75,21,8,,
15,,,20,23,2,99
16,,,16,19,1,61
17,3,100,20,23,,
18,,,21,23,1,62
19,,,12,8,2,75
20,,,12,10,3,100
21,,,16,17,3,100
22,3,100,10,9,,
23,,,7,14,3,100
24,2,93,11,7,,
25,2,86,22,22,,
26,1,45,3,1,,
27,2,65,17,15,,
28,2,93,17,17,,
29,2,95,3,5,,
30,3,100,2,4,,
31,,,19,18,2,97
32,3,100,20,22,,
33,,,21,18,2,54
34,3,100,18,17,,
35,,,22,22,1,88
36,3,100,12,6,,
37,2,68,21,10,,
38,2,87,23,19,,
39,,,25,24,2,74
40,,,13,13,3,100
41,2,87,2,3,,
42,,,10,11,3,100
43,,,14,11,2,50
44,3,100,22,25,,
45,2,94,12,7,,
46,3,100,25,24,,
47,3,100,23,18,,
48,,,15,16,1,57
49,1,80,13,14,,
50,2,98,18,19,,
51,3,100,5,7,,
52,,,15,13,2,61
53,,,17,15,2,85
54,,,21,12,1,62
55,,,17,7,3,100
56,,,4,3,0,47
57,2,87,15,21,,
58,2,84,11,10,,
59,,,2,5,1,47
60,3,100,16,14,,
61,,,5,4,2,92
62,3,100,14,19,,
63,3,100,6,8,,
64,2,65,15,13,,
65,2,93,1,1,,
66,,,6,24,0,39
67,,,6,3,2,98
68,3,100,16,21,,
69,,,2,4,2,53
70,2,69,19,16,,
71,,,23,20,2,99
72,,,4,2,2,87
73,,,6,5,2,89
74,,,15,12,2,91
75,3,100,7,12,,
76,,,18,9,3,100
77,1,78,19,20,,
78,,,3,25,0,3
79,,,15,8,3,100
80,3,100,4,10,,
81,,,3,2,1,55
82,,,3,1,2,59
83,2,97,7,13,,
84,,,25,21,1,66
85,,,19,15,3,100
86,2,90,4,15,,
87,,,25,20,3,100
88,,,1,1,0,49
89,3,100,6,15,,
90,2,66,14,16,,
91,,,20,16,3,100
92,2,95,8,13,,
93,2,86,13,20,,
94,,,14,9,3,100
95,,,21,17,3,100
96,2,77,5,13,,
97,2,99,8,16,,
98,,,23,21,1,91
99,,,22,14,2,94
100,1,49,1,2,,
