version,1,reserved,reserved,reserved,reserved,reserved
Persian Sarakhs,9YQ0V8L2,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/06/03,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Bob,11,CG2GP2PV,,11,
3,sno,10,GQV9G9VV,,11,
4,Chief Joshy,10,VPPJUCV,,10,
5,Aboy,10,VQ9PUJV2,,10,
6,Tim66,10,GVC8V9G9,1,9,
7,Kid Succulent,9,9Y09UUY,1,9,
8,Eleazar,9,C8GRJVL0,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,RedACE,9,GRJLGCUQ,1,9,
11,Amagnus,9,JVQ8JPQV,1,9,
12,MrPatty,9,CR2QPCU9,1,9,
13,Heiny the Great,9,U8YJLOL9,1,9,
14,Eric,9,YYGOV9VC,1,9,
15,Mord,9,22JGQUCJQ,1,9,
16,UTiger13,9,2OVQLGRUJ,,9,
17,Nato,9,2PQ9OVQOV,,9,
18,Corey,9,GLJRRGV9,,9,
19,Angry Russian,9,28PLQ0U9L,,9,
20,Khaos,9,U9C2QCY2,,9,
21,Soulsek,9,2LRQGVR09,,9,
22,Aleister Crowle,9,Q9922RUU,,9,
23,Frog,9,2JVLYQQP,,9,
24,Captain America,9,G9YRJ09,,9,
25,beteljuice,9,29OV2LQRR,,9,
1,2,89,20,16,,
2,3,100,19,7,,
3,3,100,7,6,,
4,2,83,23,16,,
5,2,59,21,21,,
6,3,100,20,17,,
7,3,100,21,18,,
8,3,100,7,8,,
9,3,100,18,20,,
10,,,13,11,2,69
11,3,100,25,22,,
12,3,100,12,13,,
13,2,78,16,10,,
14,3,100,18,19,,
15,3,100,9,11,,
16,3,100,13,21,,
17,2,50,1,1,,
18,2,64,25,15,,
19,2,94,14,16,,
20,3,100,10,12,,
21,1,68,16,14,,
22,3,100,22,23,,
23,2,82,17,16,,
24,1,89,19,9,,
25,3,100,22,24,,
26,3,100,13,16,,
27,3,100,8,9,,
28,,,1,1,0,30
29,,,20,9,2,80
30,,,2,2,2,58
31,,,25,23,2,66
32,2,83,11,14,,
33,,,6,8,2,72
34,3,100,24,25,,
35,,,8,9,2,79
36,,,19,17,2,53
37,2,89,24,15,,
38,,,9,7,2,64
39,,,14,19,2,50
40,,,23,20,1,43
41,,,17,25,2,57
42,,,7,15,2,58
43,2,68,3,3,,
44,,,10,19,1,66
45,2,95,17,15,,
46,1,40,3,2,,
47,,,15,12,1,28
48,2,99,10,14,,
49,3,100,12,15,,
50,2,94,2,2,,
51,,,12,25,2,54
52,2,91,8,10,,
53,3,100,11,10,,
54,3,100,2,3,,
55,3,100,15,14,,
56,,,11,15,1,53
57,3,100,1,2,,
58,3,100,6,5,,
59,1,55,15,4,,
60,1,62,6,4,,
61,2,77,4,4,,
62,,,1,3,0,39
63,0,34,23,4,,
64,0,43,4,3,,
65,,,24,10,2,54
66,,,21,20,0,41
67,0,48,14,14,,
68,,,21,16,1,49
69,,,18,12,0,41
