version,1,reserved,reserved,reserved,reserved,reserved
Persian Sarakhs,9YQ0V8L2,,JTJ,2R9RCV9V,,S4
25,,,,,,
2016/06/05,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Sno,10,GQV9G9VV,,11,
3,Chief Joshy,10,VPPJUCV,,10,
4,Aboy,10,VQ9PUJV2,,10,
5,Tim66,10,GVC8V9G9,,10,
6,Czech1Czech2,9,22CP2Y828,,10,
7,Eleazar,9,C8GRJVL0,,10,
8,RedACE,9,GRJLGCUQ,,10,
9,Amagnus,9,JVQ8JPQV,1,9,
10,H,9,U8YJL0L9,,10,
11,MrPatty,9,CR2QPCU9,,10,
12,Eric,9,YYGOV9VC,1,9,
13,Andy,9,YQJYYJR8,,10,
14,Mord,9,22JGQUCJQ,1,9,
15,UTiger13,9,2OVQLGRUJ,1,9,
16,Nato,9,2PQ9OVQOV,1,9,
17,Corey,9,GLJRRGV9,1,9,
18,Soulsek,9,2LRQGVR09,,10,
19,NickInOKC,9,2YVPJPJC,1,9,
20,Aleister Crowle,9,Q9922RUU,1,9,
21,Captain America,9,G9YRJ09,,9,
22,WanG,9,LUYO999R,,9,
23,Poz,9,PPRYLOUY,,9,
24,The Boot,9,P9PV99CC,,9,
25,beteljuice,9,29OV2LQRR,,8,
1,3,100,16,17,,
2,,,7,7,3,100
3,,,12,14,2,95
4,,,15,20,1,79
5,2,74,11,8,,
6,2,57,17,16,,
7,2,77,21,22,,
8,2,69,4,5,,
9,2,73,10,9,,
10,2,64,13,12,,
11,,,19,19,2,95
12,,,4,4,2,52
13,,,14,14,3,100
14,,,8,8,0,49
15,,,13,13,2,91
16,,,8,7,3,100
17,3,100,10,11,,
18,2,97,11,15,,
19,,,10,10,3,100
20,2,53,17,20,,
21,,,9,9,2,79
22,2,54,13,10,,
23,,,16,16,2,95
24,3,100,18,21,,
25,2,95,19,16,,
26,1,76,20,14,,
27,,,25,25,2,59
28,,,17,17,2,62
29,3,100,22,19,,
30,0,26,2,1,,
31,3,100,20,13,,
32,,,11,12,2,74
33,,,15,15,2,74
34,,,23,23,2,60
35,,,23,25,2,67
36,2,98,21,23,,
37,3,100,18,22,,
38,3,100,25,25,,
39,,,21,21,2,66
40,2,88,16,18,,
41,2,66,24,23,,
42,1,65,2,2,,
43,,,1,1,2,52
44,3,100,15,20,,
45,,,24,24,3,100
46,1,84,14,14,,
47,,,16,15,2,79
48,2,99,25,24,,
49,,,25,21,1,38
50,3,100,23,23,,
51,3,100,15,15,,
52,,,15,9,2,65
53,2,96,9,12,,
54,,,20,16,2,53
55,,,12,11,3,100
56,2,74,3,4,,
57,3,100,6,9,,
58,3,100,24,24,,
59,1,78,14,16,,
60,2,92,7,7,,
61,,,20,19,3,100
62,3,100,12,16,,
63,,,22,22,2,75
64,2,88,23,18,,
65,,,18,18,2,72
66,,,6,5,3,100
67,3,100,22,18,,
68,,,13,8,3,100
69,,,9,6,3,100
70,,,25,22,1,64
71,,,21,20,2,74
72,,,23,18,2,84
73,2,76,8,12,,
74,3,100,19,14,,
75,2,92,6,6,,
76,,,22,13,3,100
77,,,5,3,2,99
78,,,25,4,3,100
79,,,23,24,1,71
80,2,80,8,7,,
81,,,23,17,3,100
82,,,11,5,1,62
83,1,61,3,3,,
84,2,99,12,12,,
85,,,15,12,2,83
86,,,3,2,2,70
87,,,15,11,2,90
88,,,11,3,2,81
89,2,59,1,1,,
90,3,100,5,6,,
91,,,18,6,3,100
92,3,100,7,12,,
93,,,21,10,1,76
94,3,100,9,10,,
95,3,100,4,8,,
96,1,79,5,7,,
97,2,67,1,3,,
98,,,2,1,1,50
99,,,11,2,3,100
