version,1,reserved,reserved,reserved,reserved,reserved
America F Yeah,2299UQJ2,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/08,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,DarthCarlos10,10,8YVP9R8V,,11,
3,Space12345,10,8002Y989,,11,
4,Sno,10,GQV9G9VV,,10,
5,Chief Joshy,10,VPPJUCV,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Aboy,10,VQ9PUJV2,,10,
8,Darth Carlos,10,VJG8CCUG,,10,
9,Czech1Czech2,9,22CP2Y828,,10,
10,Eleazar,9,C8GRJVL0,,10,
11,Amagnus,9,JVQ8JPQV,1,9,
12,RedACE,9,GRJLGCUQ,,10,
13,Whooboy,9,22UOVV2JJ,1,9,
14,H,9,U8YJLOL9,1,9,
15,Andy,9,YQJYYJR8,,10,
16,Eric,9,YYGOV9VC,1,9,
17,Mord,9,22JGQUCJQ,,9,
18,UTiger13,9,2OVQLGRUJ,,9,
19,nato,9,2PQ9OVQOV,,9,
20,corey,9,GLJRRGV9,,9,
21,Soulsek,9,2LRQGVR09,,9,
22,Burris,9,QULQU2JJ,,10,
23,NickinOKC,9,2YVPJPJC,,9,
24,Dada 1974,9,GQ0JCQJQ,,9,
25,Aleister crowle,9,Q9922RUU,,9,
26,Frog,9,2JVLYQQP,,9,
27,Wang,9,LUYO999R,,9,
28,Poz,9,PPRYLOUY,,8,
29,The Boot,9,P9PV99CC,,8,
30,beteljuice,9,29OV2LQRR,,8,
1,,,30,29,0,44
2,,,9,7,3,100
3,,,29,25,1,79
4,2,83,25,17,,
5,,,22,16,1,51
6,3,100,26,25,,
7,,,24,18,2,62
8,3,100,15,21,,
9,,,30,25,1,75
10,3,100,19,14,,
11,,,28,26,2,79
12,,,30,24,3,100
13,3,100,24,26,,
14,2,94,28,23,,
15,,,27,23,2,69
16,,,12,7,3,100
17,2,99,22,24,,
18,,,27,16,2,66
19,2,80,28,22,,
20,,,26,13,2,79
21,,,11,10,3,100
22,,,8,9,2,89
23,3,100,19,13,,
24,3,100,30,27,,
25,2,99,26,24,,
26,,,15,6,3,100
27,,,29,21,2,57
28,,,27,13,3,100
29,,,10,9,3,100
30,,,22,11,3,100
31,3,100,27,19,,
32,,,21,8,3,100
33,,,29,24,3,100
34,,,20,22,2,58
35,3,100,30,28,,
36,,,13,6,3,100
37,3,100,29,24,,
38,3,100,16,17,,
39,,,23,22,2,98
40,,,17,10,2,95
41,,,25,17,1,47
42,3,100,29,30,,
43,2,99,14,12,,
44,2,99,6,8,,
45,3,100,9,11,,
46,3,100,20,20,,
47,,,3,30,0,22
48,,,25,11,3,100
49,3,100,18,22,,
50,,,26,14,0,44
51,,,24,8,3,100
52,3,100,20,18,,
53,3,100,12,12,,
54,1,75,14,10,,
55,3,100,15,23,,
56,,,4,2,3,100
57,0,49,2,1,,
58,,,28,15,3,100
59,2,86,16,16,,
60,3,100,22,29,,
61,2,86,6,5,,
62,2,54,12,6,,
63,1,76,27,15,,
64,0,49,4,5,,
65,3,100,11,16,,
66,1,59,25,9,,
67,,,19,27,1,37
68,2,90,21,15,,
69,,,16,27,0,28
70,,,23,18,2,66
71,3,100,10,15,,
72,,,3,2,3,100
73,,,6,30,0,27
74,3,100,13,9,,
75,1,52,24,7,,
76,1,42,4,1,,
77,,,23,20,2,85
78,,,28,21,2,55
79,,,2,1,3,100
80,2,98,17,10,,
81,,,14,4,3,100
82,0,29,18,7,,
83,,,23,15,3,100
84,,,26,17,1,50
85,2,92,13,10,,
86,,,16,5,3,100
87,2,65,17,7,,
88,2,96,8,8,,
89,,,7,4,0,36
90,2,53,21,4,,
91,,,19,19,2,99
92,3,100,11,10,,
93,0,37,23,2,,
94,,,26,23,1,68
95,0,39,2,2,,
96,1,53,23,3,,
97,,,26,20,2,83
98,,,26,19,2,96
99,0,37,9,7,,
100,2,70,5,7,,
101,3,100,3,8,,
102,2,75,8,7,,
103,,,18,12,3,100
104,2,96,3,5,,
105,,,6,29,1,23
106,1,58,5,2,,
107,,,5,3,2,83
108,2,83,1,1,,
109,,,20,14,2,64
110,1,35,7,7,,
111,,,7,3,2,83
112,,,26,12,1,60
113,0,46,10,3,,
114,,,1,1,2,87
115,1,58,7,3,,
116,,,6,5,2,58
117,1,41,1,7,,
