version,1,reserved,reserved,reserved,reserved,reserved
300,2U0GP2QL,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/10,,,,,,
1,Wryhorn,11,JQJQVL8Y,,10,
2,Bob,11,CG2GP2PV,,10,
3,Space12345,10,8002Y989,,10,
4,Chief Joshy,10,VPPJUCV,,10,
5,Sno,10,GQV9G9VV,,10,
6,Atlas,10,RJ9PJ9CC,,10,
7,Aboy,10,VQ9PUJV2,,10,
8,Darth Carlos,10,VJG8CCUG,,10,
9,Eleazar,9,C8GRJVL0,1,9,
10,Czech1Czech2,9,22CP2Y828,1,9,
11,Alec,9,8UGYRRGO,1,9,
12,Amagnus,9,JVQ8JPQV,1,9,
13,RedACE,9,GRJLGCUQ,1,9,
14,Whooboy,9,22UOVV2JJ,1,9,
15,H,9,U8YJLOL9,1,9,
16,Andy,9,YQJYYJR8,1,9,
17,Mord,9,22JGQUCJQ,1,9,
18,Eric,9,YYGOV9VC,1,9,
19,Nato,9,2PQ9OVQOV,1,9,
20,Corey,9,GLJRRGV9,1,9,
21,Jippieh Yeah,9,YCYV88UV,1,9,
22,Soulsek,9,2LRQGVR09,1,9,
23,Khaos,9,U9C2QCY2,1,9,
24,NickinOKC,9,2YVPJPJC,,9,
25,Dada 1974,9,GQ0JCQJQ,,9,
26,Frog,9,2JVLYQQP,,9,
27,Joe,9,LG9GQQJ8,,9,
28,Poz,9,PPRYLOUY,,9,
29,The Boot,9,P9PV99CC,,9,
30,beteljuice,9,29OV2LQRR,,9,
1,3,100,2,3,,
2,2,73,15,10,,
3,1,65,22,22,,
4,2,75,27,26,,
5,3,100,11,10,,
6,,,30,29,3,100
7,2,98,30,24,,
8,,,26,25,2,56
9,,,10,9,2,56
10,3,100,30,30,,
11,3,100,19,13,,
12,2,78,23,23,,
13,,,2,1,1,38
14,3,100,16,26,,
15,,,4,3,2,55
16,,,23,22,2,56
17,,,25,24,2,65
18,2,68,23,21,,
19,2,99,26,24,,
20,3,100,19,19,,
21,,,19,18,2,52
22,2,70,17,12,,
23,,,29,30,2,58
24,,,27,26,2,77
25,,,6,5,2,70
26,3,100,18,16,,
27,,,16,15,2,72
28,3,100,27,27,,
29,,,18,17,1,81
30,1,66,11,11,,
31,,,28,29,3,100
32,2,97,10,11,,
33,3,100,20,15,,
34,2,98,13,9,,
35,,,9,8,1,81
36,,,17,17,3,100
37,2,58,28,29,,
38,3,100,18,14,,
39,,,21,30,2,52
40,2,58,25,29,,
41,2,58,13,11,,
42,,,20,19,2,66
43,,,14,14,2,55
44,,,24,27,0,31
45,,,1,2,0,44
46,,,7,5,2,58
47,,,15,16,2,66
48,,,13,13,2,85
49,3,100,6,8,,
50,,,22,20,2,70
51,,,24,22,1,58
52,2,99,22,18,,
53,3,100,21,12,,
54,3,100,29,28,,
55,2,89,29,25,,
56,,,24,21,2,74
57,,,12,19,2,61
58,,,5,4,1,43
59,,,5,7,2,59
60,3,100,26,29,,
61,,,11,13,3,100
62,,,29,26,1,56
63,2,89,1,1,,
64,3,100,20,20,,
65,2,87,21,9,,
66,2,87,16,25,,
67,1,89,25,24,,
68,1,55,5,6,,
69,,,29,21,3,100
70,3,100,28,25,,
71,3,100,1,2,,
72,1,52,6,5,,
73,,,18,18,2,68
74,,,18,15,1,81
75,2,70,3,4,,
76,2,70,17,17,,
77,3,100,5,9,,
78,,,27,24,1,75
79,3,100,12,18,,
80,,,8,6,2,68
81,3,100,3,7,,
82,,,19,11,3,100
83,,,9,7,3,100
84,3,100,8,17,,
85,,,3,3,1,49
86,3,100,14,23,,
87,,,27,28,2,85
88,3,100,24,21,,
89,,,10,12,3,100
90,,,3,6,1,43
91,2,87,15,22,,
92,3,100,24,24,,
93,1,48,4,6,,
94,,,1,1,1,48
95,0,47,7,5,,
96,3,100,9,11,,
97,1,90,10,22,,
98,,,27,16,1,83
99,3,100,2,1,,
100,,,2,2,2,57
101,2,87,9,22,,
102,,,25,23,0,43
103,1,68,7,6,,
104,2,67,8,4,,
105,0,40,14,22,,
106,1,48,4,5,,
107,,,27,25,1,39
108,,,26,28,1,48
109,,,20,11,2,66
110,,,8,8,2,70
111,2,99,12,22,,
112,,,8,12,2,85
113,,,20,20,1,95
114,,,27,9,2,72
115,,,16,23,2,62
