version,1,reserved,reserved,reserved,reserved,reserved
Panama Elite,CPC8PJR,,JTJ,2R9RCV9V,,S4
40,,,,,,
2016/06/12,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,ButterBurger,11,PLQLJ8QU,,11,
3,DarthCarlos10,10,8YVP9R8V,,10,
4,Space12345,10,8002Y989,,10,
5,Chief Joshy,10,VPPJUCV,,10,
6,Sno,10,GQV9G9VV,,10,
7,Atlas,10,RJ9PJ9CC,,10,
8,Aboy,10,VQ9PUJV2,,10,
9,Darth Carlos,10,VJG8CCUG,,10,
10,Eleazar,9,C8GRJVL0,,10,
11,Czech1Czech2,9,22CP2Y828,,10,
12,Amagnus,9,JVQ8JPQV,1,9,
13,Whooboy,9,22UOVV2JJ,1,9,
14,H,9,U8YJLOL9,,10,
15,Batman,9,2QU9CC8,,10,
16,Andy,9,YQJYYJR8,1,9,
17,Eric,9,YYGOV9VC,1,9,
18,UTiger13,9,2OVQLGRUJ,1,9,
19,Nato,9,2PQ9OVQOV,1,9,
20,Ohio-Legend-216,9,29QLGYC9Q,1,9,
21,Corey,9,GLJRRGV9,1,9,
22,Angry Russian,9,28PLQ0U9L,1,9,
23,Jippieh Yeah,9,YCYV88UV,1,9,
24,Khaos,9,U9C2QCY2,1,9,
25,Lacey Clan,9,R08YP9Q8,1,9,
26,Soulsek,9,2LRQGVR09,1,9,
27,AV7,9,RGPR9YJ9,1,9,
28,NickinOKC,9,2YVPJPJC,,9,
29,Dada 1974,9,GQ0JCQJQ,,9,
30,Chris19,9,G22GVV9Y,,9,
31,Aleister Crowle,9,Q9922RUU,,9,
32,Frog,9,2JVLYQQP,,9,
33,WanG,9,LUYO999R,,9,
34,Captain America,9,G9YRJ09,,9,
35,Joe,9,LG9GQQJ8,,9,
36,Poz,9,PPRYLOUY,,9,
37,The Boot,9,P9PV99CC,,9,
38,Stump,9,JGY0PJ2U,,9,
39,beteljuice,9,29OV2LQRR,,9,
40,Yash Trivedi,9,20P92R8RL,,9,
1,,,2,1,1,43
2,,,40,38,0,48
3,,,9,8,1,57
4,,,26,25,2,87
5,,,38,38,2,85
6,,,4,4,2,52
7,,,40,40,3,100
