version,1,reserved,reserved,reserved,reserved,reserved
Resurgence,2GYGPUJG,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/15,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,11,
3,Space12345,10,8002Y989,,10,
4,Chief Joshy,10,VPPJUCV,,10,
5,Aboy,10,VQ9PUJV2,,10,
6,Eleazar,9,C8GRJVL0,,10,
7,Czech1Czech2,9,22CP2Y828,,10,
8,Amagnus,9,JVQ8JPQV,,10,
9,RedACE,9,GRJLGCUQ,,10,
10,H,9,U8YJLOL9,,10,
11,MrPatty,9,CR2QPCU9,,10,
12,batman,9,2QU9CC8,1,9,
13,UTiger13,9,2OVQLGRUJ,1,9,
14,nato,9,2PQ9OVQOV,1,9,
15,Ohio-Legend-216,9,29QLGYC9Q,1,9,
16,corey,9,GLJRRGV9,1,9,
17,Angry Russian,9,28PLQ0U9L,1,9,
18,Jippieh Yeah,9,YCYV88UV,1,9,
19,Lacey Clan,9,R08YP9Q8,1,9,
20,soulsek,9,2LRQGVR09,1,9,
21,AV7,9,RGPR9YJ9,,9,
22,Chris19,9,G22GVV9Y,,9,
23,Aleister Crowle,9,Q9922RUU,,9,
24,Frog,9,2JVLYQQP,,9,
25,ttc15708,9,YYY20JP2,,9,
26,WanG,9,LUYO999R,,9,
27,Captain America,9,G9YRJ09,,9,
28,Joe,9,LG9GQQJ8,,8,
29,Poz,9,PPRYLOUY,,8,
30,beteljuice,9,29OV2LQRR,,8,
1,2,83,21,17,,
2,2,99,21,19,,
3,3,100,27,21,,
4,,,14,14,2,91
5,,,21,21,3,100
6,,,20,20,0,28
7,3,100,30,28,,
8,3,100,25,22,,
9,1,87,22,15,,
10,,,30,30,0,30
11,,,5,25,2,99
12,,,19,19,3,100
13,3,100,30,29,,
14,3,100,22,18,,
15,,,29,29,0,38
16,3,100,13,19,,
17,,,16,16,2,82
18,,,8,10,1,54
19,,,26,26,2,82
20,1,77,11,14,,
21,3,100,28,30,,
22,1,76,13,13,,
23,,,7,9,3,100
24,3,100,26,25,,
25,3,100,7,15,,
26,1,85,15,16,,
27,3,100,16,20,,
28,,,12,12,2,61
29,,,10,11,3,100
30,1,58,16,12,,
31,3,100,7,13,,
32,2,80,9,17,,
33,2,61,15,11,,
34,3,100,28,24,,
35,3,100,29,27,,
36,,,18,18,1,78
37,,,23,23,2,65
38,1,68,10,17,,
39,3,100,29,26,,
40,,,28,28,1,32
41,2,96,12,17,,
42,,,2,2,2,78
43,2,93,20,23,,
44,,,30,28,1,35
45,1,39,20,16,,
46,2,71,18,17,,
47,3,100,12,23,,
48,1,44,27,14,,
49,,,1,2,3,100
50,2,50,14,14,,
51,,,5,5,2,75
52,1,60,1,1,,
53,2,78,2,3,,
54,3,100,23,14,,
55,2,71,19,10,,
56,,,29,24,2,55
57,,,13,12,3,100
58,,,24,24,1,22
59,0,44,19,9,,
60,3,100,24,12,,
61,2,85,25,16,,
62,,,22,22,3,100
63,2,90,14,17,,
64,,,17,17,1,49
65,,,20,19,2,78
66,,,24,22,3,100
67,,,27,23,2,82
68,2,99,18,16,,
69,0,43,24,9,,
70,,,30,29,2,54
71,2,83,23,9,,
72,2,75,9,16,,
73,,,23,17,2,75
74,,,30,20,2,88
75,,,15,30,0,23
76,,,30,26,2,96
77,,,30,25,2,60
78,,,5,4,3,100
79,,,11,27,1,56
80,,,28,16,3,100
81,1,57,10,10,,
82,3,100,8,16,,
83,,,30,21,1,72
84,,,15,8,3,100
85,2,92,4,7,,
86,2,65,3,2,,
87,,,29,18,3,100
88,,,17,7,3,100
89,,,9,27,0,39
90,,,25,14,2,90
91,3,100,6,17,,
92,,,6,5,3,100
93,2,84,3,6,,
94,,,30,15,1,78
95,2,94,4,8,,
96,,,23,11,2,99
97,,,27,15,3,100
98,1,99,6,10,,
99,,,26,13,3,100
100,,,30,6,3,100
101,,,3,1,2,66
102,,,25,13,3,100
103,1,52,8,11,,
104,,,9,3,2,86
105,,,18,10,3,100
106,,,14,8,3,100
107,,,23,6,2,74
108,3,100,5,10,,
109,3,100,1,4,,
110,,,8,4,3,100
111,,,4,1,2,72
112,,,20,9,3,100
113,0,48,17,5,,
114,2,96,5,9,,
115,,,11,3,3,100
116,1,53,26,11,,
117,3,100,2,5,,
118,2,60,11,9,,
119,,,23,7,3,100
120,1,62,17,11,,
