version,1,reserved,reserved,reserved,reserved,reserved
Team China,P09UCJPR,,JTJ,2R9RCV9V,,S4
30,,,,,,
2016/06/17,,,,,,
1,Wryhorn,11,JQJQVL8Y,,11,
2,Butterburger,11,PLQLJ8QU,,11,
3,Nordar,11,90G8OUYU,,11,
4,Chief Joshy,10,VPPJUCV,,10,
5,Sno,10,GQV9G9VV,,10,
6,Aboy,10,VQ9PUJV2,,10,
7,Nordar 2,10,Q2R202V2,,10,
8,Eleazar,9,C8GRJVL0,1,9,
9,Czech1Czech2,9,22CP2Y828,1,9,
10,Amagnus,9,JVQ8JPQV,1,9,
11,RedACE,9,GRJLGCUQ,1,9,
12,Whooboy,9,22UOVV2JJ,1,9,
13,Andy,9,YQJYYJR8,1,9,
14,UTiger13,9,2OVQLGRUJ,1,9,
15,Nato,9,2PQ9OVQOV,1,9,
16,Ohio-Legend-216,9,29QLGYC9Q,1,9,
17,Corey,9,GLJRRGV9,1,9,
18,Jippieh Yeah,9,YCYV88UV,1,9,
19,Soulsek,9,2LRQGVR09,1,9,
20,Burris,9,QULQU2JJ,1,9,
21,Av7,9,RGPR9YJ9,1,9,
22,Chris19,9,G22GVV9Y,1,9,
23,Aleister Crowle,9,Q9922RUU,1,9,
24,Frog,9,2JVLYQQP,1,9,
25,ttc15708,9,YYY20JP2,1,9,
26,WanG,9,LUYO999R,,9,
27,Captain America,9,G9YRJ09,,9,
28,Joe,9,LG9GQQJ8,,9,
29,Poz,9,PPRYLOUY,,9,
30,beteljuice,9,29OV2LQRR,,8,
1,,,9,9,2,86
2,3,100,28,26,,
3,2,93,15,12,,
4,,,10,9,2,86
5,2,72,24,20,,
6,3,100,15,15,,
7,,,5,6,2,54
8,2,66,28,27,,
9,2,95,30,28,,
10,,,13,10,2,92
11,3,100,24,19,,
12,,,6,6,2,62
13,3,100,27,28,,
14,2,85,22,23,,
15,2,50,19,10,,
16,3,100,12,12,,
17,,,14,10,3,100
18,,,17,20,3,100
19,2,91,11,17,,
20,3,100,14,20,,
21,3,100,30,30,,
22,2,80,5,7,,
23,,,24,11,2,59
24,,,27,28,2,75
25,3,100,27,27,,
26,3,100,9,8,,
27,,,18,20,2,85
28,3,100,26,24,,
29,3,100,22,14,,
30,,,23,23,2,56
31,1,57,11,21,,
32,,,8,30,1,47
33,,,7,5,1,51
34,1,54,1,1,,
35,,,26,26,2,69
36,,,30,16,1,74
37,1,64,2,2,,
38,3,100,9,9,,
39,2,92,21,16,,
40,,,19,15,2,82
41,,,16,12,2,70
42,,,4,5,2,64
43,,,20,17,2,79
44,3,100,1,3,,
45,2,88,21,13,,
46,,,7,7,2,58
47,2,92,2,4,,
48,,,22,30,1,44
49,,,29,16,3,100
50,,,22,22,2,62
51,3,100,16,21,,
52,,,8,7,2,85
53,,,30,24,1,51
54,,,12,13,2,56
55,1,47,19,11,,
56,,,25,15,2,52
57,,,21,12,3,100
58,3,100,23,29,,
59,,,11,4,3,100
60,,,25,25,2,80
61,,,28,24,1,72
62,,,28,28,1,61
63,,,2,2,0,36
64,,,22,17,2,61
65,,,8,4,3,100
66,,,15,13,1,45
67,,,15,22,2,56
68,3,100,23,11,,
69,,,28,26,1,72
70,3,100,18,17,,
71,,,1,2,0,39
72,,,13,25,3,100
73,2,68,13,10,,
74,,,2,3,1,42
75,2,90,13,16,,
76,3,100,17,10,,
77,,,30,18,2,92
78,2,74,8,13,,
79,3,100,17,16,,
80,,,28,11,1,70
81,,,28,23,2,64
82,,,27,21,2,72
83,2,58,29,22,,
84,,,1,3,0,49
85,,,27,18,2,75
86,3,100,12,13,,
87,,,28,27,1,47
88,1,50,5,6,,
89,,,20,25,2,4
90,3,100,25,25,,
91,,,1,1,2,69
92,,,30,19,2,86
93,3,100,10,18,,
94,2,57,3,2,,
95,1,73,16,23,,
96,1,75,14,22,,
97,1,49,10,5,,
98,2,89,29,23,,
99,,,3,1,2,50
100,,,30,8,3,100
101,1,50,25,23,,
102,2,85,7,5,,
103,1,62,20,23,,
104,3,100,3,1,,
105,2,7,7,7,,
106,2,86,26,23,,
107,1,49,4,6,,
108,2,62,4,5,,
109,2,85,8,7,,
110,2,73,6,6,,
111,2,65,6,7,,
